"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7279,0.076856,0.19929,9.7277,0.077163,0.19885,4.381,1,0.58203,11.262,12.25,6.845
9.7267,0.077281,0.20012,9.7265,0.077593,0.19967,4.3938,1,0.59206,11.272,12.25,6.845
9.7255,0.077705,0.20095,9.7253,0.078023,0.2005,4.4066,1,0.6021,11.282,12.25,6.845
9.7243,0.07813,0.20178,9.724,0.078454,0.20133,4.4195,1,0.61213,11.292,12.25,6.845
9.723,0.078555,0.20262,9.7228,0.078884,0.20215,4.4323,1,0.62217,11.302,12.25,6.845
9.7218,0.07898,0.20345,9.7216,0.079314,0.20298,4.4451,1,0.63221,11.312,12.25,6.845
9.7206,0.079405,0.20428,9.7203,0.079744,0.2038,4.458,1,0.64224,11.322,12.25,6.845
9.7193,0.079829,0.20511,9.7191,0.080175,0.20463,4.4708,1,0.65228,11.332,12.25,6.845
9.7181,0.080254,0.20594,9.7179,0.080605,0.20546,4.4836,1,0.66231,11.342,12.25,6.845
9.7169,0.080679,0.20677,9.7166,0.081035,0.20628,4.4965,1,0.67235,11.352,12.25,6.845
9.7157,0.081104,0.2076,9.7154,0.081466,0.20711,4.5093,1,0.68238,11.362,12.25,6.845
9.7144,0.081529,0.20843,9.7142,0.081896,0.20793,4.5221,1,0.69241,11.372,12.25,6.845
9.7132,0.081953,0.20926,9.7129,0.082326,0.20876,4.535,1,0.70245,11.382,12.25,6.845
9.712,0.08236,0.2101,9.7117,0.082737,0.20959,4.5479,1,0.71248,11.392,12.25,6.845
9.7107,0.082742,0.21096,9.7104,0.083125,0.21045,4.5609,1,0.72252,11.403,12.25,6.845
9.7094,0.083218,0.21189,9.7091,0.083607,0.21137,4.5735,1,0.73255,11.413,12.25,6.845
9.7081,0.083694,0.21282,9.7078,0.08409,0.21229,4.5862,1,0.74259,11.423,12.25,6.845
9.7068,0.08417,0.21375,9.7065,0.084573,0.21321,4.5989,1,0.75262,11.433,12.25,6.845
9.7055,0.084646,0.21467,9.7052,0.085056,0.21413,4.6115,1,0.76266,11.443,12.25,6.845
9.7042,0.085122,0.2156,9.7039,0.085538,0.21505,4.6242,1,0.77269,11.453,12.25,6.845
9.7029,0.085598,0.21653,9.7026,0.086021,0.21597,4.6368,1,0.78273,11.463,12.25,6.845
9.7016,0.086074,0.21746,9.7013,0.086504,0.2169,4.6495,1,0.79276,11.473,12.25,6.845
9.7004,0.08655,0.21838,9.7,0.086986,0.21782,4.6622,1,0.8028,11.483,12.25,6.845
9.6991,0.087026,0.21931,9.6987,0.087469,0.21874,4.6748,1,0.81283,11.493,12.25,6.845
9.6978,0.087502,0.22024,9.6974,0.087952,0.21966,4.6875,1,0.82287,11.503,12.25,6.845
9.6965,0.087978,0.22117,9.6961,0.088434,0.22058,4.7001,1,0.8329,11.513,12.25,6.845
9.6952,0.088454,0.22209,9.6948,0.088917,0.2215,4.7128,1,0.84294,11.523,12.25,6.845
9.6939,0.088931,0.22302,9.6935,0.0894,0.22242,4.7255,1,0.85297,11.533,12.25,6.845
9.6926,0.089407,0.22395,9.6922,0.089882,0.22335,4.7381,1,0.86301,11.543,12.25,6.845
9.6913,0.089815,0.22489,9.6909,0.090296,0.22428,4.751,1,0.87304,11.553,12.25,6.845
9.6899,0.090318,0.2259,9.6895,0.090808,0.22528,4.7642,1,0.88308,11.563,12.25,6.845
9.6886,0.090843,0.22692,9.6882,0.091341,0.2263,4.7774,1,0.89312,11.573,12.25,6.845
9.6872,0.091367,0.22794,9.6868,0.091874,0.22731,4.7907,1,0.90315,11.583,12.25,6.845
9.6858,0.091892,0.22896,9.6854,0.092408,0.22832,4.8039,1,0.91319,11.593,12.25,6.845
9.6845,0.092417,0.22999,9.684,0.092941,0.22934,4.8172,1,0.92322,11.603,12.25,6.845
9.6831,0.092941,0.23101,9.6827,0.093474,0.23035,4.8304,1,0.93325,11.613,12.25,6.845
9.6817,0.093466,0.23203,9.6813,0.094008,0.23136,4.8437,1,0.94329,11.623,12.25,6.845
9.6804,0.093991,0.23305,9.6799,0.094541,0.23238,4.8569,1,0.95332,11.633,12.25,6.845
9.679,0.094515,0.23407,9.6786,0.095075,0.23339,4.8702,1,0.96336,11.643,12.25,6.845
9.6777,0.09504,0.23509,9.6772,0.095608,0.2344,4.8834,1,0.97339,11.653,12.25,6.845
9.6763,0.095565,0.23611,9.6758,0.096141,0.23542,4.8967,1,0.98343,11.663,12.25,6.845
9.6749,0.096089,0.23713,9.6745,0.096675,0.23643,4.9099,1,0.99346,11.673,12.25,6.845
9.6736,0.096614,0.23815,9.6731,0.097208,0.23744,4.9232,1,1.0035,11.684,12.25,6.845
9.6722,0.097138,0.23917,9.6717,0.097742,0.23846,4.9364,1,1.0135,11.694,12.25,6.845
9.6708,0.097642,0.2402,9.6703,0.098253,0.23947,4.9497,1,1.0236,11.704,12.25,6.845
9.6694,0.098103,0.24125,9.6689,0.098722,0.24052,4.9633,1,1.0336,11.714,12.25,6.845
9.6679,0.098684,0.24238,9.6674,0.099314,0.24164,4.9777,1,1.0436,11.724,12.25,6.845
9.6665,0.099264,0.24351,9.6659,0.099906,0.24276,4.9921,1,1.0537,11.734,12.25,6.845
9.665,0.099844,0.24464,9.6644,0.1005,0.24388,5.0066,1,1.0637,11.744,12.25,6.845
9.6635,0.10042,0.24576,9.6629,0.10109,0.245,5.021,1,1.0737,11.754,12.25,6.845
9.662,0.101,0.24689,9.6614,0.10168,0.24611,5.0354,1,1.0838,11.764,12.25,6.845
9.6605,0.10158,0.24802,9.66,0.10227,0.24723,5.0499,1,1.0938,11.774,12.25,6.845
9.6591,0.10216,0.24915,9.6585,0.10287,0.24835,5.0643,1,1.1038,11.784,12.25,6.845
9.6576,0.10275,0.25028,9.657,0.10346,0.24947,5.0787,1,1.1139,11.794,12.25,6.845
9.6561,0.10333,0.25141,9.6555,0.10405,0.25059,5.0932,1,1.1239,11.804,12.25,6.845
9.6546,0.10391,0.25254,9.654,0.10464,0.25171,5.1076,1,1.134,11.814,12.25,6.845
9.6532,0.10449,0.25367,9.6525,0.10523,0.25283,5.122,1,1.144,11.824,12.25,6.845
9.6517,0.10507,0.2548,9.651,0.10583,0.25395,5.1365,1,1.154,11.834,12.25,6.845
9.6502,0.10565,0.25592,9.6495,0.10642,0.25507,5.1509,1,1.1641,11.844,12.25,6.845
9.6487,0.10623,0.25705,9.648,0.10701,0.25619,5.1653,1,1.1741,11.854,12.25,6.845
9.6472,0.10679,0.25819,9.6465,0.10758,0.25731,5.1798,1,1.1841,11.864,12.25,6.845
9.6457,0.10729,0.25934,9.645,0.10809,0.25846,5.1945,1,1.1942,11.874,12.25,6.845
