"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.16966,9.1022,0.19848,0.11872,9.1034,0.19929,0.11983,10.552,1,0,12.48,12.055,5
-0.16969,9.1022,0.19846,0.11947,9.1034,0.19928,0.12057,10.552,1,0.0033751,12.48,12.055,5.0034
-0.16971,9.1021,0.19844,0.12022,9.1033,0.19927,0.12131,10.553,1,0.0067501,12.48,12.055,5.0068
-0.16974,9.1021,0.19843,0.12096,9.1033,0.19927,0.12205,10.553,1,0.010125,12.48,12.055,5.0101
-0.16976,9.1021,0.19841,0.12171,9.1033,0.19926,0.12279,10.553,1,0.0135,12.48,12.055,5.0135
-0.16978,9.102,0.1984,0.12246,9.1033,0.19926,0.12353,10.553,1,0.016875,12.48,12.055,5.0169
-0.16981,9.102,0.19838,0.12321,9.1033,0.19925,0.12427,10.554,1,0.02025,12.48,12.055,5.0202
-0.16983,9.102,0.19837,0.12395,9.1032,0.19925,0.12501,10.554,1,0.023625,12.48,12.055,5.0236
-0.16986,9.1019,0.19835,0.1247,9.1032,0.19924,0.12575,10.554,1,0.027,12.48,12.055,5.027
-0.16988,9.1019,0.19834,0.12545,9.1032,0.19923,0.12649,10.555,1,0.030375,12.48,12.055,5.0304
-0.1699,9.1019,0.19832,0.1262,9.1032,0.19923,0.12723,10.555,1,0.03375,12.48,12.055,5.0338
-0.16992,9.1019,0.19831,0.12695,9.1032,0.19923,0.12798,10.555,1,0.037125,12.48,12.055,5.0371
-0.16994,9.1018,0.19829,0.1277,9.1032,0.19922,0.12872,10.555,1,0.0405,12.48,12.055,5.0405
-0.16996,9.1018,0.19828,0.12846,9.1031,0.19922,0.12947,10.555,1,0.043875,12.48,12.055,5.0439
-0.16998,9.1018,0.19826,0.12921,9.1031,0.19921,0.13021,10.555,1,0.04725,12.48,12.055,5.0472
-0.17001,9.1018,0.19825,0.12996,9.1031,0.19921,0.13096,10.556,1,0.050625,12.48,12.055,5.0506
-0.17003,9.1017,0.19823,0.13071,9.1031,0.1992,0.1317,10.556,1,0.054,12.48,12.055,5.054
-0.17005,9.1017,0.19822,0.13146,9.1031,0.1992,0.13245,10.556,1,0.057375,12.48,12.055,5.0574
-0.17007,9.1017,0.1982,0.13221,9.103,0.19919,0.13319,10.556,1,0.06075,12.48,12.055,5.0608
-0.17009,9.1017,0.19819,0.13296,9.103,0.19919,0.13394,10.556,1,0.064125,12.48,12.055,5.0641
-0.17011,9.1016,0.19818,0.13372,9.103,0.19918,0.13468,10.556,1,0.0675,12.48,12.055,5.0675
-0.17013,9.1016,0.19816,0.13447,9.103,0.19918,0.13543,10.557,1,0.070875,12.48,12.055,5.0709
-0.17015,9.1016,0.19815,0.13522,9.103,0.19917,0.13618,10.557,1,0.07425,12.48,12.055,5.0743
-0.17017,9.1015,0.19813,0.13597,9.103,0.19917,0.13692,10.557,1,0.077625,12.48,12.055,5.0776
-0.17019,9.1015,0.19812,0.13672,9.1029,0.19916,0.13767,10.557,1,0.081,12.48,12.055,5.081
-0.17021,9.1015,0.1981,0.13747,9.1029,0.19916,0.13841,10.557,1,0.084375,12.48,12.055,5.0844
-0.17023,9.1016,0.19808,0.13823,9.103,0.19915,0.13915,10.557,1,0.08775,12.48,12.055,5.0877
-0.17024,9.1016,0.19806,0.13898,9.1031,0.19913,0.13989,10.557,1,0.091125,12.48,12.055,5.0911
-0.17026,9.1017,0.19803,0.13974,9.1032,0.19912,0.14064,10.556,1,0.0945,12.48,12.055,5.0945
-0.17027,9.1018,0.19801,0.14049,9.1033,0.1991,0.14138,10.556,1,0.097875,12.48,12.055,5.0979
-0.17028,9.1019,0.19799,0.14125,9.1034,0.19909,0.14212,10.556,1,0.10125,12.48,12.055,5.1013
-0.17029,9.102,0.19796,0.142,9.1034,0.19907,0.14286,10.555,1,0.10463,12.48,12.055,5.1046
-0.17031,9.102,0.19794,0.14275,9.1035,0.19906,0.1436,10.555,1,0.108,12.48,12.055,5.108
-0.17032,9.1021,0.19792,0.14351,9.1036,0.19904,0.14435,10.555,1,0.11137,12.48,12.055,5.1114
-0.17033,9.1022,0.19789,0.14426,9.1037,0.19903,0.14509,10.554,1,0.11475,12.48,12.055,5.1147
-0.17035,9.1023,0.19787,0.14502,9.1038,0.19901,0.14583,10.554,1,0.11812,12.48,12.055,5.1181
-0.17036,9.1024,0.19785,0.14577,9.1039,0.199,0.14657,10.554,1,0.1215,12.48,12.055,5.1215
-0.17037,9.1025,0.19782,0.14653,9.104,0.19898,0.14731,10.554,1,0.12488,12.48,12.055,5.1249
-0.17039,9.1025,0.1978,0.14728,9.1041,0.19897,0.14805,10.553,1,0.12825,12.48,12.055,5.1283
-0.1704,9.1026,0.19778,0.14804,9.1042,0.19895,0.1488,10.553,1,0.13163,12.48,12.055,5.1316
-0.17041,9.1027,0.19775,0.14879,9.1042,0.19894,0.14954,10.553,1,0.135,12.48,12.055,5.135
-0.17043,9.1028,0.19773,0.14955,9.1043,0.19892,0.15028,10.552,1,0.13837,12.48,12.055,5.1384
-0.17044,9.1029,0.1977,0.1503,9.1044,0.19891,0.15102,10.552,1,0.14175,12.48,12.055,5.1417
-0.17045,9.103,0.19768,0.15106,9.1045,0.19889,0.15176,10.552,1,0.14512,12.48,12.055,5.1451
-0.17047,9.103,0.19766,0.15181,9.1046,0.19888,0.15251,10.551,1,0.1485,12.48,12.055,5.1485
-0.17048,9.1031,0.19763,0.15257,9.1047,0.19886,0.15325,10.551,1,0.15188,12.48,12.055,5.1519
-0.17049,9.1032,0.19761,0.15332,9.1048,0.19885,0.15399,10.551,1,0.15525,12.48,12.055,5.1553
-0.1705,9.1033,0.19759,0.15408,9.1049,0.19884,0.15473,10.55,1,0.15863,12.48,12.055,5.1586
-0.17052,9.1034,0.19756,0.15483,9.105,0.19882,0.15547,10.55,1,0.162,12.48,12.055,5.162
-0.17053,9.1035,0.19754,0.15559,9.1051,0.19881,0.15621,10.55,1,0.16538,12.48,12.055,5.1654
-0.17054,9.1035,0.19752,0.15634,9.1051,0.19879,0.15696,10.549,1,0.16875,12.48,12.055,5.1687
-0.17056,9.1036,0.19749,0.1571,9.1052,0.19878,0.1577,10.549,1,0.17212,12.48,12.055,5.1721
-0.17057,9.1037,0.19747,0.15785,9.1053,0.19876,0.15844,10.549,1,0.1755,12.48,12.055,5.1755
-0.17058,9.1038,0.19745,0.1586,9.1054,0.19875,0.15918,10.548,1,0.17887,12.48,12.055,5.1789
-0.1706,9.1039,0.19742,0.15936,9.1055,0.19873,0.15992,10.548,1,0.18225,12.48,12.055,5.1823
-0.17061,9.104,0.1974,0.16011,9.1056,0.19872,0.16067,10.548,1,0.18563,12.48,12.055,5.1856
-0.17062,9.104,0.19738,0.16087,9.1057,0.1987,0.16141,10.547,1,0.189,12.48,12.055,5.189
-0.17064,9.1041,0.19735,0.16162,9.1058,0.19869,0.16215,10.547,1,0.19238,12.48,12.055,5.1924
-0.17065,9.1042,0.19733,0.16238,9.1059,0.19867,0.16289,10.547,1,0.19575,12.48,12.055,5.1958
-0.17066,9.1043,0.19731,0.16313,9.106,0.19866,0.16363,10.546,1,0.19912,12.48,12.055,5.1991
-0.17068,9.1044,0.19728,0.16389,9.106,0.19864,0.16437,10.546,1,0.2025,12.48,12.055,5.2025
-0.17069,9.1044,0.19726,0.16464,9.1061,0.19863,0.16512,10.546,1,0.20587,12.48,12.055,5.2059
-0.1707,9.1045,0.19724,0.1654,9.1062,0.19861,0.16586,10.546,1,0.20925,12.48,12.055,5.2092
-0.17072,9.1046,0.19721,0.16615,9.1063,0.1986,0.1666,10.545,1,0.21263,12.48,12.055,5.2126
-0.17073,9.1047,0.19719,0.16691,9.1064,0.19858,0.16734,10.545,1,0.216,12.48,12.055,5.216
-0.17074,9.1048,0.19716,0.16766,9.1065,0.19857,0.16808,10.545,1,0.21938,12.48,12.055,5.2194
-0.17075,9.1049,0.19714,0.16842,9.1066,0.19855,0.16883,10.544,1,0.22275,12.48,12.055,5.2228
-0.17077,9.1049,0.19712,0.16917,9.1067,0.19854,0.16957,10.544,1,0.22612,12.48,12.055,5.2261
-0.17078,9.105,0.19709,0.16993,9.1068,0.19852,0.17031,10.544,1,0.2295,12.48,12.055,5.2295
-0.17079,9.1051,0.19707,0.17068,9.1068,0.19851,0.17105,10.543,1,0.23287,12.48,12.055,5.2329
-0.17081,9.1052,0.19705,0.17144,9.1069,0.19849,0.17179,10.543,1,0.23625,12.48,12.055,5.2362
-0.17082,9.1053,0.19702,0.17219,9.107,0.19848,0.17253,10.543,1,0.23962,12.48,12.055,5.2396
-0.17083,9.1054,0.197,0.17295,9.1071,0.19846,0.17328,10.542,1,0.243,12.48,12.055,5.243
-0.17085,9.1054,0.19698,0.1737,9.1072,0.19845,0.17402,10.542,1,0.24638,12.48,12.055,5.2464
-0.17086,9.1055,0.19695,0.17445,9.1073,0.19843,0.17476,10.542,1,0.24975,12.48,12.055,5.2498
-0.17087,9.1056,0.19693,0.17521,9.1074,0.19842,0.1755,10.541,1,0.25313,12.48,12.055,5.2531
-0.17089,9.1057,0.19691,0.17596,9.1075,0.1984,0.17624,10.541,1,0.2565,12.48,12.055,5.2565
-0.1709,9.1058,0.19688,0.17672,9.1076,0.19839,0.17699,10.541,1,0.25987,12.48,12.055,5.2599
-0.17091,9.1059,0.19686,0.17747,9.1077,0.19837,0.17773,10.54,1,0.26325,12.48,12.055,5.2632
-0.17093,9.1059,0.19684,0.17823,9.1077,0.19836,0.17847,10.54,1,0.26662,12.48,12.055,5.2666
-0.17094,9.106,0.19681,0.17898,9.1078,0.19834,0.17921,10.54,1,0.27,12.48,12.055,5.27
-0.17095,9.1061,0.19679,0.17974,9.1079,0.19833,0.17995,10.539,1,0.27338,12.48,12.055,5.2734
-0.17096,9.1062,0.19677,0.18049,9.108,0.19832,0.1807,10.539,1,0.27675,12.48,12.055,5.2768
-0.17098,9.1063,0.19675,0.18125,9.1081,0.1983,0.18144,10.539,1,0.28013,12.48,12.055,5.2801
-0.17099,9.1064,0.19673,0.18201,9.1082,0.19829,0.18219,10.538,1,0.2835,12.48,12.055,5.2835
-0.171,9.1064,0.19671,0.18277,9.1083,0.19828,0.18294,10.537,1,0.28687,12.48,12.055,5.2869
-0.17101,9.1065,0.19669,0.18353,9.1084,0.19827,0.18369,10.537,1,0.29025,12.48,12.055,5.2902
-0.17102,9.1066,0.19667,0.18429,9.1085,0.19826,0.18443,10.536,1,0.29362,12.48,12.055,5.2936
-0.17104,9.1067,0.19665,0.18505,9.1085,0.19825,0.18518,10.536,1,0.297,12.48,12.055,5.297
-0.17105,9.1068,0.19663,0.18581,9.1086,0.19824,0.18593,10.535,1,0.30037,12.48,12.055,5.3004
-0.17106,9.1069,0.19661,0.18657,9.1087,0.19823,0.18668,10.535,1,0.30375,12.48,12.055,5.3038
-0.17107,9.1069,0.19659,0.18732,9.1088,0.19821,0.18742,10.534,1,0.30713,12.48,12.055,5.3071
-0.17108,9.107,0.19658,0.18808,9.1089,0.1982,0.18817,10.534,1,0.3105,12.48,12.055,5.3105
-0.17109,9.1071,0.19656,0.18884,9.109,0.19819,0.18892,10.533,1,0.31388,12.48,12.055,5.3139
-0.17111,9.1072,0.19654,0.1896,9.1091,0.19818,0.18967,10.533,1,0.31725,12.48,12.055,5.3172
-0.17112,9.1073,0.19652,0.19036,9.1092,0.19817,0.19041,10.532,1,0.32062,12.48,12.055,5.3206
-0.17113,9.1074,0.1965,0.19112,9.1093,0.19816,0.19116,10.532,1,0.324,12.48,12.055,5.324
-0.17114,9.1075,0.19648,0.19188,9.1093,0.19815,0.19191,10.531,1,0.32737,12.48,12.055,5.3274
-0.17115,9.1075,0.19646,0.19264,9.1094,0.19813,0.19266,10.531,1,0.33075,12.48,12.055,5.3307
-0.17116,9.1077,0.19644,0.19339,9.1096,0.19812,0.1934,10.53,1,0.33413,12.48,12.055,5.3341
-0.17116,9.1079,0.1964,0.19414,9.1098,0.19809,0.19413,10.529,1,0.3375,12.48,12.055,5.3375
-0.17115,9.1081,0.19637,0.19489,9.11,0.19807,0.19487,10.527,1,0.34088,12.48,12.055,5.3409
-0.17115,9.1083,0.19634,0.19564,9.1102,0.19804,0.1956,10.526,1,0.34425,12.48,12.055,5.3443
-0.17115,9.1085,0.19631,0.19639,9.1104,0.19802,0.19633,10.525,1,0.34762,12.48,12.055,5.3476
-0.17115,9.1087,0.19628,0.19714,9.1106,0.19799,0.19707,10.524,1,0.351,12.48,12.055,5.351
-0.17114,9.1089,0.19625,0.19789,9.1108,0.19797,0.1978,10.523,1,0.35437,12.48,12.055,5.3544
-0.17114,9.1091,0.19622,0.19864,9.111,0.19794,0.19854,10.522,1,0.35775,12.48,12.055,5.3577
-0.17114,9.1093,0.19618,0.19939,9.1112,0.19792,0.19927,10.52,1,0.36112,12.48,12.055,5.3611
-0.17114,9.1095,0.19615,0.20014,9.1114,0.19789,0.2,10.519,1,0.3645,12.48,12.055,5.3645
-0.17113,9.1097,0.19612,0.20089,9.1116,0.19787,0.20074,10.518,1,0.36788,12.48,12.055,5.3679
-0.17113,9.1099,0.19609,0.20164,9.1118,0.19784,0.20147,10.517,1,0.37125,12.48,12.055,5.3713
-0.17113,9.1101,0.19606,0.20239,9.112,0.19782,0.20221,10.516,1,0.37463,12.48,12.055,5.3746
-0.17113,9.1103,0.19603,0.20314,9.1122,0.19779,0.20294,10.515,1,0.378,12.48,12.055,5.378
-0.17112,9.1105,0.196,0.20389,9.1124,0.19777,0.20368,10.513,1,0.38137,12.48,12.055,5.3814
-0.17112,9.1107,0.19596,0.20464,9.1126,0.19774,0.20441,10.512,1,0.38475,12.48,12.055,5.3847
-0.17112,9.1109,0.19593,0.20539,9.1128,0.19772,0.20514,10.511,1,0.38812,12.48,12.055,5.3881
-0.17111,9.1111,0.1959,0.20613,9.113,0.19769,0.20588,10.51,1,0.3915,12.48,12.055,5.3915
-0.17111,9.1113,0.19587,0.20688,9.1132,0.19767,0.20661,10.509,1,0.39488,12.48,12.055,5.3949
-0.17111,9.1115,0.19584,0.20763,9.1134,0.19764,0.20735,10.508,1,0.39825,12.48,12.055,5.3983
-0.17111,9.1117,0.19581,0.20838,9.1136,0.19762,0.20808,10.506,1,0.40163,12.48,12.055,5.4016
-0.1711,9.1119,0.19577,0.20913,9.1138,0.19759,0.20881,10.505,1,0.405,12.48,12.055,5.405
-0.1711,9.1121,0.19574,0.20988,9.114,0.19757,0.20955,10.504,1,0.40837,12.48,12.055,5.4084
-0.1711,9.1123,0.19571,0.21063,9.1141,0.19754,0.21028,10.503,1,0.41175,12.48,12.055,5.4117
-0.1711,9.1125,0.19568,0.21138,9.1143,0.19752,0.21102,10.502,1,0.41512,12.48,12.055,5.4151
-0.17109,9.1127,0.19565,0.21213,9.1145,0.19749,0.21175,10.501,1,0.4185,12.48,12.055,5.4185
-0.17109,9.1129,0.19562,0.21288,9.1147,0.19747,0.21249,10.499,1,0.42188,12.48,12.055,5.4219
-0.17109,9.1131,0.19559,0.21363,9.1149,0.19744,0.21322,10.498,1,0.42525,12.48,12.055,5.4253
-0.17109,9.1133,0.19555,0.21438,9.1151,0.19742,0.21395,10.497,1,0.42863,12.48,12.055,5.4286
-0.17108,9.1135,0.19552,0.21513,9.1153,0.19739,0.21469,10.496,1,0.432,12.48,12.055,5.432
-0.17108,9.1137,0.19549,0.21588,9.1155,0.19737,0.21542,10.495,1,0.43538,12.48,12.055,5.4354
-0.17108,9.1139,0.19546,0.21663,9.1157,0.19734,0.21616,10.494,1,0.43875,12.48,12.055,5.4387
-0.17108,9.1141,0.19543,0.21738,9.1159,0.19732,0.21689,10.492,1,0.44212,12.48,12.055,5.4421
-0.17107,9.1143,0.1954,0.21813,9.1161,0.19729,0.21762,10.491,1,0.4455,12.48,12.055,5.4455
-0.17107,9.1145,0.19537,0.21888,9.1163,0.19727,0.21836,10.49,1,0.44887,12.48,12.055,5.4489
-0.17107,9.1147,0.19533,0.21963,9.1165,0.19724,0.21909,10.489,1,0.45225,12.48,12.055,5.4523
-0.17106,9.1149,0.1953,0.22038,9.1167,0.19722,0.21983,10.488,1,0.45563,12.48,12.055,5.4556
-0.17106,9.1151,0.19527,0.22113,9.1169,0.19719,0.22056,10.487,1,0.459,12.48,12.055,5.459
-0.17106,9.1153,0.19524,0.22188,9.1171,0.19717,0.2213,10.485,1,0.46238,12.48,12.055,5.4624
-0.17106,9.1155,0.19521,0.22263,9.1173,0.19714,0.22203,10.484,1,0.46575,12.48,12.055,5.4658
-0.17105,9.1157,0.19518,0.22338,9.1175,0.19712,0.22276,10.483,1,0.46912,12.48,12.055,5.4691
-0.17105,9.1159,0.19514,0.22413,9.1177,0.19709,0.2235,10.482,1,0.4725,12.48,12.055,5.4725
-0.17105,9.1161,0.19511,0.22487,9.1179,0.19707,0.22423,10.481,1,0.47587,12.48,12.055,5.4759
-0.17105,9.1163,0.19508,0.22562,9.1181,0.19704,0.22497,10.48,1,0.47925,12.48,12.055,5.4792
-0.17104,9.1165,0.19505,0.22637,9.1183,0.19702,0.2257,10.478,1,0.48263,12.48,12.055,5.4826
-0.17104,9.1167,0.19502,0.22712,9.1185,0.19699,0.22643,10.477,1,0.486,12.48,12.055,5.486
-0.17104,9.1168,0.19499,0.22787,9.1187,0.19697,0.22717,10.476,1,0.48938,12.48,12.055,5.4894
-0.17104,9.117,0.19496,0.22862,9.1189,0.19694,0.2279,10.475,1,0.49275,12.48,12.055,5.4928
-0.17103,9.1172,0.19492,0.22937,9.1191,0.19692,0.22864,10.474,1,0.49613,12.48,12.055,5.4961
-0.17103,9.1174,0.19489,0.23012,9.1193,0.19689,0.22937,10.473,1,0.4995,12.48,12.055,5.4995
-0.17103,9.1176,0.19486,0.23087,9.1195,0.19687,0.23011,10.471,1,0.50287,12.48,12.055,5.5029
-0.17103,9.1178,0.19483,0.23162,9.1197,0.19684,0.23084,10.47,1,0.50625,12.48,12.055,5.5062
-0.17102,9.118,0.1948,0.23237,9.1199,0.19682,0.23157,10.469,1,0.50962,12.48,12.055,5.5096
-0.17102,9.1182,0.19477,0.23312,9.1201,0.19679,0.23231,10.468,1,0.513,12.48,12.055,5.513
-0.17102,9.1184,0.19474,0.23387,9.1203,0.19677,0.23304,10.467,1,0.51638,12.48,12.055,5.5164
-0.17101,9.1186,0.1947,0.23462,9.1205,0.19674,0.23378,10.466,1,0.51975,12.48,12.055,5.5198
-0.17101,9.1188,0.19467,0.23537,9.1207,0.19672,0.23451,10.464,1,0.52313,12.48,12.055,5.5231
-0.17101,9.119,0.19465,0.23612,9.1209,0.1967,0.23525,10.463,1,0.5265,12.48,12.055,5.5265
-0.17101,9.1192,0.19462,0.23688,9.1211,0.19668,0.23599,10.461,1,0.52987,12.48,12.055,5.5299
-0.17101,9.1194,0.1946,0.23763,9.1213,0.19666,0.23673,10.46,1,0.53325,12.48,12.055,5.5332
-0.17101,9.1196,0.19458,0.23839,9.1215,0.19664,0.23747,10.459,1,0.53662,12.48,12.055,5.5366
-0.17101,9.1198,0.19455,0.23914,9.1217,0.19662,0.23821,10.457,1,0.54,12.48,12.055,5.54
-0.17101,9.12,0.19453,0.2399,9.1219,0.1966,0.23896,10.456,1,0.54338,12.48,12.055,5.5434
-0.17101,9.1202,0.1945,0.24065,9.1221,0.19658,0.2397,10.454,1,0.54675,12.48,12.055,5.5468
-0.17101,9.1204,0.19448,0.2414,9.1223,0.19656,0.24044,10.453,1,0.55013,12.48,12.055,5.5501
-0.17101,9.1206,0.19446,0.24216,9.1225,0.19655,0.24118,10.452,1,0.5535,12.48,12.055,5.5535
-0.17101,9.1208,0.19443,0.24291,9.1227,0.19653,0.24192,10.45,1,0.55688,12.48,12.055,5.5569
-0.171,9.121,0.19441,0.24367,9.1229,0.19651,0.24266,10.449,1,0.56025,12.48,12.055,5.5602
-0.171,9.1212,0.19438,0.24442,9.1231,0.19649,0.2434,10.447,1,0.56362,12.48,12.055,5.5636
-0.171,9.1214,0.19436,0.24518,9.1233,0.19647,0.24414,10.446,1,0.567,12.48,12.055,5.567
-0.171,9.1216,0.19434,0.24593,9.1235,0.19645,0.24488,10.444,1,0.57037,12.48,12.055,5.5704
-0.171,9.1218,0.19431,0.24669,9.1237,0.19643,0.24562,10.443,1,0.57375,12.48,12.055,5.5738
-0.171,9.122,0.19429,0.24744,9.1239,0.19641,0.24636,10.442,1,0.57713,12.48,12.055,5.5771
-0.171,9.1223,0.19426,0.24819,9.1241,0.19639,0.2471,10.44,1,0.5805,12.48,12.055,5.5805
-0.17098,9.1226,0.19422,0.24892,9.1244,0.19635,0.24781,10.438,1,0.58388,12.48,12.055,5.5839
-0.17095,9.1229,0.19418,0.24965,9.1247,0.19632,0.24853,10.436,1,0.58725,12.48,12.055,5.5873
-0.17093,9.1232,0.19414,0.25038,9.125,0.19628,0.24924,10.433,1,0.59062,12.48,12.055,5.5906
-0.17091,9.1235,0.1941,0.25111,9.1253,0.19624,0.24996,10.431,1,0.594,12.48,12.055,5.594
-0.17089,9.1238,0.19406,0.25184,9.1256,0.19621,0.25067,10.429,1,0.59737,12.48,12.055,5.5974
-0.17086,9.1242,0.19402,0.25257,9.1259,0.19617,0.25139,10.427,1,0.60075,12.48,12.055,5.6007
-0.17084,9.1245,0.19397,0.2533,9.1263,0.19613,0.2521,10.424,1,0.60413,12.48,12.055,5.6041
-0.17082,9.1248,0.19393,0.25403,9.1266,0.19609,0.25282,10.422,1,0.6075,12.48,12.055,5.6075
-0.1708,9.1251,0.19389,0.25476,9.1269,0.19606,0.25353,10.42,1,0.61088,12.48,12.055,5.6109
-0.17077,9.1254,0.19385,0.25549,9.1272,0.19602,0.25425,10.418,1,0.61425,12.48,12.055,5.6143
-0.17075,9.1258,0.19381,0.25622,9.1275,0.19598,0.25496,10.415,1,0.61763,12.48,12.055,5.6176
-0.17073,9.1261,0.19377,0.25694,9.1278,0.19595,0.25568,10.413,1,0.621,12.48,12.055,5.621
-0.17071,9.1264,0.19373,0.25767,9.1281,0.19591,0.25639,10.411,1,0.62437,12.48,12.055,5.6244
-0.17069,9.1267,0.19369,0.2584,9.1284,0.19587,0.25711,10.409,1,0.62775,12.48,12.055,5.6277
-0.17066,9.127,0.19365,0.25913,9.1287,0.19584,0.25782,10.406,1,0.63112,12.48,12.055,5.6311
-0.17064,9.1273,0.19361,0.25986,9.129,0.1958,0.25854,10.404,1,0.6345,12.48,12.055,5.6345
