"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.373,0.29009,0.44857,5.8901,0.28881,0.25432,1,6.1213,13.801,11.25,6.845
5.3313,0.28987,0.42324,5.8717,0.28866,0.21938,1,6.2217,13.902,11.25,6.845
5.2936,0.28991,0.40138,5.8604,0.28829,0.18822,1,6.3221,14.002,11.25,6.845
5.2562,0.28998,0.37991,5.8499,0.28789,0.1575,1,6.4224,14.102,11.25,6.845
5.2222,0.29028,0.36096,5.8449,0.28731,0.1297,1,6.5228,14.203,11.25,6.845
5.1891,0.29063,0.34268,5.8415,0.28667,0.10269,1,6.6231,14.303,11.25,6.845
5.1585,0.29116,0.32603,5.842,0.2859,0.077725,1,6.7235,14.403,11.25,6.845
5.1294,0.29181,0.31033,5.8448,0.28504,0.053977,1,6.8238,14.504,11.25,6.845
5.1017,0.29257,0.2955,5.85,0.28409,0.031423,1,6.9241,14.604,11.25,6.845
5.0762,0.29351,0.28187,5.8585,0.28301,0.010519,1,7.0245,14.705,11.25,6.845
5.0513,0.2945,0.2685,5.8678,0.2819,-0.0099887,1,7.1248,14.805,11.25,6.845
5.0291,0.29573,0.25652,5.8813,0.2806,-0.028429,1,7.2252,14.905,11.25,6.845
5.0068,0.29696,0.24455,5.8948,0.2793,-0.04687,1,7.3256,15.006,11.25,6.845
4.9872,0.29842,0.2337,5.9121,0.2778,-0.063506,1,7.4259,15.106,11.25,6.845
4.968,0.29993,0.22306,5.9301,0.27627,-0.079825,1,7.5263,15.206,11.25,6.845
4.9501,0.30156,0.21295,5.95,0.27462,-0.095257,1,7.6266,15.307,11.25,6.845
4.9336,0.30333,0.2034,5.972,0.27284,-0.10975,1,7.727,15.407,11.25,6.845
4.9173,0.30511,0.19392,5.9943,0.27104,-0.12414,1,7.8273,15.507,11.25,6.845
4.9033,0.30709,0.1853,6.0199,0.269,-0.13707,1,7.9276,15.608,11.25,6.845
4.8893,0.30907,0.17668,6.0455,0.26695,-0.14999,1,8.028,15.708,11.25,6.845
4.8767,0.31111,0.16853,6.073,0.26474,-0.1621,1,8.1283,15.808,11.25,6.845
4.865,0.31321,0.1607,6.1019,0.26241,-0.17366,1,8.2287,15.909,11.25,6.845
4.8535,0.31529,0.1529,6.131,0.26006,-0.18515,1,8.3291,16.009,11.25,6.845
4.8439,0.31734,0.14572,6.1628,0.25743,-0.19551,1,8.4294,16.109,11.25,6.845
4.8344,0.31939,0.13853,6.1946,0.2548,-0.20588,1,8.5297,16.21,11.25,6.845
4.8258,0.32136,0.13162,6.2277,0.25204,-0.21574,1,8.6301,16.31,11.25,6.845
4.8183,0.32323,0.125,6.2622,0.24914,-0.22505,1,8.7304,16.41,11.25,6.845
4.8108,0.32511,0.11838,6.2967,0.24623,-0.23436,1,8.8308,16.511,11.25,6.845
4.805,0.32679,0.11221,6.3332,0.24311,-0.24288,1,8.9312,16.611,11.25,6.845
4.7995,0.32843,0.10614,6.3702,0.23994,-0.25125,1,9.0315,16.712,11.25,6.845
4.7943,0.33004,0.10014,6.4074,0.23675,-0.25952,1,9.1318,16.812,11.25,6.845
4.7909,0.33143,0.094683,6.4465,0.23335,-0.26704,1,9.2322,16.912,11.25,6.845
4.7876,0.33281,0.089222,6.4856,0.22996,-0.27457,1,9.3326,17.013,11.25,6.845
4.7852,0.33406,0.083973,6.5254,0.22649,-0.28184,1,9.4329,17.113,11.25,6.845
4.7843,0.33504,0.079117,6.5665,0.22289,-0.28863,1,9.5332,17.213,11.25,6.845
4.7835,0.33602,0.074262,6.6076,0.2193,-0.29541,1,9.6336,17.314,11.25,6.845
4.7844,0.33662,0.069584,6.6495,0.21563,-0.30186,1,9.7339,17.414,11.25,6.845
4.787,0.33686,0.065072,6.6922,0.21188,-0.30799,1,9.8343,17.514,11.25,6.845
4.7895,0.3371,0.06056,6.7349,0.20814,-0.31412,1,9.9347,17.615,11.25,6.845
4.7948,0.33671,0.055959,6.7784,0.20434,-0.31988,1,10.035,17.715,11.25,6.845
