"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.0068,0.29696,0.24455,1,7.3256,15.006,11.25,6.845
4.9872,0.29842,0.2337,1,7.4259,15.106,11.25,6.845
4.968,0.29993,0.22306,1,7.5263,15.206,11.25,6.845
4.9501,0.30156,0.21295,1,7.6266,15.307,11.25,6.845
4.9336,0.30333,0.2034,1,7.727,15.407,11.25,6.845
4.9173,0.30511,0.19392,1,7.8273,15.507,11.25,6.845
4.9033,0.30709,0.1853,1,7.9276,15.608,11.25,6.845
4.8893,0.30907,0.17668,1,8.028,15.708,11.25,6.845
4.8767,0.31111,0.16853,1,8.1283,15.808,11.25,6.845
4.865,0.31321,0.1607,1,8.2287,15.909,11.25,6.845
4.8535,0.31529,0.1529,1,8.3291,16.009,11.25,6.845
4.8439,0.31734,0.14572,1,8.4294,16.109,11.25,6.845
4.8344,0.31939,0.13853,1,8.5297,16.21,11.25,6.845
4.8258,0.32136,0.13162,1,8.6301,16.31,11.25,6.845
4.8183,0.32323,0.125,1,8.7304,16.41,11.25,6.845
4.8108,0.32511,0.11838,1,8.8308,16.511,11.25,6.845
4.805,0.32679,0.11221,1,8.9312,16.611,11.25,6.845
4.7995,0.32843,0.10614,1,9.0315,16.712,11.25,6.845
4.7943,0.33004,0.10014,1,9.1318,16.812,11.25,6.845
4.7909,0.33143,0.094683,1,9.2322,16.912,11.25,6.845
4.7876,0.33281,0.089222,1,9.3326,17.013,11.25,6.845
4.7852,0.33406,0.083973,1,9.4329,17.113,11.25,6.845
4.7843,0.33504,0.079117,1,9.5332,17.213,11.25,6.845
4.7835,0.33602,0.074262,1,9.6336,17.314,11.25,6.845
4.7844,0.33662,0.069584,1,9.7339,17.414,11.25,6.845
4.787,0.33686,0.065072,1,9.8343,17.514,11.25,6.845
4.7895,0.3371,0.06056,1,9.9347,17.615,11.25,6.845
4.7948,0.33671,0.055959,1,10.035,17.715,11.25,6.845
