U:0,U:0,U:0,U0_avg,a_U0avg,,Points:0,x/d
4.8439,4.8568,4.7997,4.833466667,0.495555502,,16.109,0.913111111
4.8344,4.8492,4.7903,4.824633333,0.494649857,,16.21,0.935555556
4.8258,4.8417,4.7819,4.816466667,0.493812562,,16.31,0.957777778
4.8183,4.8349,4.7748,4.809333333,0.493081211,,16.41,0.98
4.8108,4.8296,4.7673,4.802566667,0.492387452,,16.511,1.002444444
4.805,4.8241,4.7622,4.7971,0.491826977,,16.611,1.024666667
4.7995,4.8202,4.7573,4.792333333,0.491338271,,16.712,1.047111111
4.7943,4.817,4.7523,4.787866667,0.490880322,,16.812,1.069333333
4.7909,4.8137,4.7506,4.785066667,0.490593249,,16.912,1.091555556
4.7876,4.8127,4.7481,4.7828,0.490360857,,17.013,1.114
4.7852,4.8118,4.7467,4.781233333,0.490200233,,17.113,1.136222222
4.7843,4.8113,4.7489,4.7815,0.490227573,,17.213,1.158444444
4.7835,4.8128,4.7489,4.781733333,0.490251496,,17.314,1.180888889
4.7844,4.8149,4.752,4.783766667,0.490459965,,17.414,1.203111111
4.787,4.8181,4.7588,4.787966667,0.490890574,,17.514,1.225333333
4.7895,4.8226,4.762,4.791366667,0.491239162,,17.615,1.247777778
4.7948,4.8287,4.7703,4.797933333,0.491912416,,17.715,1.27
