U:0,U:0,U:0,U0_avg,a_U0avg,a_U0_RT1-1,,,Points:2,r/R
9.5686,9.5721,9.5711,9.5706,1.03653,1.036549961,,,7.4637,1.094977778
9.577,9.5804,9.5795,9.578966667,1.03743,1.037459919,,,7.4975,1.11
9.5854,9.5887,9.5879,9.587333333,1.03834,1.038369876,,,7.5312,1.124977778
9.5937,9.5969,9.5962,9.5956,1.03923,1.039269001,,,7.565,1.14
9.6012,9.6044,9.6036,9.603066667,1.04004,1.040081463,,,7.5988,1.155022222
9.6086,9.6119,9.611,9.6105,1.04085,1.040883092,,,7.6325,1.17
9.6161,9.6194,9.6184,9.617966667,1.04166,1.041695554,,,7.6663,1.185022222
9.6236,9.6269,9.6259,9.625466667,1.04247,1.042508016,,,7.7,1.2
9.6311,9.6343,9.6333,9.6329,1.04327,1.043320478,,,7.7337,1.214977778
9.6386,9.6418,9.6407,9.640366667,1.04408,1.04413294,,,7.7675,1.23
9.6461,9.6492,9.6481,9.6478,1.04489,1.044945403,,,7.8012,1.244977778
9.6536,9.6566,9.6556,9.655266667,1.04570,1.045757865,,,7.835,1.26
9.6611,9.664,9.663,9.6627,1.04650,1.046570327,,,7.8688,1.275022222
9.6686,9.6714,9.6705,9.670166667,1.04731,1.047382789,,,7.9025,1.29
9.6761,9.6788,9.678,9.677633333,1.04812,1.048195251,,,7.9363,1.305022222
9.6836,9.6861,9.6855,9.685066667,1.04892,1.049007713,,,7.97,1.32
9.6911,9.6935,9.693,9.692533333,1.04973,1.049820175,,,8.0037,1.334977778
9.6985,9.7009,9.7005,9.699966667,1.05054,1.050621804,,,8.0375,1.35
9.7054,9.7077,9.7073,9.7068,1.05128,1.051369269,,,8.0712,1.364977778
9.7117,9.714,9.7135,9.713066667,1.05196,1.052051738,,,8.105,1.38
9.7179,9.7202,9.7197,9.719266667,1.05263,1.052723373,,,8.1388,1.395022222
9.7242,9.7265,9.7259,9.725533333,1.05331,1.053405841,,,8.1725,1.41
9.7304,9.7327,9.7321,9.731733333,1.05398,1.054077476,,,8.2063,1.425022222
9.7367,9.739,9.7382,9.737966667,1.05465,1.054759945,,,8.24,1.44
9.7429,9.7452,9.7444,9.744166667,1.05532,1.05543158,,,8.2738,1.455022222
9.7491,9.7513,9.7506,9.750333333,1.05599,1.056103215,,,8.3075,1.47
9.7554,9.7575,9.7568,9.756566667,1.05667,1.056785683,,,8.3413,1.485022222
9.7616,9.7637,9.763,9.762766667,1.05734,1.057457319,,,8.375,1.5
