"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-12.045,4.3166,0.28955,0.56451,4.6319,0.29644,0.47689,1,5.6196,13.3,11.25,6.845
-11.597,4.2515,0.29208,0.52621,4.6022,0.29742,0.43257,1,5.72,13.4,11.25,6.845
-11.181,4.1915,0.29428,0.49175,4.5781,0.29827,0.39047,1,5.8203,13.5,11.25,6.845
-10.796,4.1368,0.29613,0.4607,4.5593,0.299,0.3504,1,5.9207,13.601,11.25,6.845
-10.442,4.0898,0.29772,0.43369,4.5454,0.2996,0.31352,1,6.021,13.701,11.25,6.845
-10.13,4.048,0.29838,0.40929,4.5379,0.3,0.27789,1,6.1213,13.801,11.25,6.845
-9.84,4.0106,0.2987,0.38671,4.5344,0.30027,0.24389,1,6.2217,13.902,11.25,6.845
-9.5705,3.9771,0.29877,0.36577,4.5346,0.30041,0.21147,1,6.3221,14.002,11.25,6.845
-9.3261,3.9494,0.29864,0.34707,4.5386,0.30036,0.18196,1,6.4224,14.102,11.25,6.845
-9.1016,3.9229,0.29855,0.32909,4.5471,0.30013,0.15336,1,6.5228,14.203,11.25,6.845
-8.8903,3.8981,0.2986,0.31201,4.5585,0.29978,0.12611,1,6.6231,14.303,11.25,6.845
-8.694,3.8762,0.29885,0.29617,4.572,0.29924,0.1011,1,6.7235,14.403,11.25,6.845
-8.5137,3.8543,0.29954,0.28109,4.59,0.29851,0.077209,1,6.8238,14.504,11.25,6.845
-8.342,3.8332,0.30046,0.26666,4.6102,0.29767,0.054402,1,6.9241,14.604,11.25,6.845
-8.1804,3.8137,0.30165,0.25321,4.6316,0.29664,0.033385,1,7.0245,14.705,11.25,6.845
-8.0307,3.7943,0.30313,0.24057,4.6572,0.29545,0.013372,1,7.1248,14.805,11.25,6.845
-7.8868,3.7754,0.30469,0.22847,4.6845,0.29417,-0.0058105,1,7.2252,14.905,11.25,6.845
-7.7509,3.7583,0.30642,0.21739,4.7125,0.29268,-0.023472,1,7.3256,15.006,11.25,6.845
-7.623,3.7414,0.30814,0.20694,4.7442,0.2911,-0.040421,1,7.4259,15.106,11.25,6.845
-7.4993,3.7253,0.30987,0.19693,4.7772,0.28945,-0.056751,1,7.5263,15.206,11.25,6.845
-7.3828,3.711,0.31165,0.18794,4.8108,0.28757,-0.071691,1,7.6266,15.307,11.25,6.845
-7.271,3.6971,0.31335,0.17925,4.8475,0.28566,-0.086272,1,7.727,15.407,11.25,6.845
-7.1627,3.684,0.31508,0.17106,4.8845,0.28364,-0.10018,1,7.8273,15.507,11.25,6.845
-7.0608,3.6723,0.31682,0.16361,4.9236,0.28147,-0.11316,1,7.9276,15.608,11.25,6.845
-6.9614,3.661,0.31855,0.15634,4.9645,0.27928,-0.12591,1,8.028,15.708,11.25,6.845
-6.8662,3.6507,0.32036,0.14979,5.005,0.2769,-0.13778,1,8.1283,15.808,11.25,6.845
-6.7747,3.6411,0.32214,0.14345,5.0487,0.2745,-0.14936,1,8.2287,15.909,11.25,6.845
-6.6854,3.632,0.32398,0.1375,5.0921,0.272,-0.16048,1,8.3291,16.009,11.25,6.845
-6.6007,3.6238,0.32584,0.13208,5.1375,0.26937,-0.17099,1,8.4294,16.109,11.25,6.845
-6.5175,3.6161,0.32767,0.12674,5.1843,0.26674,-0.18137,1,8.5297,16.21,11.25,6.845
-6.4377,3.6086,0.32961,0.12209,5.2305,0.2639,-0.19104,1,8.6301,16.31,11.25,6.845
-6.3601,3.6021,0.33146,0.11748,5.2796,0.26108,-0.20063,1,8.7304,16.41,11.25,6.845
-6.2845,3.5954,0.33341,0.11341,5.3274,0.25809,-0.20972,1,8.8308,16.511,11.25,6.845
-6.2117,3.5899,0.33526,0.10952,5.3786,0.25509,-0.21863,1,8.9312,16.611,11.25,6.845
-6.1399,3.5842,0.3372,0.10604,5.4285,0.25197,-0.22723,1,9.0315,16.712,11.25,6.845
-6.0711,3.5794,0.3391,0.10305,5.4812,0.24877,-0.23555,1,9.1318,16.812,11.25,6.845
-6.003,3.5752,0.34103,0.1002,5.5346,0.24557,-0.24381,1,9.2322,16.912,11.25,6.845
-5.9373,3.5701,0.34298,0.098368,5.5871,0.24211,-0.25156,1,9.3326,17.013,11.25,6.845
-5.8725,3.5665,0.34496,0.096642,5.6422,0.23873,-0.2594,1,9.4329,17.113,11.25,6.845
-5.809,3.5615,0.34682,0.095848,5.6961,0.23512,-0.26684,1,9.5332,17.213,11.25,6.845
-5.7466,3.5582,0.34874,0.095387,5.7529,0.23156,-0.27437,1,9.6336,17.314,11.25,6.845
-5.6847,3.5532,0.3504,0.095764,5.8083,0.22779,-0.28158,1,9.7339,17.414,11.25,6.845
-5.6237,3.5502,0.3521,0.096556,5.8666,0.22406,-0.28889,1,9.8343,17.514,11.25,6.845
-5.5627,3.5448,0.35347,0.098104,5.9234,0.22014,-0.29595,1,9.9347,17.615,11.25,6.845
-5.5024,3.5423,0.3548,0.099942,5.9832,0.21626,-0.30312,1,10.035,17.715,11.25,6.845
