"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.6371,0.10071,-0.013423,9.6377,0.10036,-0.013759,6.1055,1,0,10.68,12.25,3.155
9.6357,0.10117,-0.013985,9.6363,0.10082,-0.014321,6.1194,1,0.010035,10.69,12.25,3.155
9.6343,0.10164,-0.014546,9.6349,0.10129,-0.014884,6.1332,1,0.02007,10.7,12.25,3.155
9.6329,0.10211,-0.015108,9.6335,0.10175,-0.015447,6.147,1,0.030105,10.71,12.25,3.155
9.6315,0.10257,-0.015669,9.6321,0.10221,-0.01601,6.1608,1,0.04014,10.72,12.25,3.155
9.6301,0.10304,-0.016231,9.6307,0.10268,-0.016573,6.1746,1,0.050175,10.73,12.25,3.155
9.6287,0.10351,-0.016792,9.6293,0.10314,-0.017136,6.1884,1,0.060209,10.74,12.25,3.155
9.6273,0.10397,-0.017354,9.6279,0.1036,-0.017699,6.2022,1,0.070245,10.75,12.25,3.155
9.6259,0.10444,-0.017915,9.6265,0.10406,-0.018262,6.2161,1,0.080279,10.76,12.25,3.155
9.6245,0.10491,-0.018477,9.6251,0.10453,-0.018825,6.2299,1,0.090315,10.77,12.25,3.155
9.6231,0.10537,-0.019038,9.6237,0.10499,-0.019388,6.2437,1,0.10035,10.78,12.25,3.155
9.6217,0.10584,-0.0196,9.6223,0.10545,-0.019951,6.2575,1,0.11038,10.79,12.25,3.155
9.6203,0.10631,-0.020161,9.6209,0.10591,-0.020514,6.2713,1,0.12042,10.8,12.25,3.155
9.6189,0.10678,-0.020723,9.6195,0.10638,-0.021077,6.2851,1,0.13046,10.81,12.25,3.155
9.6175,0.10724,-0.021284,9.6181,0.10684,-0.02164,6.299,1,0.14049,10.82,12.25,3.155
9.6161,0.10766,-0.021855,9.6166,0.10725,-0.022211,6.3131,1,0.15053,10.831,12.25,3.155
9.6146,0.10812,-0.022462,9.6152,0.10771,-0.02282,6.3276,1,0.16056,10.841,12.25,3.155
9.6131,0.10863,-0.023095,9.6137,0.10821,-0.023455,6.3424,1,0.1706,10.851,12.25,3.155
9.6116,0.10913,-0.023729,9.6122,0.10871,-0.024091,6.3572,1,0.18063,10.861,12.25,3.155
9.6102,0.10964,-0.024362,9.6107,0.10922,-0.024726,6.372,1,0.19066,10.871,12.25,3.155
9.6087,0.11015,-0.024996,9.6092,0.10972,-0.025361,6.3867,1,0.2007,10.881,12.25,3.155
9.6072,0.11066,-0.025629,9.6077,0.11022,-0.025996,6.4015,1,0.21073,10.891,12.25,3.155
9.6057,0.11117,-0.026263,9.6062,0.11073,-0.026631,6.4163,1,0.22077,10.901,12.25,3.155
9.6042,0.11168,-0.026896,9.6047,0.11123,-0.027267,6.4311,1,0.2308,10.911,12.25,3.155
9.6027,0.11218,-0.02753,9.6032,0.11173,-0.027902,6.4459,1,0.24084,10.921,12.25,3.155
9.6012,0.11269,-0.028163,9.6017,0.11223,-0.028537,6.4606,1,0.25087,10.931,12.25,3.155
9.5997,0.1132,-0.028797,9.6002,0.11274,-0.029172,6.4754,1,0.26091,10.941,12.25,3.155
9.5982,0.11371,-0.02943,9.5987,0.11324,-0.029807,6.4902,1,0.27094,10.951,12.25,3.155
9.5967,0.11422,-0.030064,9.5972,0.11374,-0.030443,6.505,1,0.28098,10.961,12.25,3.155
9.5952,0.11473,-0.030697,9.5958,0.11425,-0.031078,6.5198,1,0.29101,10.971,12.25,3.155
9.5937,0.11516,-0.031344,9.5942,0.11468,-0.031727,6.535,1,0.30105,10.981,12.25,3.155
