U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
19.507,0.818452631,-0.54815,-0.0031576,1,7.7269,18.407,11.25,3.155
19.512,0.818662415,-0.55036,0.00079123,1,7.8273,18.507,11.25,3.155
19.517,0.818872199,-0.55146,0.0032538,1,7.9277,18.608,11.25,3.155
19.521,0.819040027,-0.55245,0.0056202,1,8.028,18.708,11.25,3.155
19.526,0.819249811,-0.55268,0.0073492,1,8.1283,18.808,11.25,3.155
19.53,0.819417639,-0.55291,0.0090783,1,8.2287,18.909,11.25,3.155
19.534,0.819585466,-0.55296,0.01081,1,8.3291,19.009,11.25,3.155
19.538,0.819753294,-0.55302,0.012542,1,8.4294,19.109,11.25,3.155
19.543,0.819963078,-0.55327,0.014454,1,8.5297,19.21,11.25,3.155
19.548,0.820172862,-0.55356,0.016399,1,8.6301,19.31,11.25,3.155
19.553,0.820382647,-0.55403,0.018397,1,8.7304,19.41,11.25,3.155
19.559,0.820634388,-0.55459,0.020423,1,8.8308,19.511,11.25,3.155
19.565,0.820886129,-0.5552,0.022385,1,8.9312,19.611,11.25,3.155
19.572,0.821179827,-0.55586,0.024261,1,9.0315,19.712,11.25,3.155
19.579,0.821473525,-0.55651,0.026084,1,9.1318,19.812,11.25,3.155
19.587,0.82180918,-0.55706,0.027644,1,9.2322,19.912,11.25,3.155
19.595,0.822144835,-0.55761,0.029204,1,9.3326,20.013,11.25,3.155
19.604,0.822522447,-0.55794,0.030453,1,9.4329,20.113,11.25,3.155
19.613,0.822900059,-0.55823,0.031655,1,9.5332,20.213,11.25,3.155
19.621,0.823235714,-0.55838,0.032694,1,9.6336,20.314,11.25,3.155
19.63,0.823613326,-0.55841,0.033597,1,9.7339,20.414,11.25,3.155
19.639,0.823990937,-0.5584,0.034463,1,9.8343,20.514,11.25,3.155
19.648,0.824368549,-0.55822,0.035162,1,9.9347,20.615,11.25,3.155
19.658,0.824788118,-0.55804,0.035861,1,10.035,20.715,11.25,3.155
