"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.0096,8.6701,0.16441,0.066958,1,7.8273,15.507,11.25,6.845
-0.97188,8.6655,0.16442,0.064109,1,7.9276,15.608,11.25,6.845
-0.93806,8.661,0.16446,0.061163,1,8.028,15.708,11.25,6.845
-0.90329,8.6569,0.16447,0.058752,1,8.1283,15.808,11.25,6.845
-0.87129,8.6529,0.1645,0.056327,1,8.2287,15.909,11.25,6.845
-0.84212,8.6491,0.16453,0.053868,1,8.3291,16.009,11.25,6.845
-0.81252,8.6455,0.16455,0.05184,1,8.4294,16.109,11.25,6.845
-0.78598,8.6421,0.16459,0.049669,1,8.5297,16.21,11.25,6.845
-0.76027,8.6389,0.16461,0.04768,1,8.6301,16.31,11.25,6.845
-0.73509,8.6358,0.16463,0.045885,1,8.7304,16.41,11.25,6.845
-0.71272,8.6328,0.16467,0.043905,1,8.8308,16.511,11.25,6.845
-0.68977,8.6301,0.16468,0.042331,1,8.9312,16.611,11.25,6.845
-0.66906,8.6274,0.16471,0.040591,1,9.0315,16.712,11.25,6.845
-0.64872,8.625,0.16472,0.039048,1,9.1318,16.812,11.25,6.845
-0.62938,8.6226,0.16474,0.037541,1,9.2322,16.912,11.25,6.845
-0.61126,8.6203,0.16476,0.036033,1,9.3326,17.013,11.25,6.845
-0.59331,8.6182,0.16478,0.034712,1,9.4329,17.113,11.25,6.845
-0.57704,8.6161,0.1648,0.033253,1,9.5332,17.213,11.25,6.845
-0.56049,8.6143,0.16482,0.032075,1,9.6336,17.314,11.25,6.845
-0.54575,8.6124,0.16484,0.030676,1,9.7339,17.414,11.25,6.845
-0.53068,8.6108,0.16486,0.029587,1,9.8343,17.514,11.25,6.845
-0.5171,8.6091,0.16489,0.028288,1,9.9347,17.615,11.25,6.845
-0.50337,8.6077,0.16491,0.027261,1,10.035,17.715,11.25,6.845
