U:0,a,,Points:2,r/R
8.3404,0.855522161,,5,0
8.3913,0.860743263,,5.0338,0.015022222
8.4422,0.865964365,,5.0675,0.03
8.4056,0.862210095,,5.1013,0.045022222
8.2747,0.84878294,,5.135,0.06
8.1438,0.835355784,,5.1687,0.074977778
8.013,0.821938885,,5.2025,0.09
7.8821,0.80851173,,5.2362,0.104977778
7.7512,0.795084574,,5.27,0.12
7.6204,0.781667675,,5.3038,0.135022222
7.4931,0.768609792,,5.3375,0.15
7.3866,0.757685482,,5.3713,0.165022222
7.2801,0.746761173,,5.405,0.18
7.1736,0.735836864,,5.4387,0.194977778
7.0672,0.724922812,,5.4725,0.21
6.9607,0.713998502,,5.5062,0.224977778
6.8542,0.703074193,,5.54,0.24
6.7477,0.692149884,,5.5738,0.255022222
6.6642,0.683584815,,5.6075,0.27
6.5859,0.675553139,,5.6413,0.285022222
6.5076,0.667521464,,5.675,0.3
6.4293,0.659489789,,5.7087,0.314977778
6.351,0.651458113,,5.7425,0.33
6.2727,0.643426438,,5.7762,0.344977778
6.1945,0.63540502,,5.81,0.36
6.111,0.626839951,,5.8438,0.375022222
6.0221,0.617720974,,5.8775,0.39
5.9331,0.608591739,,5.9113,0.405022222
5.8442,0.599472761,,5.945,0.42
5.7552,0.590343526,,5.9788,0.435022222
5.6663,0.581224548,,6.0125,0.45
5.5773,0.572095313,,6.0462,0.464977778
5.4873,0.562863503,,6.08,0.48
5.3912,0.55300598,,6.1137,0.494977778
5.2952,0.543158715,,6.1475,0.51
5.1991,0.533301193,,6.1813,0.525022222
5.103,0.523443671,,6.215,0.54
5.007,0.513596406,,6.2488,0.555022222
4.9109,0.503738883,,6.2825,0.57
4.8148,0.493881361,,6.3162,0.584977778
4.7252,0.48469058,,6.35,0.6
4.6371,0.475653663,,6.3837,0.614977778
4.549,0.466616747,,6.4175,0.63
4.4609,0.45757983,,6.4513,0.645022222
4.3728,0.448542913,,6.485,0.66
4.2847,0.439505996,,6.5188,0.675022222
4.1966,0.430469079,,6.5525,0.69
4.1157,0.422170706,,6.5862,0.704977778
4.0428,0.41469294,,6.62,0.72
3.9698,0.407204915,,6.6537,0.734977778
3.8969,0.399727149,,6.6875,0.75
3.824,0.392249382,,6.7213,0.765022222
3.751,0.384761358,,6.755,0.78
3.6781,0.377283591,,6.7888,0.795022222
3.6138,0.370687975,,6.8225,0.81
3.5999,0.369262173,,6.8562,0.824977778
3.5859,0.367826114,,6.89,0.84
3.572,0.366400312,,6.9237,0.854977778
3.558,0.364964252,,6.9575,0.87
3.5441,0.36353845,,6.9913,0.885022222
3.5301,0.362102391,,7.025,0.9
3.5162,0.360676589,,7.0588,0.915022222
3.6426,0.373642154,,7.0925,0.93
3.801,0.389890141,,7.1262,0.944977778
3.9593,0.406127871,,7.16,0.96
4.1177,0.422375858,,7.1937,0.974977778
4.276,0.438613587,,7.2275,0.99
4.4344,0.454861574,,7.2613,1.005022222
4.5927,0.471099304,,7.295,1.02
4.8167,0.494076255,,7.3288,1.035022222
5.1114,0.524305306,,7.3625,1.05
5.406,0.5545241,,7.3962,1.064977778
5.7007,0.584753152,,7.43,1.08
5.9954,0.614982203,,7.4637,1.094977778
6.2901,0.645211255,,7.4975,1.11
6.5847,0.675430049,,7.5312,1.124977778
6.8743,0.705135964,,7.565,1.14
7.1344,0.731815897,,7.5988,1.155022222
7.3945,0.75849583,,7.6325,1.17
7.6546,0.785175763,,7.6663,1.185022222
7.9147,0.811855697,,7.7,1.2
8.1748,0.83853563,,7.7337,1.214977778
8.435,0.86522582,,7.7675,1.23
8.6951,0.891905753,,7.8012,1.244977778
8.8702,0.909866754,,7.835,1.26
9.0259,0.925837787,,7.8688,1.275022222
9.1817,0.941819077,,7.9025,1.29
9.3375,0.957800367,,7.9363,1.305022222
9.4932,0.9737714,,7.97,1.32
9.649,0.98975269,,8.0037,1.334977778
9.8048,1.00573398,,8.0375,1.35
9.9195,1.01749941,,8.0712,1.364977778
9.9899,1.024720738,,8.105,1.38
10.06,1.031911293,,8.1388,1.395022222
10.131,1.039194165,,8.1725,1.41
10.201,1.046374463,,8.2063,1.425022222
10.271,1.05355476,,8.24,1.44
10.342,1.060837633,,8.2738,1.455022222
10.405,1.067299901,,8.3075,1.47
10.428,1.069659141,,8.3413,1.485022222
10.451,1.072018382,,8.375,1.5
