U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
23.821,23.821,23.821,23.821,1,,,,7.68,11.25,6.845
23.812,23.813,23.813,23.81266667,0.999650169,,,,7.7804,11.25,6.845
23.803,23.803,23.803,23.803,0.999244364,,,,7.8807,11.25,6.845
23.793,23.793,23.793,23.793,0.998824567,,,,7.9811,11.25,6.845
23.783,23.784,23.784,23.78366667,0.998432755,,,,8.0814,11.25,6.845
23.772,23.773,23.772,23.77233333,0.997956985,,,,8.1818,11.25,6.845
23.76,23.761,23.761,23.76066667,0.997467221,,,,8.2821,11.25,6.845
23.748,23.749,23.749,23.74866667,0.996963464,,,,8.3825,11.25,6.845
23.735,23.737,23.736,23.736,0.99643172,,,,8.4828,11.25,6.845
23.721,23.723,23.722,23.722,0.995844003,,,,8.5831,11.25,6.845
23.708,23.709,23.709,23.70866667,0.995284273,,,,8.6835,11.25,6.845
23.692,23.694,23.693,23.693,0.99462659,,,,8.7838,11.25,6.845
23.676,23.678,23.677,23.677,0.993954914,,,,8.8842,11.25,6.845
23.659,23.662,23.661,23.66066667,0.993269244,,,,8.9846,11.25,6.845
23.64,23.643,23.642,23.64166667,0.992471629,,,,9.0849,11.25,6.845
23.621,23.624,23.622,23.62233333,0.99166002,,,,9.1853,11.25,6.845
23.601,23.604,23.602,23.60233333,0.990820425,,,,9.2856,11.25,6.845
23.578,23.581,23.579,23.57933333,0.98985489,,,,9.386,11.25,6.845
23.555,23.559,23.556,23.55666667,0.988903349,,,,9.4863,11.25,6.845
23.529,23.533,23.53,23.53066667,0.987811875,,,,9.5866,11.25,6.845
23.501,23.506,23.503,23.50333333,0.986664428,,,,9.687,11.25,6.845
23.471,23.477,23.473,23.47366667,0.985419028,,,,9.7873,11.25,6.845
23.439,23.445,23.441,23.44166667,0.984075676,,,,9.8877,11.25,6.845
23.404,23.411,23.406,23.407,0.982620377,,,,9.9881,11.25,6.845
23.365,23.373,23.367,23.36833333,0.980997159,,,,10.088,11.25,6.845
23.322,23.331,23.325,23.326,0.979220016,,,,10.189,11.25,6.845
23.275,23.285,23.278,23.27933333,0.97726096,,,,10.289,11.25,6.845
23.222,23.234,23.226,23.22733333,0.975078012,,,,10.389,11.25,6.845
23.164,23.178,23.168,23.17,0.972671172,,,,10.49,11.25,6.845
23.095,23.111,23.102,23.10266667,0.969844535,,,,10.59,11.25,6.845
23.02,23.039,23.03,23.02966667,0.966780012,,,,10.691,11.25,6.845
22.93,22.95,22.943,22.941,0.963057806,,,,10.791,11.25,6.845
22.826,22.848,22.846,22.84,0.95881785,,,,10.891,11.25,6.845
22.709,22.732,22.736,22.72566667,0.954018163,,,,10.992,11.25,6.845
22.561,22.581,22.6,22.58066667,0.947931097,,,,11.092,11.25,6.845
22.396,22.41,22.453,22.41966667,0.941172355,,,,11.192,11.25,6.845
22.198,22.196,22.279,22.22433333,0.932972307,,,,11.293,11.25,6.845
21.944,21.911,22.061,21.972,0.922379413,,,,11.393,11.25,6.845
21.646,21.558,21.807,21.67033333,0.909715517,,,,11.493,11.25,6.845
21.286,21.111,21.504,21.30033333,0.894183004,,,,11.594,11.25,6.845
20.952,20.715,21.187,20.95133333,0.879532066,,,,11.694,11.25,6.845
20.702,20.465,20.923,20.69666667,0.868841219,,,,11.794,11.25,6.845
20.038,19.413,20.433,19.96133333,0.837972097,,,,11.895,11.25,6.845
18.578,17.21,19.303,18.36366667,0.770902425,,,,11.995,11.25,6.845
18.144,17.234,18.699,18.02566667,0.756713264,,,,12.095,11.25,6.845
18.896,18.687,18.972,18.85166667,0.791388551,,,,12.196,11.25,6.845
