"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
14.858,-0.0013291,-0.007249,1,0,10.68,11.25,2
14.85,-0.0014246,-0.010254,1,0.10035,10.78,11.25,2
14.841,-0.0015239,-0.013424,1,0.2007,10.881,11.25,2
14.832,-0.0016278,-0.016793,1,0.30105,10.981,11.25,2
14.82,-0.0017377,-0.020538,1,0.4014,11.081,11.25,2
14.807,-0.0018436,-0.024309,1,0.50175,11.182,11.25,2
14.791,-0.0019503,-0.028373,1,0.6021,11.282,11.25,2
14.769,-0.0020605,-0.033164,1,0.70245,11.382,11.25,2
14.741,-0.0021537,-0.038373,1,0.8028,11.483,11.25,2
14.702,-0.0022082,-0.044003,1,0.90315,11.583,11.25,2
14.652,-0.0021934,-0.050099,1,1.0035,11.684,11.25,2
14.594,-0.0021734,-0.056753,1,1.1038,11.784,11.25,2
14.494,-0.0027315,-0.064153,1,1.2042,11.884,11.25,2
14.207,-0.0050071,-0.072303,1,1.3046,11.985,11.25,2
14.046,-0.0066509,-0.080829,1,1.4049,12.085,11.25,2
14.053,-0.0068152,-0.089781,1,1.5052,12.185,11.25,2
14.009,-0.006936,-0.099451,1,1.6056,12.286,11.25,2
13.943,-0.0071889,-0.10994,1,1.7059,12.386,11.25,2
13.894,-0.0075107,-0.12126,1,1.8063,12.486,11.25,2
13.866,-0.0078796,-0.13341,1,1.9066,12.587,11.25,2
13.849,-0.008297,-0.14642,1,2.007,12.687,11.25,2
13.836,-0.0087823,-0.16054,1,2.1073,12.787,11.25,2
13.824,-0.0093297,-0.17572,1,2.2077,12.888,11.25,2
13.813,-0.0099348,-0.19195,1,2.3081,12.988,11.25,2
13.803,-0.010595,-0.20928,1,2.4084,13.088,11.25,2
13.795,-0.011305,-0.22775,1,2.5087,13.189,11.25,2
13.788,-0.012075,-0.24785,1,2.6091,13.289,11.25,2
13.783,-0.01288,-0.26938,1,2.7094,13.389,11.25,2
13.779,-0.013712,-0.29228,1,2.8098,13.49,11.25,2
13.776,-0.014562,-0.31657,1,2.9101,13.59,11.25,2
13.775,-0.015422,-0.34288,1,3.0105,13.691,11.25,2
13.775,-0.016266,-0.371,1,3.1108,13.791,11.25,2
13.777,-0.017082,-0.40069,1,3.2112,13.891,11.25,2
13.781,-0.017856,-0.43196,1,3.3116,13.992,11.25,2
13.789,-0.018501,-0.4658,1,3.4119,14.092,11.25,2
13.799,-0.019014,-0.5011,1,3.5122,14.192,11.25,2
13.811,-0.019383,-0.53775,1,3.6126,14.293,11.25,2
13.83,-0.019434,-0.57623,1,3.7129,14.393,11.25,2
13.853,-0.019121,-0.61546,1,3.8133,14.493,11.25,2
13.881,-0.018481,-0.65494,1,3.9136,14.594,11.25,2
13.917,-0.0172,-0.69387,1,4.014,14.694,11.25,2
13.962,-0.015185,-0.72959,1,4.1143,14.794,11.25,2
14.014,-0.012609,-0.76165,1,4.2147,14.895,11.25,2
14.078,-0.0088247,-0.78159,1,4.3151,14.995,11.25,2
14.146,-0.0042817,-0.78585,1,4.4154,15.095,11.25,2
14.216,0.00076684,-0.77894,1,4.5157,15.196,11.25,2
14.279,0.0057426,-0.74526,1,4.6161,15.296,11.25,2
14.332,0.0099225,-0.70568,1,4.7164,15.396,11.25,2
14.372,0.013032,-0.65819,1,4.8168,15.497,11.25,2
14.396,0.014146,-0.61253,1,4.9171,15.597,11.25,2
14.414,0.014521,-0.5687,1,5.0175,15.698,11.25,2
14.422,0.01354,-0.5323,1,5.1178,15.798,11.25,2
14.428,0.01238,-0.4991,1,5.2182,15.898,11.25,2
14.433,0.01103,-0.46931,1,5.3186,15.999,11.25,2
14.438,0.0098885,-0.44157,1,5.4189,16.099,11.25,2
14.443,0.0088221,-0.41443,1,5.5192,16.199,11.25,2
14.447,0.0080184,-0.38807,1,5.6196,16.3,11.25,2
14.449,0.007238,-0.36208,1,5.7199,16.4,11.25,2
14.451,0.0065082,-0.33692,1,5.8203,16.5,11.25,2
14.45,0.0057421,-0.31297,1,5.9207,16.601,11.25,2
14.449,0.004945,-0.29007,1,6.021,16.701,11.25,2
14.446,0.0040961,-0.26931,1,6.1213,16.801,11.25,2
14.443,0.0032285,-0.24932,1,6.2217,16.902,11.25,2
14.439,0.0023658,-0.23188,1,6.3221,17.002,11.25,2
14.435,0.0015072,-0.21481,1,6.4224,17.102,11.25,2
14.43,0.0007214,-0.19997,1,6.5227,17.203,11.25,2
14.426,-4.8085e-05,-0.18542,1,6.6231,17.303,11.25,2
14.421,-0.0007324,-0.17243,1,6.7234,17.403,11.25,2
14.417,-0.0013946,-0.15983,1,6.8238,17.504,11.25,2
14.413,-0.001989,-0.14841,1,6.9242,17.604,11.25,2
14.408,-0.0025618,-0.13742,1,7.0245,17.705,11.25,2
14.404,-0.0030849,-0.12742,1,7.1248,17.805,11.25,2
14.399,-0.0035877,-0.11785,1,7.2252,17.905,11.25,2
14.395,-0.0040489,-0.10914,1,7.3256,18.006,11.25,2
14.391,-0.0044899,-0.1008,1,7.4259,18.106,11.25,2
14.387,-0.0048891,-0.093226,1,7.5262,18.206,11.25,2
14.383,-0.00527,-0.085933,1,7.6266,18.307,11.25,2
14.379,-0.0056062,-0.079321,1,7.7269,18.407,11.25,2
14.375,-0.0059289,-0.072892,1,7.8273,18.507,11.25,2
14.371,-0.0062054,-0.067084,1,7.9277,18.608,11.25,2
14.368,-0.0064751,-0.061366,1,8.028,18.708,11.25,2
14.364,-0.0067,-0.056242,1,8.1283,18.808,11.25,2
14.361,-0.0069247,-0.05112,1,8.2287,18.909,11.25,2
14.358,-0.0071077,-0.046598,1,8.3291,19.009,11.25,2
14.354,-0.0072907,-0.042075,1,8.4294,19.109,11.25,2
14.351,-0.007446,-0.038011,1,8.5297,19.21,11.25,2
14.348,-0.0075962,-0.034031,1,8.6301,19.31,11.25,2
14.345,-0.0077299,-0.030377,1,8.7304,19.41,11.25,2
14.343,-0.0078546,-0.026898,1,8.8308,19.511,11.25,2
14.34,-0.0079711,-0.023616,1,8.9312,19.611,11.25,2
14.337,-0.0080765,-0.020601,1,9.0315,19.712,11.25,2
14.335,-0.0081793,-0.017657,1,9.1318,19.812,11.25,2
14.332,-0.00827,-0.015072,1,9.2322,19.912,11.25,2
14.33,-0.0083606,-0.012488,1,9.3326,20.013,11.25,2
14.327,-0.0084409,-0.01025,1,9.4329,20.113,11.25,2
14.325,-0.0085196,-0.0080631,1,9.5332,20.213,11.25,2
14.323,-0.0085926,-0.0060723,1,9.6336,20.314,11.25,2
14.321,-0.0086608,-0.0042474,1,9.7339,20.414,11.25,2
14.319,-0.0087274,-0.0024797,1,9.8343,20.514,11.25,2
14.317,-0.008787,-0.00097653,1,9.9347,20.615,11.25,2
14.315,-0.0088465,0.00052658,1,10.035,20.715,11.25,2
