U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
14.813,1,-0.0013569,0.0047161,1,0,10.68,11.25,3.155
14.802,0.999257409,-0.0014862,0.0018872,1,0.10035,10.78,11.25,3.155
14.79,0.99844731,-0.0016243,-0.0011273,1,0.2007,10.881,11.25,3.155
14.777,0.997569702,-0.0017726,-0.0043632,1,0.30105,10.981,11.25,3.155
14.762,0.996557078,-0.0019393,-0.0080267,1,0.4014,11.081,11.25,3.155
14.745,0.995409438,-0.0021065,-0.011757,1,0.50175,11.182,11.25,3.155
14.725,0.994059272,-0.0022849,-0.015827,1,0.6021,11.282,11.25,3.155
14.698,0.992236549,-0.0024886,-0.02069,1,0.70245,11.382,11.25,3.155
14.665,0.990008776,-0.0026906,-0.026026,1,0.8028,11.483,11.25,3.155
14.621,0.987038412,-0.0028654,-0.031834,1,0.90315,11.583,11.25,3.155
14.565,0.983257949,-0.0029791,-0.038154,1,1.0035,11.684,11.25,3.155
14.502,0.979004928,-0.003119,-0.045042,1,1.1038,11.784,11.25,3.155
14.398,0.971984068,-0.0040099,-0.052607,1,1.2042,11.884,11.25,3.155
14.106,0.952271653,-0.0069241,-0.061131,1,1.3046,11.985,11.25,3.155
13.937,0.940862756,-0.0091313,-0.070946,1,1.4049,12.085,11.25,3.155
13.934,0.940660231,-0.009724,-0.081833,1,1.5052,12.185,11.25,3.155
13.881,0.937082293,-0.010349,-0.093631,1,1.6056,12.286,11.25,3.155
13.804,0.931884156,-0.011209,-0.10634,1,1.7059,12.386,11.25,3.155
13.743,0.927766151,-0.012243,-0.12005,1,1.8063,12.486,11.25,3.155
13.702,0.924998312,-0.013446,-0.13485,1,1.9066,12.587,11.25,3.155
13.672,0.922973064,-0.014842,-0.15083,1,2.007,12.687,11.25,3.155
13.643,0.921015324,-0.016525,-0.1684,1,2.1073,12.787,11.25,3.155
13.614,0.919057585,-0.018503,-0.18748,1,2.2077,12.888,11.25,3.155
13.585,0.917099845,-0.020798,-0.20809,1,2.3081,12.988,11.25,3.155
13.555,0.915074597,-0.023439,-0.23033,1,2.4084,13.088,11.25,3.155
13.525,0.913049349,-0.026456,-0.25429,1,2.5087,13.189,11.25,3.155
13.494,0.910956592,-0.03005,-0.28077,1,2.6091,13.289,11.25,3.155
13.462,0.908796328,-0.034188,-0.30954,1,2.7094,13.389,11.25,3.155
13.428,0.906501046,-0.038887,-0.34059,1,2.8098,13.49,11.25,3.155
13.392,0.904070749,-0.044185,-0.37401,1,2.9101,13.59,11.25,3.155
13.354,0.901505434,-0.050427,-0.41098,1,3.0105,13.691,11.25,3.155
13.312,0.898670087,-0.057637,-0.4514,1,3.1108,13.791,11.25,3.155
