"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.88843,6.2546,0.18014,-0.42536,6.262,0.17324,-0.44028,-8.7704,1,0,16.53,12.25,5
-0.88917,6.2553,0.18198,-0.42507,6.2627,0.17502,-0.43994,-8.7736,1,0.0033751,16.53,12.25,5.0034
-0.88991,6.2559,0.18381,-0.42479,6.2635,0.17681,-0.43959,-8.7768,1,0.0067501,16.53,12.25,5.0068
-0.89065,6.2565,0.18565,-0.4245,6.2642,0.17859,-0.43925,-8.7799,1,0.010125,16.53,12.25,5.0101
-0.89139,6.2572,0.18748,-0.42421,6.265,0.18037,-0.4389,-8.7831,1,0.0135,16.53,12.25,5.0135
-0.89213,6.2578,0.18931,-0.42392,6.2657,0.18215,-0.43856,-8.7863,1,0.016875,16.53,12.25,5.0169
-0.89287,6.2585,0.19115,-0.42363,6.2665,0.18393,-0.43821,-8.7894,1,0.02025,16.53,12.25,5.0202
-0.89362,6.2591,0.19298,-0.42335,6.2672,0.18571,-0.43787,-8.7926,1,0.023625,16.53,12.25,5.0236
-0.89436,6.2598,0.19482,-0.42306,6.268,0.18749,-0.43753,-8.7958,1,0.027,16.53,12.25,5.027
-0.8951,6.2604,0.19665,-0.42277,6.2687,0.18928,-0.43718,-8.7989,1,0.030375,16.53,12.25,5.0304
-0.89584,6.261,0.19848,-0.42248,6.2694,0.19106,-0.43684,-8.8021,1,0.03375,16.53,12.25,5.0338
-0.89658,6.2617,0.20032,-0.4222,6.2702,0.19284,-0.43649,-8.8053,1,0.037125,16.53,12.25,5.0371
-0.89732,6.2623,0.20215,-0.42191,6.2709,0.19462,-0.43615,-8.8084,1,0.0405,16.53,12.25,5.0405
-0.89806,6.263,0.20398,-0.42162,6.2717,0.1964,-0.4358,-8.8116,1,0.043875,16.53,12.25,5.0439
-0.8988,6.2636,0.20582,-0.42133,6.2724,0.19818,-0.43546,-8.8148,1,0.04725,16.53,12.25,5.0472
-0.89954,6.2642,0.20765,-0.42104,6.2732,0.19997,-0.43511,-8.818,1,0.050625,16.53,12.25,5.0506
-0.90028,6.2649,0.20949,-0.42076,6.2739,0.20175,-0.43477,-8.8211,1,0.054,16.53,12.25,5.054
-0.90102,6.2655,0.21132,-0.42047,6.2747,0.20353,-0.43442,-8.8243,1,0.057375,16.53,12.25,5.0574
-0.90176,6.2662,0.21315,-0.42018,6.2754,0.20531,-0.43408,-8.8275,1,0.06075,16.53,12.25,5.0608
-0.9025,6.2668,0.21499,-0.41989,6.2762,0.20709,-0.43374,-8.8306,1,0.064125,16.53,12.25,5.0641
-0.90352,6.2674,0.217,-0.41966,6.2769,0.20905,-0.43345,-8.8337,1,0.0675,16.53,12.25,5.0675
-0.90539,6.2679,0.21956,-0.41959,6.2775,0.21154,-0.43332,-8.8363,1,0.070875,16.53,12.25,5.0709
-0.90726,6.2685,0.22212,-0.41953,6.2781,0.21404,-0.4332,-8.839,1,0.07425,16.53,12.25,5.0743
-0.90912,6.269,0.22468,-0.41946,6.2787,0.21653,-0.43308,-8.8417,1,0.077625,16.53,12.25,5.0776
-0.91099,6.2695,0.22723,-0.4194,6.2793,0.21902,-0.43296,-8.8444,1,0.081,16.53,12.25,5.081
-0.91286,6.27,0.22979,-0.41933,6.2799,0.22151,-0.43283,-8.847,1,0.084375,16.53,12.25,5.0844
-0.91273,6.269,0.23178,-0.41831,6.279,0.22345,-0.43172,-8.8523,1,0.08775,16.53,12.25,5.0877
-0.91215,6.2676,0.23363,-0.41708,6.2777,0.22525,-0.43038,-8.8582,1,0.091125,16.53,12.25,5.0911
-0.91158,6.2663,0.23549,-0.41584,6.2764,0.22706,-0.42904,-8.8641,1,0.0945,16.53,12.25,5.0945
-0.911,6.2649,0.23734,-0.41461,6.2752,0.22886,-0.4277,-8.87,1,0.097875,16.53,12.25,5.0979
-0.91042,6.2636,0.2392,-0.41337,6.2739,0.23067,-0.42636,-8.8759,1,0.10125,16.53,12.25,5.1013
-0.90984,6.2622,0.24105,-0.41213,6.2727,0.23247,-0.42502,-8.8817,1,0.10463,16.53,12.25,5.1046
-0.90926,6.2609,0.24291,-0.4109,6.2714,0.23427,-0.42368,-8.8876,1,0.108,16.53,12.25,5.108
-0.90869,6.2595,0.24476,-0.40966,6.2701,0.23608,-0.42234,-8.8935,1,0.11137,16.53,12.25,5.1114
-0.90811,6.2582,0.24662,-0.40842,6.2689,0.23788,-0.421,-8.8994,1,0.11475,16.53,12.25,5.1147
-0.90753,6.2568,0.24847,-0.40719,6.2676,0.23969,-0.41966,-8.9053,1,0.11812,16.53,12.25,5.1181
-0.90695,6.2554,0.25033,-0.40595,6.2664,0.24149,-0.41832,-8.9111,1,0.1215,16.53,12.25,5.1215
-0.90637,6.2541,0.25218,-0.40472,6.2651,0.2433,-0.41698,-8.917,1,0.12488,16.53,12.25,5.1249
-0.9058,6.2527,0.25404,-0.40348,6.2639,0.2451,-0.41564,-8.9229,1,0.12825,16.53,12.25,5.1283
-0.90522,6.2514,0.25589,-0.40224,6.2626,0.24691,-0.4143,-8.9288,1,0.13163,16.53,12.25,5.1316
-0.90464,6.25,0.25775,-0.40101,6.2613,0.24871,-0.41296,-8.9347,1,0.135,16.53,12.25,5.135
-0.90406,6.2487,0.2596,-0.39977,6.2601,0.25052,-0.41163,-8.9406,1,0.13837,16.53,12.25,5.1384
-0.90348,6.2473,0.26146,-0.39853,6.2588,0.25232,-0.41029,-8.9464,1,0.14175,16.53,12.25,5.1417
-0.90291,6.246,0.26331,-0.3973,6.2576,0.25412,-0.40895,-8.9523,1,0.14512,16.53,12.25,5.1451
-0.90233,6.2446,0.26517,-0.39606,6.2563,0.25593,-0.40761,-8.9582,1,0.1485,16.53,12.25,5.1485
-0.90175,6.2433,0.26702,-0.39482,6.255,0.25773,-0.40627,-8.9641,1,0.15188,16.53,12.25,5.1519
-0.90117,6.2419,0.26888,-0.39359,6.2538,0.25954,-0.40493,-8.97,1,0.15525,16.53,12.25,5.1553
-0.90059,6.2405,0.27073,-0.39235,6.2525,0.26134,-0.40359,-8.9759,1,0.15863,16.53,12.25,5.1586
-0.90002,6.2392,0.27259,-0.39112,6.2513,0.26315,-0.40225,-8.9817,1,0.162,16.53,12.25,5.162
-0.89944,6.2378,0.27444,-0.38988,6.25,0.26495,-0.40091,-8.9876,1,0.16538,16.53,12.25,5.1654
-0.89886,6.2365,0.2763,-0.38864,6.2488,0.26676,-0.39957,-8.9935,1,0.16875,16.53,12.25,5.1687
-0.89828,6.2351,0.27815,-0.38741,6.2475,0.26856,-0.39823,-8.9994,1,0.17212,16.53,12.25,5.1721
-0.8977,6.2338,0.28001,-0.38617,6.2462,0.27037,-0.39689,-9.0053,1,0.1755,16.53,12.25,5.1755
-0.89713,6.2324,0.28186,-0.38493,6.245,0.27217,-0.39555,-9.0111,1,0.17887,16.53,12.25,5.1789
-0.89655,6.2311,0.28372,-0.3837,6.2437,0.27397,-0.39421,-9.017,1,0.18225,16.53,12.25,5.1823
