"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.11749,9.2606,0.16655,0.099541,9.2606,0.16512,0.098247,9.1073,1,0,12.48,12.055,5
-0.11749,9.2606,0.16655,0.10015,9.2606,0.16512,0.098869,9.1064,1,0.0033751,12.48,12.055,5.0034
-0.11749,9.2606,0.16655,0.10076,9.2606,0.16512,0.099492,9.1054,1,0.0067501,12.48,12.055,5.0068
-0.1175,9.2606,0.16655,0.10137,9.2606,0.16511,0.10011,9.1045,1,0.010125,12.48,12.055,5.0101
-0.1175,9.2606,0.16655,0.10198,9.2606,0.16511,0.10074,9.1036,1,0.0135,12.48,12.055,5.0135
-0.1175,9.2606,0.16655,0.10259,9.2605,0.1651,0.10136,9.1027,1,0.016875,12.48,12.055,5.0169
-0.11751,9.2606,0.16655,0.1032,9.2605,0.1651,0.10198,9.1018,1,0.02025,12.48,12.055,5.0202
-0.11751,9.2606,0.16655,0.10381,9.2605,0.16509,0.1026,9.1009,1,0.023625,12.48,12.055,5.0236
-0.11752,9.2605,0.16655,0.10442,9.2605,0.16509,0.10322,9.0999,1,0.027,12.48,12.055,5.027
-0.11752,9.2605,0.16655,0.10504,9.2605,0.16508,0.10385,9.0992,1,0.030375,12.48,12.055,5.0304
-0.11752,9.2605,0.16656,0.10565,9.2605,0.16508,0.10448,9.0985,1,0.03375,12.48,12.055,5.0338
-0.11753,9.2605,0.16656,0.10627,9.2604,0.16508,0.1051,9.0978,1,0.037125,12.48,12.055,5.0371
-0.11753,9.2605,0.16656,0.10689,9.2604,0.16507,0.10573,9.0971,1,0.0405,12.48,12.055,5.0405
-0.11754,9.2605,0.16656,0.1075,9.2604,0.16507,0.10636,9.0964,1,0.043875,12.48,12.055,5.0439
-0.11754,9.2605,0.16656,0.10812,9.2604,0.16506,0.10698,9.0957,1,0.04725,12.48,12.055,5.0472
-0.11755,9.2605,0.16656,0.10874,9.2604,0.16506,0.10761,9.0951,1,0.050625,12.48,12.055,5.0506
-0.11755,9.2605,0.16657,0.10935,9.2604,0.16506,0.10824,9.0944,1,0.054,12.48,12.055,5.054
-0.11756,9.2604,0.16657,0.10997,9.2603,0.16505,0.10886,9.0937,1,0.057375,12.48,12.055,5.0574
-0.11756,9.2604,0.16657,0.11059,9.2603,0.16505,0.10949,9.093,1,0.06075,12.48,12.055,5.0608
-0.11757,9.2604,0.16657,0.1112,9.2603,0.16505,0.11012,9.0923,1,0.064125,12.48,12.055,5.0641
-0.11757,9.2604,0.16657,0.11182,9.2603,0.16504,0.11074,9.0916,1,0.0675,12.48,12.055,5.0675
-0.11758,9.2604,0.16657,0.11244,9.2603,0.16504,0.11137,9.0909,1,0.070875,12.48,12.055,5.0709
-0.11758,9.2604,0.16657,0.11305,9.2602,0.16503,0.112,9.0903,1,0.07425,12.48,12.055,5.0743
-0.11759,9.2604,0.16658,0.11367,9.2602,0.16503,0.11262,9.0896,1,0.077625,12.48,12.055,5.0776
-0.11759,9.2604,0.16658,0.11429,9.2602,0.16503,0.11325,9.0889,1,0.081,12.48,12.055,5.081
-0.11759,9.2603,0.16658,0.1149,9.2602,0.16502,0.11388,9.0882,1,0.084375,12.48,12.055,5.0844
-0.1176,9.2604,0.16657,0.11551,9.2603,0.16501,0.1145,9.0866,1,0.08775,12.48,12.055,5.0877
