"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.81399,5.6773,0.23661,-0.31662,5.6896,0.22969,-0.33403,-8.3274,1,0,16.53,12.445,5
-0.81421,5.678,0.23792,-0.31619,5.6903,0.23097,-0.33355,-8.3309,1,0.0033751,16.53,12.445,5.0034
-0.81444,5.6786,0.23924,-0.31577,5.6911,0.23224,-0.33307,-8.3345,1,0.0067501,16.53,12.445,5.0068
-0.81466,5.6792,0.24055,-0.31535,5.6918,0.23352,-0.33259,-8.338,1,0.010125,16.53,12.445,5.0101
-0.81489,5.6799,0.24187,-0.31493,5.6926,0.23479,-0.33211,-8.3416,1,0.0135,16.53,12.445,5.0135
-0.81511,5.6805,0.24319,-0.31451,5.6933,0.23607,-0.33163,-8.3451,1,0.016875,16.53,12.445,5.0169
-0.81533,5.6811,0.2445,-0.31409,5.694,0.23734,-0.33115,-8.3487,1,0.02025,16.53,12.445,5.0202
-0.81556,5.6817,0.24582,-0.31366,5.6948,0.23862,-0.33067,-8.3522,1,0.023625,16.53,12.445,5.0236
-0.81578,5.6824,0.24713,-0.31324,5.6955,0.23989,-0.33019,-8.3558,1,0.027,16.53,12.445,5.027
-0.81601,5.683,0.24845,-0.31282,5.6963,0.24117,-0.32971,-8.3593,1,0.030375,16.53,12.445,5.0304
-0.81623,5.6836,0.24976,-0.3124,5.697,0.24244,-0.32923,-8.3629,1,0.03375,16.53,12.445,5.0338
-0.81646,5.6843,0.25108,-0.31198,5.6977,0.24371,-0.32875,-8.3664,1,0.037125,16.53,12.445,5.0371
-0.81668,5.6849,0.25239,-0.31156,5.6985,0.24499,-0.32827,-8.37,1,0.0405,16.53,12.445,5.0405
-0.8169,5.6855,0.25371,-0.31113,5.6992,0.24626,-0.32779,-8.3735,1,0.043875,16.53,12.445,5.0439
-0.81713,5.6861,0.25502,-0.31071,5.7,0.24754,-0.32731,-8.3771,1,0.04725,16.53,12.445,5.0472
-0.81735,5.6868,0.25634,-0.31029,5.7007,0.24881,-0.32683,-8.3806,1,0.050625,16.53,12.445,5.0506
-0.81758,5.6874,0.25765,-0.30987,5.7014,0.25009,-0.32635,-8.3842,1,0.054,16.53,12.445,5.054
-0.8178,5.688,0.25897,-0.30945,5.7022,0.25136,-0.32587,-8.3877,1,0.057375,16.53,12.445,5.0574
-0.81802,5.6887,0.26028,-0.30902,5.7029,0.25264,-0.32539,-8.3913,1,0.06075,16.53,12.445,5.0608
-0.81825,5.6893,0.2616,-0.3086,5.7037,0.25391,-0.32491,-8.3948,1,0.064125,16.53,12.445,5.0641
-0.81847,5.6899,0.26291,-0.30818,5.7044,0.25518,-0.32443,-8.3984,1,0.0675,16.53,12.445,5.0675
-0.8187,5.6905,0.26423,-0.30776,5.7051,0.25646,-0.32395,-8.4019,1,0.070875,16.53,12.445,5.0709
-0.81892,5.6912,0.26554,-0.30734,5.7059,0.25773,-0.32347,-8.4055,1,0.07425,16.53,12.445,5.0743
-0.81915,5.6918,0.26686,-0.30692,5.7066,0.25901,-0.32299,-8.409,1,0.077625,16.53,12.445,5.0776
-0.81937,5.6924,0.26817,-0.30649,5.7073,0.26028,-0.32251,-8.4126,1,0.081,16.53,12.445,5.081
-0.81959,5.6931,0.26949,-0.30607,5.7081,0.26156,-0.32203,-8.4162,1,0.084375,16.53,12.445,5.0844
-0.81928,5.6924,0.27048,-0.30527,5.7075,0.26253,-0.32114,-8.4221,1,0.08775,16.53,12.445,5.0877
-0.81884,5.6914,0.2714,-0.30438,5.7066,0.26342,-0.32014,-8.4286,1,0.091125,16.53,12.445,5.0911
-0.8184,5.6905,0.27232,-0.30349,5.7058,0.26432,-0.31915,-8.4351,1,0.0945,16.53,12.445,5.0945
-0.81796,5.6895,0.27324,-0.30261,5.7049,0.26522,-0.31816,-8.4417,1,0.097875,16.53,12.445,5.0979
-0.81752,5.6885,0.27416,-0.30172,5.704,0.26612,-0.31717,-8.4482,1,0.10125,16.53,12.445,5.1013
-0.81708,5.6876,0.27508,-0.30083,5.7032,0.26702,-0.31618,-8.4547,1,0.10463,16.53,12.445,5.1046
-0.81669,5.6864,0.27633,-0.29982,5.7021,0.26823,-0.31506,-8.4611,1,0.108,16.53,12.445,5.108
-0.81631,5.6851,0.27765,-0.29878,5.7009,0.2695,-0.31392,-8.4675,1,0.11137,16.53,12.445,5.1114
-0.81593,5.6839,0.27896,-0.29774,5.6998,0.27078,-0.31278,-8.474,1,0.11475,16.53,12.445,5.1147
-0.81555,5.6827,0.28028,-0.2967,5.6987,0.27205,-0.31164,-8.4804,1,0.11812,16.53,12.445,5.1181
-0.81517,5.6814,0.28159,-0.29566,5.6975,0.27332,-0.3105,-8.4868,1,0.1215,16.53,12.445,5.1215
-0.81479,5.6802,0.28291,-0.29462,5.6964,0.27459,-0.30936,-8.4932,1,0.12488,16.53,12.445,5.1249
-0.81441,5.679,0.28422,-0.29359,5.6953,0.27587,-0.30822,-8.4997,1,0.12825,16.53,12.445,5.1283
-0.81404,5.6777,0.28554,-0.29255,5.6941,0.27714,-0.30708,-8.5061,1,0.13163,16.53,12.445,5.1316
-0.81366,5.6765,0.28685,-0.29151,5.693,0.27841,-0.30594,-8.5125,1,0.135,16.53,12.445,5.135
-0.81328,5.6753,0.28817,-0.29047,5.6919,0.27969,-0.3048,-8.5189,1,0.13837,16.53,12.445,5.1384
-0.8129,5.674,0.28948,-0.28943,5.6907,0.28096,-0.30366,-8.5254,1,0.14175,16.53,12.445,5.1417
-0.81252,5.6728,0.29079,-0.28839,5.6896,0.28223,-0.30252,-8.5318,1,0.14512,16.53,12.445,5.1451
-0.81214,5.6715,0.29211,-0.28736,5.6884,0.2835,-0.30138,-8.5382,1,0.1485,16.53,12.445,5.1485
-0.81176,5.6703,0.29342,-0.28632,5.6873,0.28478,-0.30024,-8.5446,1,0.15188,16.53,12.445,5.1519
-0.81138,5.6691,0.29474,-0.28528,5.6862,0.28605,-0.29909,-8.551,1,0.15525,16.53,12.445,5.1553
-0.811,5.6678,0.29605,-0.28424,5.685,0.28732,-0.29795,-8.5575,1,0.15863,16.53,12.445,5.1586
-0.81062,5.6666,0.29737,-0.2832,5.6839,0.2886,-0.29681,-8.5639,1,0.162,16.53,12.445,5.162
-0.81024,5.6654,0.29868,-0.28216,5.6828,0.28987,-0.29567,-8.5703,1,0.16538,16.53,12.445,5.1654
-0.80987,5.6641,0.3,-0.28113,5.6816,0.29114,-0.29453,-8.5767,1,0.16875,16.53,12.445,5.1687
-0.80949,5.6629,0.30131,-0.28009,5.6805,0.29241,-0.29339,-8.5832,1,0.17212,16.53,12.445,5.1721
-0.80911,5.6617,0.30263,-0.27905,5.6794,0.29369,-0.29225,-8.5896,1,0.1755,16.53,12.445,5.1755
-0.80873,5.6604,0.30394,-0.27801,5.6782,0.29496,-0.29111,-8.596,1,0.17887,16.53,12.445,5.1789
