U:0,a,,Points:2,r/R
9.5125,0.97575111,,5,0
9.5962,0.984336694,,5.0338,0.015022222
9.6799,0.992922278,,5.0675,0.03
9.6242,0.987208813,,5.1013,0.045022222
9.4186,0.966119254,,5.135,0.06
9.2129,0.945019438,,5.1687,0.074977778
9.0072,0.923919622,,5.2025,0.09
8.8016,0.902830063,,5.2362,0.104977778
8.5959,0.881730246,,5.27,0.12
8.3902,0.86063043,,5.3038,0.135022222
8.1959,0.840699976,,5.3375,0.15
8.0665,0.827426684,,5.3713,0.165022222
7.9372,0.814163649,,5.405,0.18
7.8079,0.800900614,,5.4387,0.194977778
7.6785,0.787627322,,5.4725,0.21
7.5492,0.774364287,,5.5062,0.224977778
7.4199,0.761101252,,5.54,0.24
7.2905,0.74782796,,5.5738,0.255022222
7.2076,0.739324437,,5.6075,0.27
7.1353,0.731908215,,5.6413,0.285022222
7.063,0.724491994,,5.675,0.3
6.9907,0.717075773,,5.7087,0.314977778
6.9183,0.709649294,,5.7425,0.33
6.846,0.702233072,,5.7762,0.344977778
6.7737,0.694816851,,5.81,0.36
6.6918,0.686415903,,5.8438,0.375022222
6.5996,0.676958426,,5.8775,0.39
6.5074,0.667500949,,5.9113,0.405022222
6.4151,0.658033214,,5.945,0.42
6.3229,0.648575737,,5.9788,0.435022222
6.2307,0.639118259,,6.0125,0.45
6.1385,0.629660782,,6.0462,0.464977778
6.0461,0.62018279,,6.08,0.48
5.9526,0.610591964,,6.1137,0.494977778
5.8591,0.601001139,,6.1475,0.51
5.7656,0.591410313,,6.1813,0.525022222
5.6722,0.581829745,,6.215,0.54
5.5787,0.572238919,,6.2488,0.555022222
5.4852,0.562648094,,6.2825,0.57
5.3917,0.553057268,,6.3162,0.584977778
5.31,0.544676835,,6.35,0.6
5.231,0.536573357,,6.3837,0.614977778
5.152,0.528469879,,6.4175,0.63
5.073,0.5203664,,6.4513,0.645022222
4.994,0.512262922,,6.485,0.66
4.9149,0.504149186,,6.5188,0.675022222
4.8359,0.496045708,,6.5525,0.69
4.7628,0.488547426,,6.5862,0.704977778
4.6961,0.481705628,,6.62,0.72
4.6294,0.474863831,,6.6537,0.734977778
4.5627,0.468022033,,6.6875,0.75
4.496,0.461180236,,6.7213,0.765022222
4.4293,0.454338438,,6.755,0.78
4.3626,0.447496641,,6.7888,0.795022222
4.3058,0.441670342,,6.8225,0.81
4.3065,0.441742145,,6.8562,0.824977778
4.3072,0.441813948,,6.89,0.84
4.3079,0.441885751,,6.9237,0.854977778
4.3086,0.441957554,,6.9575,0.87
4.3092,0.4420191,,6.9913,0.885022222
4.3099,0.442090903,,7.025,0.9
4.3106,0.442162706,,7.0588,0.915022222
4.4896,0.460523751,,7.0925,0.93
4.7091,0.483039112,,7.1262,0.944977778
4.9287,0.50556473,,7.16,0.96
5.1482,0.528080091,,7.1937,0.974977778
5.3677,0.550595452,,7.2275,0.99
5.5872,0.573110813,,7.2613,1.005022222
5.8068,0.595636431,,7.295,1.02
6.0776,0.623413924,,7.3288,1.035022222
6.4037,0.656863851,,7.3625,1.05
6.7298,0.690313779,,7.3962,1.064977778
7.0559,0.723763707,,7.43,1.08
7.382,0.757213634,,7.4637,1.094977778
7.7081,0.790663562,,7.4975,1.11
8.0342,0.82411349,,7.5312,1.124977778
8.3426,0.855747828,,7.565,1.14
8.5489,0.87690919,,7.5988,1.155022222
8.7551,0.898060294,,7.6325,1.17
8.9614,0.919221656,,7.6663,1.185022222
9.1677,0.940383018,,7.7,1.2
9.374,0.961544379,,7.7337,1.214977778
9.5803,0.982705741,,7.7675,1.23
9.7866,1.003867103,,7.8012,1.244977778
9.8936,1.0148427,,7.835,1.26
9.978,1.023500087,,7.8688,1.275022222
10.062,1.032116444,,7.9025,1.29
10.147,1.040835376,,7.9363,1.305022222
10.231,1.049451733,,7.97,1.32
10.316,1.058170665,,8.0037,1.334977778
10.4,1.066787022,,8.0375,1.35
10.454,1.072326109,,8.0712,1.364977778
10.474,1.074377622,,8.105,1.38
10.495,1.076531711,,8.1388,1.395022222
10.516,1.0786858,,8.1725,1.41
10.536,1.080737314,,8.2063,1.425022222
10.557,1.082891403,,8.24,1.44
10.577,1.084942917,,8.2738,1.455022222
10.595,1.086789279,,8.3075,1.47
10.592,1.086481552,,8.3413,1.485022222
10.59,1.0862764,,8.375,1.5
