"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.2039,9.7348,3.4776e-05,0.20325,1,0,7.68,11.25,6.845
4.3046,9.7233,2.9364e-05,0.21061,1,0.10035,7.7804,11.25,6.845
4.4257,9.7095,1.8592e-05,0.21911,1,0.2007,7.8807,11.25,6.845
4.5467,9.6957,7.8193e-06,0.22762,1,0.30105,7.9811,11.25,6.845
4.6667,9.6821,-3.0843e-06,0.23618,1,0.4014,8.0814,11.25,6.845
4.8006,9.6668,-2.173e-05,0.24607,1,0.50175,8.1818,11.25,6.845
4.9428,9.6506,-4.2748e-05,0.25626,1,0.6021,8.2821,11.25,6.845
5.085,9.6344,-6.3767e-05,0.26645,1,0.70245,8.3825,11.25,6.845
5.2373,9.6172,-9.5804e-05,0.27808,1,0.8028,8.4828,11.25,6.845
5.4037,9.5983,-0.00013407,0.29027,1,0.90315,8.5831,11.25,6.845
5.57,9.5794,-0.00017234,0.30246,1,1.0035,8.6835,11.25,6.845
5.7496,9.5591,-0.00022907,0.31646,1,1.1038,8.7838,11.25,6.845
5.9436,9.5371,-0.00029505,0.33099,1,1.2042,8.8842,11.25,6.845
6.1334,9.5157,-0.0003608,0.34572,1,1.3046,8.9846,11.25,6.845
6.3544,9.4908,-0.0004672,0.3628,1,1.4049,9.0849,11.25,6.845
6.5801,9.4655,-0.00057781,0.38004,1,1.5053,9.1853,11.25,6.845
6.8103,9.4397,-0.0007078,0.3986,1,1.6056,9.2856,11.25,6.845
7.0724,9.4105,-0.00088517,0.41897,1,1.706,9.386,11.25,6.845
7.3297,9.3818,-0.0010596,0.43955,1,1.8063,9.4863,11.25,6.845
7.6255,9.3492,-0.00132,0.46324,1,1.9067,9.5866,11.25,6.845
7.9295,9.3157,-0.0015936,0.48717,1,2.007,9.687,11.25,6.845
8.2525,9.2804,-0.0019397,0.51396,1,2.1073,9.7873,11.25,6.845
8.6044,9.2421,-0.0023481,0.54191,1,2.2077,9.8877,11.25,6.845
8.9697,9.2026,-0.0028234,0.57246,1,2.3081,9.9881,11.25,6.845
9.3758,9.1589,-0.0034111,0.60489,1,2.4084,10.088,11.25,6.845
9.795,9.1141,-0.0040711,0.64019,1,2.5088,10.189,11.25,6.845
10.261,9.0644,-0.0048796,0.67757,1,2.6091,10.289,11.25,6.845
10.746,9.0127,-0.0057777,0.71876,1,2.7095,10.389,11.25,6.845
11.276,8.9564,-0.0068198,0.7615,1,2.8098,10.49,11.25,6.845
11.834,8.896,-0.0079505,0.80976,1,2.9102,10.59,11.25,6.845
12.407,8.8333,-0.0091016,0.86024,1,3.0105,10.691,11.25,6.845
13.049,8.7613,-0.010384,0.91458,1,3.1108,10.791,11.25,6.845
13.674,8.6862,-0.011378,0.97386,1,3.2112,10.891,11.25,6.845
14.3,8.606,-0.012121,1.0367,1,3.3116,10.992,11.25,6.845
14.931,8.5126,-0.012113,1.1023,1,3.4119,11.092,11.25,6.845
15.44,8.4186,-0.010886,1.1698,1,3.5123,11.192,11.25,6.845
15.848,8.313,-0.0074712,1.2421,1,3.6126,11.293,11.25,6.845
15.998,8.1887,0.00079447,1.3221,1,3.713,11.393,11.25,6.845
15.681,8.0517,0.015496,1.4044,1,3.8133,11.493,11.25,6.845
14.744,7.8932,0.038853,1.4863,1,3.9137,11.594,11.25,6.845
13.018,7.707,0.07528,1.565,1,4.014,11.694,11.25,6.845
10.37,7.4981,0.13016,1.6375,1,4.1143,11.794,11.25,6.845
6.8313,7.2366,0.19585,1.696,1,4.2147,11.895,11.25,6.845
2.6609,6.8376,0.22861,1.7166,1,4.3151,11.995,11.25,6.845
-1.8684,6.4094,0.18126,1.6627,1,4.4154,12.095,11.25,6.845
