"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6157,9.7334,-7.8739e-05,0.20432,1,0,7.68,11.25,6.845
4.7217,9.7218,-0.00010119,0.21169,1,0.10035,7.7804,11.25,6.845
4.8493,9.7079,-0.00013937,0.22018,1,0.2007,7.8807,11.25,6.845
4.9769,9.694,-0.00017755,0.22867,1,0.30105,7.9811,11.25,6.845
5.1034,9.6802,-0.00021605,0.23723,1,0.4014,8.0814,11.25,6.845
5.2454,9.6649,-0.00027632,0.2471,1,0.50175,8.1818,11.25,6.845
5.396,9.6485,-0.00034342,0.25726,1,0.6021,8.2821,11.25,6.845
5.5466,9.6322,-0.00041051,0.26743,1,0.70245,8.3825,11.25,6.845
5.7094,9.6146,-0.00050913,0.27902,1,0.8028,8.4828,11.25,6.845
5.8871,9.5955,-0.00062514,0.29115,1,0.90315,8.5831,11.25,6.845
6.0648,9.5763,-0.00074115,0.30329,1,1.0035,8.6835,11.25,6.845
6.2591,9.5557,-0.00091215,0.31722,1,1.1038,8.7838,11.25,6.845
6.469,9.5334,-0.0011086,0.33165,1,1.2042,8.8842,11.25,6.845
6.675,9.5115,-0.0013047,0.3463,1,1.3046,8.9846,11.25,6.845
6.9186,9.4861,-0.001616,0.36325,1,1.4049,9.0849,11.25,6.845
7.1674,9.4601,-0.001939,0.38035,1,1.5053,9.1853,11.25,6.845
7.4253,9.4336,-0.0023235,0.39877,1,1.6056,9.2856,11.25,6.845
7.7221,9.4034,-0.002846,0.41893,1,1.706,9.386,11.25,6.845
8.0149,9.3737,-0.0033649,0.43934,1,1.8063,9.4863,11.25,6.845
8.3624,9.3396,-0.0041631,0.46277,1,1.9067,9.5866,11.25,6.845
8.7199,9.3045,-0.0049995,0.48642,1,2.007,9.687,11.25,6.845
9.1164,9.2671,-0.0061045,0.51298,1,2.1073,9.7873,11.25,6.845
9.5521,9.2262,-0.0074122,0.54058,1,2.2077,9.8877,11.25,6.845
10.026,9.1836,-0.0090164,0.57088,1,2.3081,9.9881,11.25,6.845
10.565,9.136,-0.011031,0.60294,1,2.4084,10.088,11.25,6.845
11.155,9.0863,-0.013472,0.63804,1,2.5088,10.189,11.25,6.845
11.832,9.0306,-0.016548,0.67506,1,2.6091,10.289,11.25,6.845
12.602,8.9712,-0.020412,0.71622,1,2.7095,10.389,11.25,6.845
13.468,8.9056,-0.02505,0.75872,1,2.8098,10.49,11.25,6.845
14.524,8.8324,-0.031345,0.80737,1,2.9102,10.59,11.25,6.845
15.676,8.755,-0.038456,0.85855,1,3.0105,10.691,11.25,6.845
17.167,8.6617,-0.048722,0.9136,1,3.1108,10.791,11.25,6.845
18.923,8.5598,-0.061336,0.97498,1,3.2112,10.891,11.25,6.845
20.967,8.4469,-0.076536,1.0409,1,3.3116,10.992,11.25,6.845
23.7,8.3057,-0.098501,1.1098,1,3.4119,11.092,11.25,6.845
27.032,8.1517,-0.12519,1.1836,1,3.5123,11.192,11.25,6.845
31.339,7.9643,-0.16123,1.2647,1,3.6126,11.293,11.25,6.845
37.089,7.7196,-0.21296,1.357,1,3.713,11.393,11.25,6.845
44.103,7.4167,-0.27956,1.4546,1,3.8133,11.493,11.25,6.845
52.546,7.0211,-0.36432,1.5556,1,3.9137,11.594,11.25,6.845
63.22,6.6971,-0.47722,1.6579,1,4.014,11.694,11.25,6.845
73.96,6.4289,-0.58861,1.7549,1,4.1143,11.794,11.25,6.845
66.016,5.2081,-0.5123,1.8013,1,4.2147,11.895,11.25,6.845
7.8906,3.1746,0.021847,1.7149,1,4.3151,11.995,11.25,6.845
-62.964,3.8993,0.70764,1.5529,1,4.4154,12.095,11.25,6.845
-70.987,5.1201,0.89291,1.4114,1,4.5158,12.196,11.25,6.845
-56.157,4.8281,0.79578,1.2774,1,4.6161,12.296,11.25,6.845
-44.048,4.6053,0.66443,1.1797,1,4.7165,12.396,11.25,6.845
