"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.2629,9.7339,2.8115e-05,0.20434,1,0,7.68,11.25,6.845
4.3628,9.7224,2.2694e-05,0.21173,1,0.10035,7.7804,11.25,6.845
4.4828,9.7085,1.2188e-05,0.22025,1,0.2007,7.8807,11.25,6.845
4.6028,9.6947,1.6824e-06,0.22878,1,0.30105,7.9811,11.25,6.845
4.7217,9.681,-8.9582e-06,0.23737,1,0.4014,8.0814,11.25,6.845
4.8545,9.6657,-2.7056e-05,0.24728,1,0.50175,8.1818,11.25,6.845
4.9954,9.6495,-4.7414e-05,0.2575,1,0.6021,8.2821,11.25,6.845
5.1364,9.6333,-6.7771e-05,0.26772,1,0.70245,8.3825,11.25,6.845
5.2875,9.6159,-9.8133e-05,0.27938,1,0.8028,8.4828,11.25,6.845
5.4524,9.597,-0.00013469,0.2916,1,0.90315,8.5831,11.25,6.845
5.6173,9.5781,-0.00017125,0.30381,1,1.0035,8.6835,11.25,6.845
5.7953,9.5577,-0.0002258,0.31785,1,1.1038,8.7838,11.25,6.845
5.9876,9.5357,-0.0002889,0.3324,1,1.2042,8.8842,11.25,6.845
6.1757,9.5142,-0.00035209,0.34716,1,1.3046,8.9846,11.25,6.845
6.3947,9.4894,-0.00045329,0.36428,1,1.4049,9.0849,11.25,6.845
6.6184,9.4639,-0.00055831,0.38155,1,1.5053,9.1853,11.25,6.845
6.8465,9.4381,-0.00068193,0.40015,1,1.6056,9.2856,11.25,6.845
7.1062,9.4088,-0.00084992,0.42055,1,1.706,9.386,11.25,6.845
7.3611,9.3801,-0.0010155,0.44117,1,1.8063,9.4863,11.25,6.845
7.6539,9.3475,-0.0012641,0.46489,1,1.9067,9.5866,11.25,6.845
7.9548,9.3139,-0.0015251,0.48885,1,2.007,9.687,11.25,6.845
8.2744,9.2786,-0.001858,0.51568,1,2.1073,9.7873,11.25,6.845
8.6223,9.2402,-0.0022527,0.54366,1,2.2077,9.8877,11.25,6.845
8.9832,9.2006,-0.0027089,0.57425,1,2.3081,9.9881,11.25,6.845
9.3842,9.1569,-0.0032727,0.60672,1,2.4084,10.088,11.25,6.845
9.7977,9.1119,-0.0039009,0.64206,1,2.5088,10.189,11.25,6.845
10.257,9.0622,-0.0046647,0.67947,1,2.6091,10.289,11.25,6.845
10.734,9.0104,-0.0055123,0.72071,1,2.7095,10.389,11.25,6.845
11.255,8.954,-0.0064953,0.76349,1,2.8098,10.49,11.25,6.845
11.802,8.8936,-0.0075525,0.81179,1,2.9102,10.59,11.25,6.845
12.363,8.8307,-0.008623,0.86231,1,3.0105,10.691,11.25,6.845
12.989,8.7586,-0.0097769,0.91666,1,3.1108,10.791,11.25,6.845
13.597,8.6834,-0.010614,0.97597,1,3.2112,10.891,11.25,6.845
14.204,8.603,-0.01117,1.0388,1,3.3116,10.992,11.25,6.845
14.811,8.5094,-0.010892,1.1044,1,3.4119,11.092,11.25,6.845
15.297,8.4151,-0.0093631,1.172,1,3.5123,11.192,11.25,6.845
15.682,8.3091,-0.0055645,1.2443,1,3.6126,11.293,11.25,6.845
15.811,8.1842,0.0031907,1.3244,1,3.713,11.393,11.25,6.845
15.484,8.0464,0.018389,1.4067,1,3.8133,11.493,11.25,6.845
14.555,7.8869,0.042172,1.4887,1,3.9137,11.594,11.25,6.845
12.868,7.6993,0.078889,1.5676,1,4.014,11.694,11.25,6.845
10.294,7.4889,0.13388,1.6402,1,4.1143,11.794,11.25,6.845
6.8696,7.2257,0.1996,1.699,1,4.2147,11.895,11.25,6.845
2.8425,6.8241,0.23243,1.7198,1,4.3151,11.995,11.25,6.845
-1.5453,6.3963,0.1839,1.6665,1,4.4154,12.095,11.25,6.845
-5.6254,6.0748,0.11833,1.5597,1,4.5158,12.196,11.25,6.845
-8.5783,5.7409,0.11422,1.4154,1,4.6161,12.296,11.25,6.845
-10.504,5.4307,0.14927,1.2702,1,4.7165,12.396,11.25,6.845
-11.686,5.1769,0.19235,1.1421,1,4.8168,12.497,11.25,6.845
-12.356,4.9776,0.22676,1.0323,1,4.9172,12.597,11.25,6.845
-12.639,4.8079,0.24983,0.93738,1,5.0175,12.698,11.25,6.845
-12.562,4.6534,0.26497,0.85861,1,5.1178,12.798,11.25,6.845
-12.282,4.5211,0.27389,0.79053,1,5.2182,12.898,11.25,6.845
-11.933,4.4077,0.27896,0.7298,1,5.3186,12.999,11.25,6.845
-11.544,4.3115,0.28129,0.67667,1,5.4189,13.099,11.25,6.845
-11.14,4.2299,0.28164,0.62974,1,5.5193,13.199,11.25,6.845
-10.727,4.1636,0.28042,0.58996,1,5.6196,13.3,11.25,6.845
-10.345,4.105,0.27898,0.55296,1,5.72,13.4,11.25,6.845
-9.98,4.0518,0.27775,0.519,1,5.8203,13.5,11.25,6.845
-9.6346,4.0027,0.27684,0.48768,1,5.9207,13.601,11.25,6.845
-9.31,3.9591,0.27642,0.45943,1,6.021,13.701,11.25,6.845
-9.0186,3.9166,0.27715,0.43334,1,6.1213,13.801,11.25,6.845
-8.7453,3.876,0.27837,0.40919,1,6.2217,13.902,11.25,6.845
-8.4891,3.8373,0.27998,0.38683,1,6.3221,14.002,11.25,6.845
-8.2555,3.8034,0.28208,0.36736,1,6.4224,14.102,11.25,6.845
-8.0402,3.7702,0.28408,0.34937,1,6.5228,14.203,11.25,6.845
-7.8373,3.7391,0.28597,0.33267,1,6.6231,14.303,11.25,6.845
-7.6487,3.7119,0.28787,0.3177,1,6.7235,14.403,11.25,6.845
-7.4754,3.6859,0.28929,0.30384,1,6.8238,14.504,11.25,6.845
-7.3108,3.6616,0.29059,0.29074,1,6.9241,14.604,11.25,6.845
-7.1562,3.6401,0.29184,0.2787,1,7.0245,14.705,11.25,6.845
