"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.7426,3.4805,0.29607,0.19622,1,7.9276,15.608,11.25,6.845
-5.6558,3.4651,0.29694,0.18882,1,8.028,15.708,11.25,6.845
-5.5715,3.4514,0.29789,0.182,1,8.1283,15.808,11.25,6.845
-5.4897,3.438,0.29883,0.1755,1,8.2287,15.909,11.25,6.845
-5.4095,3.4254,0.29974,0.16939,1,8.3291,16.009,11.25,6.845
-5.3328,3.4139,0.30059,0.16388,1,8.4294,16.109,11.25,6.845
-5.2572,3.4026,0.30141,0.1585,1,8.5297,16.21,11.25,6.845
-5.1842,3.3924,0.30223,0.15372,1,8.6301,16.31,11.25,6.845
-5.1127,3.3824,0.303,0.14903,1,8.7304,16.41,11.25,6.845
-5.0427,3.3732,0.30381,0.14481,1,8.8308,16.511,11.25,6.845
-4.9747,3.3644,0.30453,0.14073,1,8.9312,16.611,11.25,6.845
-4.9076,3.356,0.30532,0.13698,1,9.0315,16.712,11.25,6.845
-4.843,3.3481,0.30607,0.13347,1,9.1318,16.812,11.25,6.845
-4.7788,3.3405,0.30677,0.13001,1,9.2322,16.912,11.25,6.845
-4.7169,3.3335,0.30777,0.12697,1,9.3326,17.013,11.25,6.845
-4.6554,3.3267,0.30858,0.12381,1,9.4329,17.113,11.25,6.845
-4.5957,3.3203,0.30967,0.12097,1,9.5332,17.213,11.25,6.845
-4.5367,3.3143,0.31062,0.11807,1,9.6336,17.314,11.25,6.845
-4.4792,3.3083,0.31184,0.11544,1,9.7339,17.414,11.25,6.845
-4.4225,3.3029,0.31297,0.11278,1,9.8343,17.514,11.25,6.845
-4.367,3.2973,0.31429,0.11038,1,9.9347,17.615,11.25,6.845
-4.3124,3.2924,0.31555,0.10788,1,10.035,17.715,11.25,6.845
