"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.234,9.733,0.00032788,0.20506,1,0,7.68,11.25,6.845
5.3426,9.7215,0.00036135,0.21245,1,0.10035,7.7804,11.25,6.845
5.4717,9.7076,0.00041189,0.22097,1,0.2007,7.8807,11.25,6.845
5.6009,9.6937,0.00046244,0.22949,1,0.30105,7.9811,11.25,6.845
5.7287,9.6799,0.00051315,0.23807,1,0.4014,8.0814,11.25,6.845
5.8687,9.6646,0.00058731,0.24797,1,0.50175,8.1818,11.25,6.845
6.017,9.6482,0.00066935,0.25817,1,0.6021,8.2821,11.25,6.845
6.1654,9.6319,0.00075139,0.26837,1,0.70245,8.3825,11.25,6.845
6.3203,9.6144,0.00086464,0.28001,1,0.8028,8.4828,11.25,6.845
6.4887,9.5953,0.00099772,0.29219,1,0.90315,8.5831,11.25,6.845
6.6571,9.5763,0.0011308,0.30438,1,1.0035,8.6835,11.25,6.845
6.8323,9.5557,0.0013154,0.31837,1,1.1038,8.7838,11.25,6.845
7.0209,9.5335,0.0015272,0.33287,1,1.2042,8.8842,11.25,6.845
7.204,9.5118,0.0017375,0.34758,1,1.3046,8.9846,11.25,6.845
7.4076,9.4865,0.0020595,0.3646,1,1.4049,9.0849,11.25,6.845
7.6154,9.4607,0.0023934,0.38179,1,1.5053,9.1853,11.25,6.845
7.8195,9.4345,0.0027802,0.4003,1,1.6056,9.2856,11.25,6.845
8.0439,9.4047,0.0032962,0.42058,1,1.706,9.386,11.25,6.845
8.2625,9.3754,0.0038062,0.44109,1,1.8063,9.4863,11.25,6.845
8.4935,9.3419,0.0045576,0.46466,1,1.9067,9.5866,11.25,6.845
8.7302,9.3074,0.0053443,0.48846,1,2.007,9.687,11.25,6.845
8.9589,9.2709,0.0063502,0.51515,1,2.1073,9.7873,11.25,6.845
9.201,9.2311,0.0075342,0.54292,1,2.2077,9.8877,11.25,6.845
9.4289,9.1899,0.0089366,0.57334,1,2.3081,9.9881,11.25,6.845
9.6667,9.144,0.010677,0.60557,1,2.4084,10.088,11.25,6.845
9.8841,9.0965,0.012704,0.64075,1,2.5088,10.189,11.25,6.845
10.105,9.0435,0.015218,0.67791,1,2.6091,10.289,11.25,6.845
10.295,8.9876,0.018218,0.71905,1,2.7095,10.389,11.25,6.845
10.483,8.9263,0.021773,0.76161,1,2.8098,10.49,11.25,6.845
10.619,8.8593,0.026237,0.80997,1,2.9102,10.59,11.25,6.845
10.738,8.7889,0.03113,0.8607,1,3.0105,10.691,11.25,6.845
10.806,8.7061,0.037734,0.91523,1,3.1108,10.791,11.25,6.845
10.816,8.6178,0.045223,0.9754,1,3.2112,10.891,11.25,6.845
10.781,8.5218,0.053776,1.0396,1,3.3116,10.992,11.25,6.845
10.653,8.4061,0.065069,1.1066,1,3.4119,11.092,11.25,6.845
10.464,8.286,0.077325,1.177,1,3.5123,11.192,11.25,6.845
10.204,8.1471,0.092373,1.2535,1,3.6126,11.293,11.25,6.845
9.8142,7.9779,0.11163,1.3402,1,3.713,11.393,11.25,6.845
9.2665,7.7863,0.13369,1.4315,1,3.8133,11.493,11.25,6.845
8.5481,7.5562,0.15935,1.5253,1,3.9137,11.594,11.25,6.845
7.6636,7.292,0.19223,1.6195,1,4.014,11.694,11.25,6.845
6.672,7.0273,0.23574,1.7107,1,4.1143,11.794,11.25,6.845
5.7343,6.673,0.26585,1.7817,1,4.2147,11.895,11.25,6.845
4.6659,6.049,0.20387,1.7775,1,4.3151,11.995,11.25,6.845
2.832,5.6058,0.035426,1.6617,1,4.4154,12.095,11.25,6.845
0.74935,5.4573,-0.051343,1.515,1,4.5158,12.196,11.25,6.845
-0.75235,5.1949,-0.027743,1.3463,1,4.6161,12.296,11.25,6.845
