U:0,U:0,U:0,,,Points:2
12.682,11.832,11.868,12.12733333,0.821356812,5
12.758,11.877,11.945,12.19333333,0.825826843,5.0338
12.833,11.897,12.021,12.25033333,0.829687324,5.0675
12.775,11.828,12.034,12.21233333,0.82711367,5.1013
12.574,11.676,11.948,12.066,0.817202845,5.135
12.373,11.525,11.808,11.902,0.806095496,5.1687
12.172,11.373,11.668,11.73766667,0.794965572,5.2025
11.971,11.222,11.527,11.57333333,0.783835647,5.2362
11.77,11.07,11.387,11.409,0.772705723,5.27
11.569,10.942,11.246,11.25233333,0.762095045,5.3038
11.373,10.863,11.111,11.11566667,0.752838921,5.3375
11.209,10.744,11.002,10.985,0.743989164,5.3713
11.046,10.626,10.846,10.83933333,0.73412349,5.405
10.882,10.507,10.69,10.693,0.724212665,5.4387
10.718,10.388,10.534,10.54666667,0.71430184,5.4725
10.554,10.27,10.378,10.40066667,0.704413591,5.5062
10.391,10.151,10.222,10.25466667,0.694525341,5.54
10.227,10.085,10.066,10.126,0.68581104,5.5738
10.13,10.015,9.9867,10.0439,0.680250593,5.6075
10.048,9.9438,9.9163,9.969366667,0.675202619,5.6413
9.966,9.8723,9.8417,9.893333333,0.670053053,5.675
9.884,9.8007,9.7671,9.817266667,0.66490123,5.7087
9.802,9.7292,9.6925,9.741233333,0.659751665,5.7425
9.7201,9.6577,9.6178,9.6652,0.6546021,5.7762
9.6381,9.6009,9.5432,9.594066667,0.6497844,5.81
9.5698,9.5517,9.4821,9.534533333,0.645752342,5.8438
9.5161,9.5011,9.4341,9.483766667,0.642314031,5.8775
9.4625,9.4505,9.3831,9.432033333,0.638810249,5.9113
9.4089,9.4,9.332,9.3803,0.635306468,5.945
9.3552,9.3494,9.281,9.328533333,0.631800429,5.9788
9.3016,9.2988,9.23,9.2768,0.628296647,6.0125
9.2479,9.2508,9.1789,9.225866667,0.624847048,6.0462
9.196,9.2091,9.1298,9.1783,0.621625466,6.08
9.1542,9.1681,9.0919,9.138066667,0.618900553,6.1137
9.1123,9.1271,9.0514,9.096933333,0.616114686,6.1475
9.0704,9.086,9.011,9.0558,0.613328818,6.1813
9.0285,9.045,8.9706,9.0147,0.610545208,6.215
8.9866,9.004,8.9302,8.9736,0.607761598,6.2488
8.9447,8.963,8.8897,8.932466667,0.604975731,6.2825
8.9028,8.926,8.8493,8.8927,0.602282425,6.3162
8.8749,8.8982,8.8269,8.866666667,0.600519246,6.35
8.85,8.8725,8.8062,8.8429,0.598909583,6.3837
8.8252,8.8468,8.7842,8.818733333,0.59727283,6.4175
8.8004,8.821,8.7623,8.794566667,0.595636076,6.4513
8.7756,8.7953,8.7404,8.770433333,0.59400158,6.485
8.7508,8.7695,8.7184,8.746233333,0.592362569,6.5188
8.7259,8.7452,8.6965,8.722533333,0.590757422,6.5525
8.7102,8.7296,8.6852,8.708333333,0.589795688,6.5862
8.7043,8.7226,8.6843,8.703733333,0.58948414,6.62
8.6984,8.7155,8.6812,8.698366667,0.589120668,6.6537
8.6924,8.7084,8.6781,8.692966667,0.588754938,6.6875
8.6865,8.7014,8.675,8.687633333,0.588393724,6.7213
8.6806,8.6943,8.6719,8.682266667,0.588030252,6.755
8.6746,8.6878,8.6688,8.677066667,0.587678068,6.7888
8.6797,8.6946,8.6782,8.684166667,0.588158934,6.8225
8.7482,8.7697,8.7598,8.759233333,0.59324303,6.8562
8.8167,8.8448,8.8298,8.830433333,0.598065244,6.89
8.8853,8.9199,8.8997,8.901633333,0.602887459,6.9237
8.9538,8.995,8.9697,8.972833333,0.607709674,6.9575
9.0223,9.0701,9.0396,9.044,0.612529631,6.9913
9.0908,9.1452,9.1096,9.1152,0.617351846,7.025
9.1593,9.2331,9.1795,9.190633333,0.622460774,7.0588
9.3642,9.444,9.4013,9.403166667,0.636855176,7.0925
9.6001,9.6827,9.6478,9.643533333,0.653134665,7.1262
9.8359,9.9214,9.8895,9.882266667,0.669303533,7.16
10.072,10.16,10.131,10.121,0.685472401,7.1937
10.308,10.399,10.373,10.36,0.701659329,7.2275
10.544,10.637,10.615,10.59866667,0.717823682,7.2613
10.779,10.882,10.856,10.839,0.734100914,7.295
11.047,11.154,11.127,11.10933333,0.752409979,7.3288
11.348,11.45,11.428,11.40866667,0.772683147,7.3625
11.649,11.745,11.732,11.70866667,0.793001467,7.3962
11.95,12.041,12.036,12.009,0.813342364,7.43
12.252,12.337,12.34,12.30966667,0.833705836,7.4637
12.553,12.633,12.644,12.61,0.854046732,7.4975
12.854,12.927,12.948,12.90966667,0.874342477,7.5312
13.14,13.202,13.234,13.192,0.893464274,7.565
13.339,13.398,13.417,13.38466667,0.90651315,7.5988
13.539,13.595,13.612,13.582,0.91987809,7.6325
13.738,13.792,13.807,13.779,0.933220454,7.6663
13.937,13.988,14.002,13.97566667,0.946540242,7.7
14.137,14.185,14.197,14.173,0.959905181,7.7337
14.336,14.381,14.392,14.36966667,0.973224969,7.7675
14.535,14.569,14.587,14.56366667,0.986364149,7.8012
14.644,14.674,14.686,14.668,0.99343041,7.835
14.733,14.761,14.769,14.75433333,0.999277571,7.8688
14.821,14.848,14.854,14.841,1.005147308,7.9025
14.91,14.935,14.939,14.928,1.011039621,7.9363
14.998,15.021,15.024,15.01433333,1.016886782,7.97
15.086,15.108,15.109,15.101,1.022756519,8.0037
15.175,15.191,15.195,15.187,1.028581104,8.0375
15.234,15.246,15.25,15.24333333,1.032396433,8.0712
15.262,15.273,15.274,15.26966667,1.03417993,8.105
15.29,15.3,15.301,15.297,1.036031155,8.1388
15.317,15.327,15.327,15.32366667,1.037837228,8.1725
15.345,15.354,15.353,15.35066667,1.039665877,8.2063
15.373,15.381,15.38,15.378,1.041517101,8.24
15.4,15.407,15.406,15.40433333,1.043300598,8.2738
15.425,15.428,15.429,15.42733333,1.044858336,8.3075
15.429,15.432,15.432,15.431,1.045106671,8.3413
15.434,15.437,15.437,15.436,1.04544531,8.375
