U:0,a_U0,,UMean:0,a_UMean0,,Points:0,x/D
3.7931,0.388776713,,4.764,0.4867830832,,15.206,0.7124444444
3.7776,0.3871880285,,4.7948,0.4899302114,,15.307,0.7348888889
3.7632,0.3857120894,,4.8277,0.4932919166,,15.407,0.7571111111
3.7496,0.3843181469,,4.8619,0.4967864551,,15.507,0.7793333333
3.7367,0.3829959514,,4.8972,0.500393391,,15.608,0.8017777778
3.7246,0.3817557526,,4.9338,0.5041331603,,15.708,0.824
3.7134,0.3806077999,,4.9719,0.5080261988,,15.808,0.8462222222
3.7028,0.3795213447,,5.011,0.5120214168,,15.909,0.8686666667
3.6928,0.378496387,,5.051,0.5161085964,,16.009,0.8908888889
3.6834,0.3775329268,,5.0924,0.5203388272,,16.109,0.9131111111
3.6745,0.3766207144,,5.1347,0.5246610195,,16.21,0.9355555556
3.666,0.3757495003,,5.1778,0.5290649555,,16.31,0.9577777778
3.6579,0.3749192846,,5.222,0.5335812889,,16.41,0.98
3.6503,0.3741403167,,5.2671,0.5381895838,,16.511,1.0024444444
3.643,0.3733920976,,5.3129,0.5428694044,,16.611,1.0246666667
3.6359,0.3726643776,,5.3596,0.5476411865,,16.712,1.0471111111
3.6293,0.3719879055,,5.4072,0.5525049302,,16.812,1.0693333333
3.6229,0.3713319326,,5.4554,0.5574299815,,16.912,1.0915555556
3.6168,0.3707067083,,5.5044,0.5624367764,,17.013,1.114
3.6111,0.3701224824,,5.5542,0.567525315,,17.113,1.1362222222
3.6056,0.3695587557,,5.6045,0.5726649432,,17.213,1.1584444444
3.6006,0.3690462768,,5.6557,0.577896533,,17.314,1.1808888889
3.5957,0.3685440476,,5.7074,0.5831792126,,17.414,1.2031111111
3.591,0.3680623174,,5.7597,0.5885231999,,17.514,1.2253333333
3.5867,0.3676215856,,5.8129,0.5939591486,,17.615,1.2477777778
3.5824,0.3671808538,,5.8664,0.5994257513,,17.715,1.27
