p,U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-3.4873,9.7028,0.984556063,-0.0074871,-0.21069,1,6.8238,17.504,11.25,2
-3.4512,9.6962,0.983886352,-0.0077262,-0.19701,1,6.9242,17.604,11.25,2
-3.4143,9.6896,0.983216641,-0.0079575,-0.18379,1,7.0245,17.705,11.25,2
-3.3756,9.6833,0.982577372,-0.008171,-0.17165,1,7.1248,17.805,11.25,2
-3.3364,9.6771,0.98194825,-0.0083752,-0.15995,1,7.2252,17.905,11.25,2
-3.2963,9.6711,0.981339422,-0.0085606,-0.14913,1,7.3256,18.006,11.25,2
-3.256,9.6652,0.980740741,-0.0087366,-0.13868,1,7.4259,18.106,11.25,2
-3.2156,9.6596,0.980172501,-0.0088931,-0.129,1,7.5262,18.206,11.25,2
-3.1752,9.6541,0.979614409,-0.0090415,-0.11963,1,7.6266,18.307,11.25,2
-3.1349,9.6489,0.979086758,-0.0091704,-0.11097,1,7.7269,18.407,11.25,2
-3.0948,9.6437,0.978559107,-0.0092936,-0.10253,1,7.8273,18.507,11.25,2
-3.0552,9.6389,0.978072045,-0.0093977,-0.0948,1,7.9277,18.608,11.25,2
-3.0157,9.6341,0.977584982,-0.009499,-0.087183,1,8.028,18.708,11.25,2
-2.9769,9.6296,0.977128361,-0.0095818,-0.080302,1,8.1283,18.808,11.25,2
-2.9382,9.6251,0.97667174,-0.0096646,-0.073423,1,8.2287,18.909,11.25,2
-2.9005,9.621,0.976255708,-0.0097304,-0.067315,1,8.3291,19.009,11.25,2
-2.8629,9.6169,0.975839675,-0.0097962,-0.061207,1,8.4294,19.109,11.25,2
-2.8262,9.6131,0.975454084,-0.0098516,-0.055684,1,8.5297,19.21,11.25,2
-2.7897,9.6094,0.97507864,-0.009905,-0.050268,1,8.6301,19.31,11.25,2
-2.7541,9.606,0.974733638,-0.0099532,-0.045243,1,8.7304,19.41,11.25,2
-2.719,9.6026,0.974388635,-0.0099985,-0.040428,1,8.8308,19.511,11.25,2
-2.6844,9.5995,0.974074074,-0.010042,-0.035825,1,8.9312,19.611,11.25,2
-2.6507,9.5966,0.973779807,-0.010082,-0.03151,1,9.0315,19.712,11.25,2
-2.6172,9.5937,0.97348554,-0.010121,-0.027262,1,9.1318,19.812,11.25,2
-2.5848,9.5911,0.973221715,-0.010156,-0.023351,1,9.2322,19.912,11.25,2
-2.5524,9.5886,0.972968037,-0.010192,-0.019439,1,9.3326,20.013,11.25,2
-2.5212,9.5863,0.972734652,-0.010224,-0.0158,1,9.4329,20.113,11.25,2
-2.4902,9.5841,0.972511416,-0.010256,-0.0122,1,9.5332,20.213,11.25,2
-2.4599,9.5821,0.972308473,-0.010289,-0.0087267,1,9.6336,20.314,11.25,2
-2.4304,9.5801,0.97210553,-0.010321,-0.0053596,1,9.7339,20.414,11.25,2
-2.401,9.5783,0.971922882,-0.010355,-0.0020216,1,9.8343,20.514,11.25,2
-2.3729,9.5766,0.971750381,-0.010393,0.0011818,1,9.9347,20.615,11.25,2
-2.3448,9.575,0.971588026,-0.010432,0.0043851,1,10.035,20.715,11.25,2
