"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00076457,0.0083,7.4757,11.499,9.5402,-0.00098445,0.39653,9.5856,0.00027373,0.35658,1,0,4.68,11.25,6.845
0.00076516,0.0082211,7.7103,11.401,9.5207,-0.0011302,0.41784,9.569,0.00028425,0.37669,1,0.10035,4.7804,11.25,6.845
0.00076575,0.0081422,7.9449,11.302,9.5012,-0.001276,0.43916,9.5524,0.00029476,0.39679,1,0.2007,4.8807,11.25,6.845
0.00076633,0.0080634,8.1794,11.204,9.4816,-0.0014218,0.46048,9.5358,0.00030527,0.4169,1,0.30105,4.9811,11.25,6.845
0.00076692,0.0079845,8.414,11.105,9.4621,-0.0015675,0.48179,9.5191,0.00031579,0.437,1,0.4014,5.0814,11.25,6.845
0.00076751,0.0079056,8.6486,11.007,9.4425,-0.0017133,0.50311,9.5025,0.0003263,0.45711,1,0.50175,5.1817,11.25,6.845
0.0007681,0.0078267,8.8832,10.909,9.423,-0.0018591,0.52442,9.4859,0.00033681,0.47721,1,0.6021,5.2821,11.25,6.845
0.00076868,0.0077478,9.1177,10.81,9.4034,-0.0020049,0.54574,9.4693,0.00034733,0.49732,1,0.70245,5.3825,11.25,6.845
0.00076927,0.007669,9.3523,10.712,9.3839,-0.0021506,0.56705,9.4527,0.00035784,0.51742,1,0.8028,5.4828,11.25,6.845
0.00077256,0.0076051,9.5593,10.614,9.3505,-0.0022553,0.58945,9.423,0.00035885,0.53847,1,0.90315,5.5831,11.25,6.845
0.00078567,0.007596,9.6662,10.52,9.2667,-0.0022109,0.61574,9.3456,0.00032535,0.56294,1,1.0035,5.6835,11.25,6.845
0.00079877,0.0075868,9.7731,10.425,9.183,-0.0021664,0.64203,9.2682,0.00029186,0.58741,1,1.1039,5.7839,11.25,6.845
0.00081188,0.0075776,9.88,10.33,9.0992,-0.002122,0.66832,9.1909,0.00025837,0.61188,1,1.2042,5.8842,11.25,6.845
0.00082498,0.0075684,9.9869,10.235,9.0155,-0.0020775,0.69462,9.1135,0.00022487,0.63635,1,1.3046,5.9845,11.25,6.845
0.00083808,0.0075592,10.094,10.141,8.9318,-0.0020331,0.72091,9.0361,0.00019138,0.66082,1,1.4049,6.0849,11.25,6.845
0.00085119,0.00755,10.201,10.046,8.848,-0.0019886,0.7472,8.9588,0.00015788,0.68529,1,1.5052,6.1852,11.25,6.845
0.00086429,0.0075408,10.308,9.9512,8.7643,-0.0019442,0.77349,8.8814,0.00012439,0.70976,1,1.6056,6.2856,11.25,6.845
0.0008774,0.0075316,10.414,9.8565,8.6805,-0.0018997,0.79979,8.804,9.0897e-05,0.73423,1,1.706,6.386,11.25,6.845
0.0008905,0.0075225,10.521,9.7617,8.5968,-0.0018553,0.82608,8.7267,5.7403e-05,0.7587,1,1.8063,6.4863,11.25,6.845
0.00090361,0.0075133,10.628,9.667,8.513,-0.0018108,0.85237,8.6493,2.391e-05,0.78317,1,1.9067,6.5866,11.25,6.845
0.0017569,0.016819,11.262,9.587,8.451,-0.0028978,0.90559,8.594,0.00013844,0.83456,1,2.007,6.687,11.25,6.845
0.0039109,0.040545,12.711,9.5297,8.4227,-0.0057364,1.0005,8.5727,0.00048211,0.92764,1,2.1074,6.7874,11.25,6.845
0.0060649,0.064271,14.16,9.4725,8.3944,-0.0085749,1.0954,8.5515,0.00082579,1.0207,1,2.2077,6.8877,11.25,6.845
0.0082189,0.087997,15.609,9.4153,8.3661,-0.011413,1.1903,8.5303,0.0011695,1.1138,1,2.3081,6.988,11.25,6.845
0.010373,0.11172,17.057,9.358,8.3378,-0.014252,1.2853,8.509,0.0015131,1.2069,1,2.4084,7.0884,11.25,6.845
0.012527,0.13545,18.506,9.3008,8.3095,-0.01709,1.3802,8.4878,0.0018568,1.2999,1,2.5087,7.1887,11.25,6.845
0.014681,0.15918,19.955,9.2435,8.2812,-0.019929,1.4751,8.4666,0.0022005,1.393,1,2.6091,7.2891,11.25,6.845
0.016835,0.1829,21.404,9.1863,8.2529,-0.022768,1.57,8.4453,0.0025442,1.4861,1,2.7095,7.3895,11.25,6.845
0.018989,0.20663,22.853,9.129,8.2246,-0.025606,1.6649,8.4241,0.0028878,1.5792,1,2.8098,7.4898,11.25,6.845
0.021143,0.23035,24.302,9.0718,8.1963,-0.028445,1.7598,8.4029,0.0032315,1.6723,1,2.9102,7.5901,11.25,6.845
0.022809,0.25095,24.466,9.1948,7.9618,-0.038476,1.8411,8.2068,-0.0027063,1.7536,1,3.0105,7.6905,11.25,6.845
0.024099,0.26912,23.637,9.4571,7.5679,-0.054066,1.9118,7.8755,-0.013498,1.8258,1,3.1109,7.7909,11.25,6.845
0.025389,0.2873,22.808,9.7194,7.174,-0.069656,1.9825,7.5442,-0.024291,1.8981,1,3.2112,7.8912,11.25,6.845
