"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.5037,0.14209,-0.052902,9.5043,0.14137,-0.053394,7.5585,1,0.56196,11.242,12.25,3.155
9.5018,0.14264,-0.053728,9.5025,0.14191,-0.054223,7.5777,1,0.57199,11.252,12.25,3.155
9.4998,0.14335,-0.054687,9.5004,0.14262,-0.055185,7.5992,1,0.58203,11.262,12.25,3.155
9.4977,0.14407,-0.055646,9.4984,0.14333,-0.056147,7.6207,1,0.59206,11.272,12.25,3.155
9.4957,0.14479,-0.056604,9.4963,0.14404,-0.05711,7.6421,1,0.6021,11.282,12.25,3.155
9.4936,0.14551,-0.057563,9.4943,0.14475,-0.058072,7.6636,1,0.61213,11.292,12.25,3.155
9.4916,0.14623,-0.058522,9.4922,0.14545,-0.059034,7.6851,1,0.62217,11.302,12.25,3.155
9.4895,0.14695,-0.059481,9.4902,0.14616,-0.059996,7.7065,1,0.63221,11.312,12.25,3.155
9.4875,0.14766,-0.06044,9.4881,0.14687,-0.060958,7.728,1,0.64224,11.322,12.25,3.155
9.4854,0.14838,-0.061399,9.486,0.14758,-0.061921,7.7495,1,0.65228,11.332,12.25,3.155
9.4834,0.1491,-0.062358,9.484,0.14829,-0.062883,7.771,1,0.66231,11.342,12.25,3.155
9.4813,0.14975,-0.063348,9.4819,0.14892,-0.063876,7.7928,1,0.67235,11.352,12.25,3.155
9.4792,0.15052,-0.064397,9.4798,0.14968,-0.064929,7.8133,1,0.68238,11.362,12.25,3.155
9.4771,0.15129,-0.065446,9.4777,0.15044,-0.065982,7.8338,1,0.69241,11.372,12.25,3.155
9.475,0.15206,-0.066496,9.4756,0.1512,-0.067035,7.8542,1,0.70245,11.382,12.25,3.155
9.4729,0.15283,-0.067545,9.4735,0.15196,-0.068088,7.8747,1,0.71248,11.392,12.25,3.155
9.4709,0.1536,-0.068595,9.4714,0.15272,-0.069141,7.8952,1,0.72252,11.403,12.25,3.155
9.4688,0.15437,-0.069644,9.4694,0.15348,-0.070194,7.9157,1,0.73255,11.413,12.25,3.155
9.4667,0.15514,-0.070693,9.4673,0.15424,-0.071247,7.9362,1,0.74259,11.423,12.25,3.155
9.4646,0.15591,-0.071743,9.4652,0.155,-0.0723,7.9566,1,0.75262,11.433,12.25,3.155
9.4625,0.15668,-0.072792,9.4631,0.15576,-0.073353,7.9771,1,0.76266,11.443,12.25,3.155
9.4604,0.15737,-0.073858,9.4609,0.15643,-0.074423,7.9982,1,0.77269,11.453,12.25,3.155
9.4583,0.15819,-0.074995,9.4588,0.15724,-0.075564,8.0188,1,0.78273,11.463,12.25,3.155
9.4561,0.15901,-0.076131,9.4567,0.15804,-0.076705,8.0395,1,0.79276,11.473,12.25,3.155
9.454,0.15983,-0.077267,9.4545,0.15885,-0.077845,8.0602,1,0.8028,11.483,12.25,3.155
9.4519,0.16065,-0.078404,9.4524,0.15966,-0.078986,8.0808,1,0.81283,11.493,12.25,3.155
9.4497,0.16147,-0.07954,9.4503,0.16046,-0.080127,8.1015,1,0.82287,11.503,12.25,3.155
9.4476,0.16229,-0.080676,9.4481,0.16127,-0.081267,8.1222,1,0.8329,11.513,12.25,3.155
9.4455,0.1631,-0.081812,9.446,0.16208,-0.082408,8.1429,1,0.84294,11.523,12.25,3.155
9.4433,0.16392,-0.082949,9.4439,0.16288,-0.083549,8.1635,1,0.85297,11.533,12.25,3.155
9.4412,0.16474,-0.084085,9.4417,0.16369,-0.084689,8.1842,1,0.86301,11.543,12.25,3.155
9.4391,0.16551,-0.085232,9.4396,0.16444,-0.085841,8.2052,1,0.87304,11.553,12.25,3.155
9.4368,0.16633,-0.08644,9.4373,0.16524,-0.087054,8.2268,1,0.88308,11.563,12.25,3.155
9.4346,0.1672,-0.087671,9.4351,0.1661,-0.08829,8.2484,1,0.89312,11.573,12.25,3.155
9.4324,0.16807,-0.088902,9.4329,0.16696,-0.089527,8.27,1,0.90315,11.583,12.25,3.155
9.4301,0.16895,-0.090133,9.4306,0.16782,-0.090763,8.2916,1,0.91319,11.593,12.25,3.155
9.4279,0.16982,-0.091364,9.4284,0.16868,-0.092,8.3132,1,0.92322,11.603,12.25,3.155
9.4257,0.17069,-0.092595,9.4261,0.16954,-0.093236,8.3348,1,0.93325,11.613,12.25,3.155
9.4234,0.17157,-0.093827,9.4239,0.17039,-0.094473,8.3564,1,0.94329,11.623,12.25,3.155
9.4212,0.17244,-0.095058,9.4216,0.17125,-0.095709,8.378,1,0.95332,11.633,12.25,3.155
9.419,0.17331,-0.096289,9.4194,0.17211,-0.096946,8.3996,1,0.96336,11.643,12.25,3.155
9.4167,0.17419,-0.09752,9.4172,0.17297,-0.098182,8.4212,1,0.97339,11.653,12.25,3.155
9.4144,0.17497,-0.098791,9.4148,0.17374,-0.09946,8.4437,1,0.98343,11.663,12.25,3.155
9.412,0.1759,-0.10013,9.4125,0.17465,-0.1008,8.4666,1,0.99346,11.673,12.25,3.155
9.4097,0.17684,-0.10146,9.4101,0.17557,-0.10215,8.4896,1,1.0035,11.684,12.25,3.155
9.4073,0.17777,-0.1028,9.4077,0.17648,-0.10349,8.5125,1,1.0135,11.694,12.25,3.155
9.405,0.1787,-0.10414,9.4054,0.1774,-0.10483,8.5354,1,1.0236,11.704,12.25,3.155
9.4026,0.17964,-0.10547,9.403,0.17832,-0.10617,8.5584,1,1.0336,11.714,12.25,3.155
9.4002,0.18057,-0.10681,9.4006,0.17923,-0.10752,8.5813,1,1.0436,11.724,12.25,3.155
9.3979,0.1815,-0.10814,9.3983,0.18015,-0.10886,8.6042,1,1.0537,11.734,12.25,3.155
9.3955,0.18244,-0.10948,9.3959,0.18106,-0.1102,8.6272,1,1.0637,11.744,12.25,3.155
9.3932,0.18337,-0.11082,9.3935,0.18198,-0.11155,8.6501,1,1.0737,11.754,12.25,3.155
9.3908,0.18426,-0.11216,9.3911,0.18285,-0.1129,8.6734,1,1.0838,11.764,12.25,3.155
9.3883,0.18517,-0.11357,9.3886,0.18373,-0.11432,8.6975,1,1.0938,11.774,12.25,3.155
9.3858,0.18617,-0.11503,9.3861,0.18471,-0.11578,8.7219,1,1.1038,11.784,12.25,3.155
9.3833,0.18717,-0.11648,9.3836,0.18569,-0.11724,8.7463,1,1.1139,11.794,12.25,3.155
9.3808,0.18817,-0.11793,9.3811,0.18667,-0.1187,8.7707,1,1.1239,11.804,12.25,3.155
9.3783,0.18917,-0.11939,9.3786,0.18765,-0.12016,8.7951,1,1.134,11.814,12.25,3.155
9.3758,0.19016,-0.12084,9.3761,0.18863,-0.12162,8.8195,1,1.144,11.824,12.25,3.155
9.3733,0.19116,-0.12229,9.3736,0.18961,-0.12308,8.8439,1,1.154,11.834,12.25,3.155
9.3708,0.19216,-0.12374,9.3711,0.19059,-0.12455,8.8683,1,1.1641,11.844,12.25,3.155
9.3683,0.19316,-0.1252,9.3686,0.19157,-0.12601,8.8927,1,1.1741,11.854,12.25,3.155
9.3658,0.19416,-0.12665,9.3661,0.19254,-0.12747,8.9171,1,1.1841,11.864,12.25,3.155
9.3633,0.19509,-0.12812,9.3635,0.19344,-0.12895,8.942,1,1.1942,11.874,12.25,3.155
