"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.19789,2.3643,-3.8265,11.428,3.5197,-0.13275,1.9008,4.1191,-0.14313,1.8886,1,4.3151,8.9951,11.25,6.845
0.19784,2.3648,-8.4881,11.469,3.2883,-0.12735,1.7836,3.8824,-0.14986,1.7747,1,4.4154,9.0954,11.25,6.845
0.19779,2.3653,-13.15,11.509,3.057,-0.12196,1.6663,3.6457,-0.15659,1.6609,1,4.5158,9.1958,11.25,6.845
0.19774,2.3658,-17.811,11.55,2.8257,-0.11656,1.5491,3.4089,-0.16332,1.547,1,4.6161,9.2961,11.25,6.845
0.19735,2.3526,-20.234,11.506,2.7599,-0.10639,1.4413,3.3002,-0.15899,1.439,1,4.7165,9.3965,11.25,6.845
0.19667,2.3275,-20.712,11.388,2.8378,-0.092062,1.3417,3.3026,-0.14504,1.3361,1,4.8168,9.4968,11.25,6.845
0.19599,2.3023,-21.19,11.271,2.9157,-0.077737,1.242,3.3049,-0.13109,1.2332,1,4.9172,9.5971,11.25,6.845
0.19532,2.2771,-21.668,11.154,2.9936,-0.063412,1.1424,3.3072,-0.11714,1.1304,1,5.0175,9.6975,11.25,6.845
0.19464,2.252,-22.146,11.037,3.0715,-0.049087,1.0428,3.3096,-0.10319,1.0275,1,5.1178,9.7978,11.25,6.845
0.19396,2.2268,-22.624,10.92,3.1493,-0.034762,0.94312,3.3119,-0.089245,0.92459,1,5.2182,9.8982,11.25,6.845
0.19328,2.2017,-23.102,10.802,3.2272,-0.020437,0.84348,3.3143,-0.075297,0.8217,1,5.3186,9.9986,11.25,6.845
0.19355,2.19,-23.225,10.702,3.2729,-0.0075236,0.75791,3.2977,-0.061247,0.73239,1,5.4189,10.099,11.25,6.845
0.19822,2.2411,-21.689,10.679,3.1684,-0.001204,0.738,3.193,-0.046719,0.70642,1,5.5193,10.199,11.25,6.845
0.20288,2.2923,-20.152,10.655,3.0638,0.0051156,0.71809,3.0883,-0.032191,0.68045,1,5.6196,10.3,11.25,6.845
0.20755,2.3434,-18.616,10.632,2.9592,0.011435,0.69817,2.9836,-0.017663,0.65449,1,5.72,10.4,11.25,6.845
0.21222,2.3946,-17.079,10.609,2.8546,0.017755,0.67826,2.8789,-0.0031345,0.62852,1,5.8203,10.5,11.25,6.845
0.21688,2.4457,-15.543,10.586,2.75,0.024074,0.65835,2.7742,0.011393,0.60255,1,5.9207,10.601,11.25,6.845
0.22155,2.4968,-14.007,10.562,2.6454,0.030394,0.63844,2.6694,0.025921,0.57659,1,6.021,10.701,11.25,6.845
0.22721,2.5483,-13.273,10.514,2.6076,0.037242,0.61125,2.6292,0.037609,0.5451,1,6.1213,10.801,11.25,6.845
0.2339,2.6002,-13.361,10.439,2.6382,0.044632,0.5766,2.6551,0.046389,0.50794,1,6.2217,10.902,11.25,6.845
0.24059,2.6521,-13.45,10.365,2.6689,0.052021,0.54196,2.681,0.055168,0.47079,1,6.3221,11.002,11.25,6.845
0.24728,2.704,-13.539,10.29,2.6995,0.05941,0.50731,2.7069,0.063947,0.43364,1,6.4224,11.102,11.25,6.845
0.25397,2.7558,-13.627,10.216,2.7301,0.0668,0.47266,2.7328,0.072726,0.39649,1,6.5228,11.203,11.25,6.845
0.26065,2.8077,-13.716,10.142,2.7608,0.074189,0.43802,2.7587,0.081505,0.35934,1,6.6231,11.303,11.25,6.845
0.26774,2.8627,-13.596,10.077,2.7715,0.079082,0.41083,2.7663,0.088892,0.32965,1,6.7235,11.403,11.25,6.845
0.27535,2.9221,-13.196,10.027,2.7556,0.080612,0.39369,2.7492,0.094404,0.31002,1,6.8238,11.504,11.25,6.845
0.28297,2.9814,-12.796,9.9773,2.7396,0.082143,0.37656,2.7321,0.099915,0.29039,1,6.9241,11.604,11.25,6.845
0.29059,3.0407,-12.396,9.9273,2.7236,0.083673,0.35942,2.715,0.10543,0.27076,1,7.0245,11.705,11.25,6.845
0.29821,3.1,-11.996,9.8772,2.7077,0.085203,0.34228,2.6979,0.11094,0.25113,1,7.1248,11.805,11.25,6.845
0.30582,3.1594,-11.596,9.8272,2.6917,0.086734,0.32514,2.6809,0.11645,0.2315,1,7.2252,11.905,11.25,6.845
0.31269,3.2065,-11.374,9.7769,2.7009,0.086967,0.308,2.6961,0.12057,0.21185,1,7.3256,12.006,11.25,6.845
0.3195,3.2525,-11.169,9.7265,2.7125,0.087082,0.29086,2.7143,0.12456,0.1922,1,7.4259,12.106,11.25,6.845
0.3263,3.2985,-10.963,9.6762,2.724,0.087198,0.27371,2.7325,0.12855,0.17254,1,7.5263,12.206,11.25,6.845
0.3331,3.3445,-10.758,9.6259,2.7356,0.087313,0.25657,2.7507,0.13254,0.15289,1,7.6266,12.307,11.25,6.845
0.33991,3.3905,-10.552,9.5756,2.7471,0.087428,0.23942,2.7689,0.13653,0.13323,1,7.727,12.407,11.25,6.845
0.34604,3.429,-10.367,9.5304,2.7593,0.086051,0.22443,2.7848,0.13715,0.1169,1,7.8273,12.507,11.25,6.845
0.35211,3.4666,-10.185,9.4857,2.7715,0.084532,0.20965,2.8006,0.13744,0.10088,1,7.9276,12.608,11.25,6.845
0.35818,3.5043,-10.002,9.441,2.7837,0.083013,0.19486,2.8163,0.13774,0.084858,1,8.028,12.708,11.25,6.845
0.36426,3.542,-9.8193,9.3963,2.7959,0.081494,0.18008,2.8321,0.13803,0.068839,1,8.1283,12.808,11.25,6.845
0.37011,3.5774,-9.6439,9.3529,2.8095,0.079695,0.16576,2.8509,0.13778,0.053708,1,8.2287,12.909,11.25,6.845
0.3756,3.609,-9.481,9.3119,2.8253,0.07742,0.15224,2.8749,0.13662,0.040093,1,8.3291,13.009,11.25,6.845
0.3811,3.6406,-9.3181,9.2708,2.8411,0.075145,0.13872,2.8989,0.13545,0.026478,1,8.4294,13.109,11.25,6.845
0.38659,3.6721,-9.1552,9.2298,2.857,0.07287,0.1252,2.9229,0.13428,0.012864,1,8.5298,13.21,11.25,6.845
0.39198,3.7026,-8.9962,9.1893,2.8737,0.070503,0.11179,2.9478,0.13274,-0.00036034,1,8.6301,13.31,11.25,6.845
0.39706,3.7297,-8.8494,9.1504,2.8932,0.067853,0.098687,2.9755,0.13001,-0.012373,1,8.7304,13.41,11.25,6.845
0.40214,3.7568,-8.7025,9.1116,2.9127,0.065203,0.085588,3.0032,0.12729,-0.024386,1,8.8308,13.511,11.25,6.845
0.40721,3.7839,-8.5557,9.0727,2.9323,0.062552,0.072488,3.0309,0.12457,-0.036399,1,8.9312,13.611,11.25,6.845
0.41215,3.8094,-8.4136,9.0344,2.9532,0.059837,0.059417,3.0607,0.12163,-0.047891,1,9.0315,13.712,11.25,6.845
0.41694,3.8332,-8.2763,8.9967,2.9755,0.057056,0.046374,3.0926,0.11847,-0.058857,1,9.1318,13.812,11.25,6.845
0.42172,3.857,-8.139,8.9591,2.9978,0.054275,0.033331,3.1244,0.11532,-0.069824,1,9.2322,13.912,11.25,6.845
0.4265,3.8805,-8.0023,8.9214,3.0204,0.051499,0.020283,3.1565,0.11215,-0.080736,1,9.3326,14.013,11.25,6.845
0.43109,3.9018,-7.8707,8.8843,3.0446,0.048778,0.0071949,3.1908,0.10882,-0.091133,1,9.4329,14.113,11.25,6.845
0.43569,3.9232,-7.7392,8.8472,3.0689,0.046057,-0.0058934,3.2251,0.10548,-0.10153,1,9.5333,14.213,11.25,6.845
0.44028,3.9445,-7.6076,8.81,3.0932,0.043338,-0.018981,3.2593,0.10215,-0.11192,1,9.6336,14.314,11.25,6.845
0.44475,3.9639,-7.4801,8.773,3.119,0.0408,-0.032032,3.2964,0.098815,-0.12197,1,9.7339,14.414,11.25,6.845
0.44921,3.9833,-7.3526,8.736,3.1449,0.038262,-0.045082,3.3335,0.095483,-0.13201,1,9.8343,14.514,11.25,6.845
0.45357,4.002,-7.229,8.6996,3.1703,0.03582,-0.057808,3.3698,0.092277,-0.14168,1,9.9347,14.615,11.25,6.845
0.45753,4.018,-7.1208,8.6655,3.1939,0.033762,-0.069248,3.4032,0.089576,-0.14989,1,10.035,14.715,11.25,6.845
