"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.6113,0.10221,0.28202,9.6119,0.10228,0.28101,6.1285,1,0,10.68,12.25,6.845
9.6097,0.1027,0.283,9.6103,0.10277,0.28199,6.1439,1,0.010035,10.69,12.25,6.845
9.6081,0.10319,0.28398,9.6087,0.10327,0.28296,6.1592,1,0.02007,10.7,12.25,6.845
9.6065,0.10368,0.28495,9.6071,0.10376,0.28393,6.1746,1,0.030105,10.71,12.25,6.845
9.6049,0.10418,0.28593,9.6055,0.10425,0.28491,6.1899,1,0.04014,10.72,12.25,6.845
9.6033,0.10467,0.28691,9.6039,0.10475,0.28588,6.2053,1,0.050175,10.73,12.25,6.845
9.6018,0.10516,0.28789,9.6023,0.10524,0.28685,6.2206,1,0.060209,10.74,12.25,6.845
9.6002,0.10565,0.28886,9.6007,0.10574,0.28783,6.236,1,0.070245,10.75,12.25,6.845
9.5986,0.10614,0.28984,9.5991,0.10623,0.2888,6.2513,1,0.080279,10.76,12.25,6.845
9.597,0.10664,0.29082,9.5975,0.10672,0.28977,6.2667,1,0.090315,10.77,12.25,6.845
9.5954,0.10713,0.2918,9.5959,0.10722,0.29075,6.282,1,0.10035,10.78,12.25,6.845
9.5938,0.10762,0.29277,9.5943,0.10771,0.29172,6.2974,1,0.11038,10.79,12.25,6.845
9.5922,0.10811,0.29375,9.5927,0.10821,0.29269,6.3127,1,0.12042,10.8,12.25,6.845
9.5906,0.1086,0.29473,9.5911,0.1087,0.29367,6.3281,1,0.13046,10.81,12.25,6.845
9.589,0.10909,0.29571,9.5895,0.1092,0.29464,6.3434,1,0.14049,10.82,12.25,6.845
9.5874,0.10953,0.2967,9.5879,0.10964,0.29562,6.359,1,0.15053,10.831,12.25,6.845
9.5857,0.11002,0.29773,9.5862,0.11012,0.29665,6.3751,1,0.16056,10.841,12.25,6.845
9.584,0.11055,0.29878,9.5845,0.11066,0.2977,6.3916,1,0.1706,10.851,12.25,6.845
9.5823,0.11109,0.29984,9.5828,0.1112,0.29875,6.408,1,0.18063,10.861,12.25,6.845
9.5806,0.11162,0.3009,9.5811,0.11174,0.29981,6.4245,1,0.19066,10.871,12.25,6.845
9.5788,0.11216,0.30196,9.5794,0.11228,0.30086,6.441,1,0.2007,10.881,12.25,6.845
9.5771,0.11269,0.30301,9.5777,0.11282,0.30191,6.4574,1,0.21073,10.891,12.25,6.845
9.5754,0.11323,0.30407,9.576,0.11335,0.30297,6.4739,1,0.22077,10.901,12.25,6.845
9.5737,0.11377,0.30513,9.5743,0.11389,0.30402,6.4903,1,0.2308,10.911,12.25,6.845
9.572,0.1143,0.30619,9.5726,0.11443,0.30507,6.5068,1,0.24084,10.921,12.25,6.845
9.5703,0.11484,0.30725,9.5708,0.11497,0.30613,6.5232,1,0.25087,10.931,12.25,6.845
9.5686,0.11537,0.3083,9.5691,0.11551,0.30718,6.5397,1,0.26091,10.941,12.25,6.845
9.5669,0.11591,0.30936,9.5674,0.11605,0.30823,6.5561,1,0.27094,10.951,12.25,6.845
9.5652,0.11645,0.31042,9.5657,0.11659,0.30928,6.5726,1,0.28098,10.961,12.25,6.845
9.5635,0.11698,0.31148,9.564,0.11713,0.31034,6.589,1,0.29101,10.971,12.25,6.845
9.5617,0.11744,0.31255,9.5622,0.11759,0.31141,6.6058,1,0.30105,10.981,12.25,6.845
9.5599,0.11801,0.31369,9.5604,0.11816,0.31254,6.6233,1,0.31108,10.991,12.25,6.845
9.558,0.11859,0.31483,9.5586,0.11874,0.31367,6.6409,1,0.32112,11.001,12.25,6.845
