"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.24587,8.9245,0.29615,0.14617,8.9267,0.29717,0.14776,12.361,1,0,12.48,12.25,5
-0.2459,8.9245,0.29613,0.14706,8.9267,0.29716,0.14864,12.361,1,0.0033751,12.48,12.25,5.0034
-0.24594,8.9244,0.29611,0.14795,8.9267,0.29715,0.14952,12.362,1,0.0067501,12.48,12.25,5.0068
-0.24598,8.9244,0.29609,0.14884,8.9266,0.29714,0.1504,12.362,1,0.010125,12.48,12.25,5.0101
-0.24601,8.9243,0.29607,0.14973,8.9266,0.29713,0.15129,12.363,1,0.0135,12.48,12.25,5.0135
-0.24605,8.9243,0.29605,0.15062,8.9266,0.29712,0.15217,12.363,1,0.016875,12.48,12.25,5.0169
-0.24609,8.9243,0.29603,0.15151,8.9266,0.29711,0.15305,12.364,1,0.02025,12.48,12.25,5.0202
-0.24612,8.9242,0.29601,0.15241,8.9266,0.2971,0.15393,12.364,1,0.023625,12.48,12.25,5.0236
-0.24616,8.9242,0.29599,0.1533,8.9265,0.2971,0.15481,12.365,1,0.027,12.48,12.25,5.027
-0.2462,8.9242,0.29597,0.15419,8.9265,0.29709,0.15569,12.365,1,0.030375,12.48,12.25,5.0304
-0.24624,8.9241,0.29595,0.15508,8.9265,0.29708,0.15657,12.366,1,0.03375,12.48,12.25,5.0338
-0.24627,8.9241,0.29593,0.15597,8.9265,0.29707,0.15745,12.366,1,0.037125,12.48,12.25,5.0371
-0.24631,8.924,0.29591,0.15686,8.9265,0.29706,0.15833,12.367,1,0.0405,12.48,12.25,5.0405
-0.24635,8.924,0.29589,0.15775,8.9264,0.29705,0.15921,12.367,1,0.043875,12.48,12.25,5.0439
-0.24638,8.924,0.29587,0.15864,8.9264,0.29704,0.16009,12.368,1,0.04725,12.48,12.25,5.0472
-0.24642,8.9239,0.29585,0.15953,8.9264,0.29703,0.16097,12.368,1,0.050625,12.48,12.25,5.0506
-0.24646,8.9239,0.29583,0.16042,8.9264,0.29702,0.16185,12.369,1,0.054,12.48,12.25,5.054
-0.24649,8.9239,0.29581,0.16131,8.9264,0.29702,0.16274,12.369,1,0.057375,12.48,12.25,5.0574
-0.24653,8.9238,0.29579,0.1622,8.9263,0.29701,0.16362,12.37,1,0.06075,12.48,12.25,5.0608
-0.24657,8.9238,0.29577,0.16309,8.9263,0.297,0.1645,12.37,1,0.064125,12.48,12.25,5.0641
-0.2466,8.9237,0.29575,0.16398,8.9263,0.29699,0.16538,12.371,1,0.0675,12.48,12.25,5.0675
-0.24664,8.9237,0.29574,0.16488,8.9263,0.29698,0.16627,12.371,1,0.070875,12.48,12.25,5.0709
-0.24667,8.9237,0.29572,0.16578,8.9263,0.29698,0.16716,12.372,1,0.07425,12.48,12.25,5.0743
-0.2467,8.9236,0.2957,0.16668,8.9262,0.29697,0.16805,12.372,1,0.077625,12.48,12.25,5.0776
-0.24673,8.9236,0.29568,0.16757,8.9262,0.29696,0.16894,12.372,1,0.081,12.48,12.25,5.081
-0.24677,8.9236,0.29566,0.16847,8.9262,0.29695,0.16982,12.373,1,0.084375,12.48,12.25,5.0844
-0.24679,8.9237,0.29563,0.16937,8.9263,0.29693,0.17071,12.372,1,0.08775,12.48,12.25,5.0877
-0.24681,8.9238,0.2956,0.17027,8.9264,0.29691,0.17159,12.372,1,0.091125,12.48,12.25,5.0911
-0.24683,8.9238,0.29557,0.17117,8.9265,0.29689,0.17248,12.372,1,0.0945,12.48,12.25,5.0945
-0.24685,8.9239,0.29553,0.17207,8.9266,0.29687,0.17336,12.372,1,0.097875,12.48,12.25,5.0979
-0.24687,8.924,0.2955,0.17297,8.9267,0.29684,0.17424,12.372,1,0.10125,12.48,12.25,5.1013
-0.24689,8.9241,0.29547,0.17387,8.9268,0.29682,0.17513,12.371,1,0.10463,12.48,12.25,5.1046
-0.24691,8.9242,0.29544,0.17477,8.9269,0.2968,0.17601,12.371,1,0.108,12.48,12.25,5.108
-0.24693,8.9243,0.29541,0.17567,8.927,0.29678,0.17689,12.371,1,0.11137,12.48,12.25,5.1114
-0.24695,8.9244,0.29538,0.17657,8.9271,0.29675,0.17778,12.371,1,0.11475,12.48,12.25,5.1147
-0.24697,8.9245,0.29534,0.17747,8.9273,0.29673,0.17866,12.37,1,0.11812,12.48,12.25,5.1181
-0.24699,8.9246,0.29531,0.17837,8.9274,0.29671,0.17954,12.37,1,0.1215,12.48,12.25,5.1215
-0.24701,8.9247,0.29528,0.17926,8.9275,0.29669,0.18043,12.37,1,0.12488,12.48,12.25,5.1249
-0.24703,8.9248,0.29525,0.18016,8.9276,0.29666,0.18131,12.37,1,0.12825,12.48,12.25,5.1283
-0.24705,8.9249,0.29522,0.18106,8.9277,0.29664,0.18219,12.37,1,0.13163,12.48,12.25,5.1316
-0.24707,8.925,0.29518,0.18196,8.9278,0.29662,0.18308,12.369,1,0.135,12.48,12.25,5.135
-0.24709,8.9251,0.29515,0.18286,8.9279,0.2966,0.18396,12.369,1,0.13837,12.48,12.25,5.1384
-0.24711,8.9252,0.29512,0.18376,8.928,0.29657,0.18484,12.369,1,0.14175,12.48,12.25,5.1417
-0.24713,8.9253,0.29509,0.18466,8.9281,0.29655,0.18573,12.369,1,0.14512,12.48,12.25,5.1451
-0.24715,8.9254,0.29506,0.18556,8.9282,0.29653,0.18661,12.368,1,0.1485,12.48,12.25,5.1485
-0.24717,8.9255,0.29502,0.18646,8.9283,0.29651,0.1875,12.368,1,0.15188,12.48,12.25,5.1519
-0.24719,8.9256,0.29499,0.18736,8.9284,0.29648,0.18838,12.368,1,0.15525,12.48,12.25,5.1553
-0.24721,8.9257,0.29496,0.18826,8.9286,0.29646,0.18926,12.368,1,0.15863,12.48,12.25,5.1586
-0.24723,8.9258,0.29493,0.18916,8.9287,0.29644,0.19015,12.368,1,0.162,12.48,12.25,5.162
-0.24725,8.9259,0.2949,0.19006,8.9288,0.29642,0.19103,12.367,1,0.16538,12.48,12.25,5.1654
-0.24727,8.926,0.29487,0.19096,8.9289,0.2964,0.19191,12.367,1,0.16875,12.48,12.25,5.1687
-0.2473,8.9261,0.29483,0.19186,8.929,0.29637,0.1928,12.367,1,0.17212,12.48,12.25,5.1721
-0.24732,8.9262,0.2948,0.19276,8.9291,0.29635,0.19368,12.367,1,0.1755,12.48,12.25,5.1755
-0.24734,8.9263,0.29477,0.19365,8.9292,0.29633,0.19456,12.366,1,0.17887,12.48,12.25,5.1789
-0.24736,8.9264,0.29474,0.19455,8.9293,0.29631,0.19545,12.366,1,0.18225,12.48,12.25,5.1823
-0.24738,8.9265,0.29471,0.19545,8.9294,0.29628,0.19633,12.366,1,0.18563,12.48,12.25,5.1856
-0.2474,8.9266,0.29467,0.19635,8.9295,0.29626,0.19721,12.366,1,0.189,12.48,12.25,5.189
-0.24742,8.9267,0.29464,0.19725,8.9296,0.29624,0.1981,12.366,1,0.19238,12.48,12.25,5.1924
-0.24744,8.9268,0.29461,0.19815,8.9297,0.29622,0.19898,12.365,1,0.19575,12.48,12.25,5.1958
-0.24746,8.9269,0.29458,0.19905,8.9298,0.29619,0.19986,12.365,1,0.19912,12.48,12.25,5.1991
-0.24748,8.927,0.29455,0.19995,8.93,0.29617,0.20075,12.365,1,0.2025,12.48,12.25,5.2025
