"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-11.967,4.2064,0.28859,0.57242,4.6197,0.29598,0.47991,1,5.6196,13.3,11.25,6.845
-11.484,4.1689,0.28921,0.53507,4.5892,0.297,0.4358,1,5.72,13.4,11.25,6.845
-11.041,4.1305,0.29033,0.50056,4.5643,0.2979,0.39395,1,5.8203,13.5,11.25,6.845
-10.636,4.0919,0.29183,0.46871,4.5445,0.29869,0.35417,1,5.9207,13.601,11.25,6.845
-10.266,4.0554,0.29378,0.43987,4.5297,0.29936,0.31759,1,6.021,13.701,11.25,6.845
-9.9452,4.0191,0.29561,0.41427,4.5211,0.29981,0.28231,1,6.1213,13.801,11.25,6.845
-9.6496,3.9848,0.29722,0.39072,4.5165,0.30012,0.24867,1,6.2217,13.902,11.25,6.845
-9.3772,3.9526,0.2986,0.36901,4.5156,0.30029,0.21663,1,6.3221,14.002,11.25,6.845
-9.1322,3.9251,0.29971,0.34988,4.5186,0.30027,0.18748,1,6.4224,14.102,11.25,6.845
-8.909,3.8989,0.30034,0.33198,4.526,0.30006,0.15923,1,6.5228,14.203,11.25,6.845
-8.6999,3.8746,0.30082,0.31512,4.5362,0.29973,0.13232,1,6.6231,14.303,11.25,6.845
-8.5065,3.8536,0.30117,0.29968,4.5485,0.29922,0.10763,1,6.7235,14.403,11.25,6.845
-8.3299,3.8333,0.30149,0.28504,4.5653,0.29854,0.084038,1,6.8238,14.504,11.25,6.845
-8.1622,3.8138,0.30192,0.27101,4.5841,0.29775,0.061516,1,6.9241,14.604,11.25,6.845
-8.0046,3.7963,0.30247,0.25789,4.6042,0.29679,0.040755,1,7.0245,14.705,11.25,6.845
-7.8591,3.7787,0.30331,0.2454,4.6284,0.29568,0.020988,1,7.1248,14.805,11.25,6.845
-7.7194,3.7616,0.3043,0.23338,4.6541,0.29449,0.0020398,1,7.2252,14.905,11.25,6.845
-7.5874,3.7459,0.30551,0.22219,4.6806,0.29311,-0.015407,1,7.3256,15.006,11.25,6.845
-7.4636,3.7301,0.30691,0.21154,4.7108,0.29163,-0.032144,1,7.4259,15.106,11.25,6.845
-7.3438,3.7147,0.30839,0.20128,4.7422,0.29009,-0.04827,1,7.5263,15.206,11.25,6.845
-7.231,3.7008,0.31004,0.19197,4.7742,0.28833,-0.063019,1,7.6266,15.307,11.25,6.845
-7.123,3.687,0.3117,0.18297,4.8092,0.28654,-0.07741,1,7.727,15.407,11.25,6.845
-7.0183,3.674,0.31341,0.17445,4.8445,0.28465,-0.091135,1,7.8273,15.507,11.25,6.845
-6.9197,3.6621,0.31515,0.16664,4.882,0.28261,-0.10394,1,7.9276,15.608,11.25,6.845
-6.8235,3.6506,0.31688,0.15901,4.9211,0.28055,-0.11652,1,8.028,15.708,11.25,6.845
-6.7313,3.6401,0.31867,0.15211,4.9599,0.27831,-0.12821,1,8.1283,15.808,11.25,6.845
-6.6427,3.6303,0.32043,0.14544,5.0018,0.27605,-0.13962,1,8.2287,15.909,11.25,6.845
-6.5561,3.6209,0.32223,0.13916,5.0435,0.27369,-0.15058,1,8.3291,16.009,11.25,6.845
-6.4738,3.6125,0.32404,0.13343,5.0871,0.27121,-0.16092,1,8.4294,16.109,11.25,6.845
