"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.029236,9.6066,0.10331,0.28566,9.607,0.10346,0.28465,6.213,1,0,10.68,12.25,6.845
-0.029541,9.6049,0.1038,0.28665,9.6054,0.10395,0.28564,6.2285,1,0.010035,10.69,12.25,6.845
-0.029845,9.6033,0.1043,0.28764,9.6038,0.10445,0.28662,6.244,1,0.02007,10.7,12.25,6.845
-0.030149,9.6017,0.1048,0.28863,9.6022,0.10495,0.2876,6.2595,1,0.030105,10.71,12.25,6.845
-0.030454,9.6001,0.10529,0.28961,9.6006,0.10545,0.28859,6.275,1,0.04014,10.72,12.25,6.845
-0.030758,9.5985,0.10579,0.2906,9.599,0.10595,0.28957,6.2905,1,0.050175,10.73,12.25,6.845
-0.031062,9.5969,0.10629,0.29159,9.5974,0.10645,0.29055,6.306,1,0.060209,10.74,12.25,6.845
-0.031367,9.5953,0.10678,0.29258,9.5957,0.10695,0.29154,6.3215,1,0.070245,10.75,12.25,6.845
-0.031671,9.5937,0.10728,0.29356,9.5941,0.10745,0.29252,6.3371,1,0.080279,10.76,12.25,6.845
-0.031976,9.592,0.10778,0.29455,9.5925,0.10795,0.2935,6.3526,1,0.090315,10.77,12.25,6.845
-0.03228,9.5904,0.10827,0.29554,9.5909,0.10845,0.29449,6.3681,1,0.10035,10.78,12.25,6.845
-0.032584,9.5888,0.10877,0.29653,9.5893,0.10894,0.29547,6.3836,1,0.11038,10.79,12.25,6.845
-0.032889,9.5872,0.10926,0.29751,9.5877,0.10944,0.29645,6.3991,1,0.12042,10.8,12.25,6.845
-0.033193,9.5856,0.10976,0.2985,9.5861,0.10994,0.29744,6.4146,1,0.13046,10.81,12.25,6.845
-0.033497,9.584,0.11026,0.29949,9.5844,0.11044,0.29842,6.4301,1,0.14049,10.82,12.25,6.845
-0.033807,9.5823,0.1107,0.30049,9.5828,0.11089,0.29942,6.4459,1,0.15053,10.831,12.25,6.845
