p,U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,,Points:2
2.3288,9.8616,1.004543139,0.22683,-0.051203,1,14.175,12.48,14.175,0.65,3.155
2.1791,9.8824,1.006661913,0.22512,-0.042476,1,14.4,12.48,14.4,0.7,3.155
2.0374,9.9019,1.008648263,0.22176,-0.034197,1,14.625,12.48,14.625,0.75,3.155
1.9043,9.9201,1.01050219,0.2167,-0.026641,1,14.85,12.48,14.85,0.8,3.155
1.7816,9.9365,1.012172762,0.21075,-0.019637,1,15.075,12.48,15.075,0.85,3.155
1.6674,9.9515,1.013700723,0.20406,-0.013267,1,15.3,12.48,15.3,0.9,3.155
1.5618,9.965,1.015075889,0.19665,-0.0077087,1,15.525,12.48,15.525,0.95,3.155
1.4654,9.9771,1.016308445,0.18904,-0.0027054,1,15.75,12.48,15.75,1,3.155
1.3764,9.988,1.017418763,0.18127,0.0017213,1,15.975,12.48,15.975,1.05,3.155
1.295,9.9976,1.018396659,0.17336,0.0054672,1,16.2,12.48,16.2,1.1,3.155
1.2208,10.006,1.019252317,0.16559,0.0087744,1,16.425,12.48,16.425,1.15,3.155
1.1526,10.014,1.02006723,0.15793,0.011642,1,16.65,12.48,16.65,1.2,3.155
1.0905,10.021,1.020780279,0.15039,0.014007,1,16.875,12.48,16.875,1.25,3.155
1.0338,10.027,1.021391464,0.14311,0.016063,1,17.1,12.48,17.1,1.3,3.155
0.98174,10.032,1.021900784,0.13604,0.017812,1,17.325,12.48,17.325,1.35,3.155
0.93433,10.037,1.022410105,0.12919,0.019216,1,17.55,12.48,17.55,1.4,3.155
0.89097,10.041,1.022817561,0.1226,0.020416,1,17.775,12.48,17.775,1.45,3.155
0.84554,10.046,1.023326882,0.11536,0.021541,1,18,12.48,18,1.5,3.155
0.81301,10.049,1.023632474,0.10975,0.02216,1,18.225,12.48,18.225,1.55,3.155
0.7809,10.052,1.023938067,0.10421,0.022825,1,18.45,12.48,18.45,1.6,3.155
0.75156,10.054,1.024141795,0.098645,0.023239,1,18.675,12.48,18.675,1.65,3.155
0.72253,10.057,1.024447387,0.093134,0.023695,1,18.9,12.48,18.9,1.7,3.155
0.69723,10.059,1.024651115,0.08787,0.023921,1,19.125,12.48,19.125,1.75,3.155
0.67215,10.061,1.024854844,0.082641,0.024182,1,19.35,12.48,19.35,1.8,3.155
0.65106,10.063,1.025058572,0.077883,0.024279,1,19.575,12.48,19.575,1.85,3.155
0.63013,10.064,1.025160436,0.07315,0.024405,1,19.8,12.48,19.8,1.9,3.155
