"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00076445,0.008279,7.4329,11.489,9.5426,0.031547,0.39564,9.5879,0.029887,0.35572,1,0,4.68,11.445,6.845
0.00076522,0.0081997,7.6624,11.391,9.5232,0.033354,0.41691,9.5714,0.031718,0.37578,1,0.10035,4.7804,11.445,6.845
0.000766,0.0081203,7.8919,11.294,9.5038,0.03516,0.43819,9.5549,0.033548,0.39584,1,0.2007,4.8807,11.445,6.845
0.00076677,0.008041,8.1214,11.196,9.4844,0.036966,0.45946,9.5384,0.035378,0.4159,1,0.30105,4.9811,11.445,6.845
0.00076754,0.0079616,8.3509,11.098,9.465,0.038773,0.48074,9.5218,0.037208,0.43596,1,0.4014,5.0814,11.445,6.845
0.00076831,0.0078823,8.5804,11.001,9.4456,0.040579,0.50201,9.5053,0.039039,0.45602,1,0.50175,5.1817,11.445,6.845
0.00076908,0.0078029,8.8099,10.903,9.4262,0.042385,0.52329,9.4888,0.040869,0.47608,1,0.6021,5.2821,11.445,6.845
0.00076986,0.0077236,9.0394,10.805,9.4068,0.044192,0.54456,9.4723,0.042699,0.49614,1,0.70245,5.3825,11.445,6.845
0.00077063,0.0076442,9.2689,10.707,9.3874,0.045998,0.56584,9.4558,0.044529,0.5162,1,0.8028,5.4828,11.445,6.845
0.00076963,0.0075507,9.4663,10.61,9.3542,0.048014,0.58816,9.4262,0.046452,0.5372,1,0.90315,5.5831,11.445,6.845
0.00076222,0.0074054,9.5467,10.517,9.2711,0.05079,0.61428,9.3493,0.04871,0.5616,1,1.0035,5.6835,11.445,6.845
0.00075482,0.0072601,9.6271,10.423,9.1879,0.053566,0.6404,9.2724,0.050967,0.58601,1,1.1039,5.7839,11.445,6.845
0.00074741,0.0071148,9.7075,10.329,9.1047,0.056342,0.66652,9.1955,0.053225,0.61041,1,1.2042,5.8842,11.445,6.845
0.00074,0.0069696,9.7879,10.235,9.0216,0.059118,0.69264,9.1186,0.055482,0.63482,1,1.3046,5.9845,11.445,6.845
0.00073259,0.0068243,9.8683,10.141,8.9384,0.061894,0.71876,9.0416,0.05774,0.65922,1,1.4049,6.0849,11.445,6.845
0.00072518,0.006679,9.9488,10.047,8.8553,0.06467,0.74488,8.9647,0.059998,0.68363,1,1.5052,6.1852,11.445,6.845
0.00071777,0.0065337,10.029,9.9527,8.7721,0.067446,0.771,8.8878,0.062255,0.70803,1,1.6056,6.2856,11.445,6.845
0.00071036,0.0063885,10.11,9.8587,8.6889,0.070222,0.79712,8.8109,0.064513,0.73243,1,1.706,6.386,11.445,6.845
0.00070295,0.0062432,10.19,9.7648,8.6058,0.072998,0.82324,8.734,0.066771,0.75684,1,1.8063,6.4863,11.445,6.845
0.00069554,0.0060979,10.27,9.6708,8.5226,0.075774,0.84936,8.657,0.069028,0.78124,1,1.9067,6.5866,11.445,6.845
0.0013292,0.012997,10.803,9.5906,8.4611,0.079896,0.90278,8.6021,0.072856,0.83293,1,2.007,6.687,11.445,6.845
0.0029553,0.030802,12.037,9.5317,8.4331,0.086104,0.99844,8.581,0.079115,0.92687,1,2.1074,6.7874,11.445,6.845
0.0045814,0.048607,13.27,9.4728,8.4051,0.092311,1.0941,8.5599,0.085374,1.0208,1,2.2077,6.8877,11.445,6.845
0.0062075,0.066412,14.503,9.4139,8.3771,0.098519,1.1898,8.5389,0.091632,1.1147,1,2.3081,6.988,11.445,6.845
0.0078336,0.084217,15.737,9.355,8.349,0.10473,1.2854,8.5178,0.097891,1.2087,1,2.4084,7.0884,11.445,6.845
0.0094597,0.10202,16.97,9.2961,8.321,0.11093,1.3811,8.4968,0.10415,1.3026,1,2.5087,7.1887,11.445,6.845
0.011086,0.11983,18.204,9.2372,8.293,0.11714,1.4767,8.4757,0.11041,1.3965,1,2.6091,7.2891,11.445,6.845
0.012712,0.13763,19.437,9.1783,8.265,0.12335,1.5724,8.4547,0.11667,1.4905,1,2.7095,7.3895,11.445,6.845
0.014338,0.15544,20.67,9.1194,8.237,0.12956,1.6681,8.4336,0.12293,1.5844,1,2.8098,7.4898,11.445,6.845
0.015964,0.17324,21.904,9.0605,8.209,0.13576,1.7637,8.4125,0.12918,1.6783,1,2.9102,7.5901,11.445,6.845
0.017335,0.19046,22.009,9.1949,7.9799,0.13246,1.8463,8.2157,0.12907,1.7606,1,3.0105,7.6905,11.445,6.845
0.01851,0.20722,21.244,9.4786,7.5953,0.12182,1.9189,7.8829,0.12402,1.8339,1,3.1109,7.7909,11.445,6.845
0.019685,0.22399,20.478,9.7622,7.2108,0.11117,1.9915,7.5502,0.11898,1.9071,1,3.2112,7.8912,11.445,6.845
0.020859,0.24075,19.712,10.046,6.8263,0.10052,2.064,7.2174,0.11393,1.9804,1,3.3116,7.9915,11.445,6.845
0.022034,0.25752,18.946,10.33,6.4418,0.089873,2.1366,6.8847,0.10889,2.0536,1,3.4119,8.0919,11.445,6.845
0.023208,0.27428,18.181,10.613,6.0573,0.079225,2.2091,6.5519,0.10385,2.1269,1,3.5123,8.1923,11.445,6.845
0.024383,0.29104,17.415,10.897,5.6728,0.068577,2.2817,6.2192,0.098801,2.2002,1,3.6126,8.2926,11.445,6.845
0.025557,0.30781,16.649,11.181,5.2882,0.057929,2.3542,5.8864,0.093757,2.2734,1,3.713,8.393,11.445,6.845
0.026732,0.32457,15.883,11.464,4.9037,0.047282,2.4268,5.5537,0.088712,2.3467,1,3.8133,8.4933,11.445,6.845
0.026342,0.32165,13.089,11.571,4.6082,0.034895,2.3732,5.2823,0.081162,2.2944,1,3.9137,8.5936,11.445,6.845
0.02507,0.30763,9.1512,11.577,4.363,0.021527,2.2484,5.0455,0.072198,2.1714,1,4.014,8.694,11.445,6.845
0.023798,0.29362,5.2132,11.583,4.1177,0.0081587,2.1237,4.8087,0.063235,2.0483,1,4.1143,8.7943,11.445,6.845
0.022526,0.2796,1.2752,11.59,3.8724,-0.0052093,1.999,4.5719,0.054272,1.9252,1,4.2147,8.8947,11.445,6.845
0.021254,0.26558,-2.6627,11.596,3.6271,-0.018577,1.8742,4.3351,0.045308,1.8022,1,4.3151,8.9951,11.445,6.845
0.019982,0.25156,-6.6007,11.603,3.3819,-0.031945,1.7495,4.0983,0.036345,1.6791,1,4.4154,9.0954,11.445,6.845
0.01871,0.23754,-10.539,11.609,3.1366,-0.045313,1.6247,3.8615,0.027381,1.5561,1,4.5158,9.1958,11.445,6.845
0.017437,0.22353,-14.477,11.615,2.8913,-0.058681,1.5,3.6248,0.018418,1.433,1,4.6161,9.2961,11.445,6.845
