"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.7252,1.58,0.48272,-0.054114,1,8.0716,15.752,12.39,6.845
-8.6273,1.5612,0.48391,-0.061886,1,8.1713,15.851,12.39,6.845
-8.5361,1.5474,0.48458,-0.067762,1,8.271,15.951,12.39,6.845
-8.4451,1.5346,0.48557,-0.075093,1,8.3706,16.051,12.39,6.845
-8.3565,1.5271,0.48535,-0.081632,1,8.4702,16.15,12.39,6.845
-8.2669,1.5209,0.48569,-0.089142,1,8.5699,16.25,12.39,6.845
-8.1775,1.5176,0.48538,-0.09641,1,8.6695,16.35,12.39,6.845
-8.0873,1.518,0.48487,-0.10371,1,8.7692,16.449,12.39,6.845
-7.9972,1.5178,0.48448,-0.11078,1,8.8688,16.549,12.39,6.845
-7.9078,1.5234,0.4834,-0.11735,1,8.9685,16.649,12.39,6.845
-7.8189,1.527,0.48266,-0.12336,1,9.0681,16.748,12.39,6.845
-7.7312,1.5356,0.48119,-0.12883,1,9.1678,16.848,12.39,6.845
-7.6445,1.5423,0.48004,-0.13358,1,9.2675,16.947,12.39,6.845
-7.5586,1.5535,0.4781,-0.1382,1,9.3671,17.047,12.39,6.845
-7.4737,1.563,0.47655,-0.1422,1,9.4667,17.147,12.39,6.845
-7.3893,1.5763,0.47426,-0.14634,1,9.5664,17.246,12.39,6.845
-7.306,1.5886,0.47224,-0.15012,1,9.666,17.346,12.39,6.845
-7.223,1.6036,0.46971,-0.15409,1,9.7657,17.446,12.39,6.845
-7.1411,1.6186,0.46723,-0.15792,1,9.8653,17.545,12.39,6.845
-7.0595,1.6352,0.46446,-0.16189,1,9.965,17.645,12.39,6.845
