"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.7937,8.8989,0.17288,0.22164,8.9889,0.16074,0.18534,1,5.5193,13.199,11.25,6.845
-3.6266,8.8733,0.17363,0.20363,8.9679,0.16063,0.1611,1,5.6196,13.3,11.25,6.845
-3.2045,8.8506,0.17131,0.19405,8.945,0.15992,0.15011,1,5.72,13.4,11.25,6.845
-2.8746,8.8305,0.16972,0.18347,8.9254,0.15944,0.13703,1,5.8203,13.5,11.25,6.845
-2.6468,8.8136,0.16896,0.17178,8.9092,0.15921,0.12164,1,5.9207,13.601,11.25,6.845
-2.4327,8.7989,0.16811,0.16193,8.8963,0.15877,0.109,1,6.021,13.701,11.25,6.845
-2.2394,8.7876,0.16714,0.15493,8.8884,0.15801,0.1006,1,6.1213,13.801,11.25,6.845
-2.1119,8.7776,0.16674,0.14629,8.8811,0.15763,0.089499,1,6.2217,13.902,11.25,6.845
-1.9934,8.7677,0.16641,0.13744,8.8738,0.1573,0.078029,1,6.3221,14.002,11.25,6.845
-1.8874,8.76,0.1659,0.13164,8.8717,0.15646,0.070801,1,6.4224,14.102,11.25,6.845
-1.8039,8.7526,0.16561,0.12483,8.8689,0.15588,0.062001,1,6.5228,14.203,11.25,6.845
-1.7343,8.7454,0.16545,0.11739,8.8656,0.15548,0.052209,1,6.6231,14.303,11.25,6.845
-1.6506,8.7379,0.16515,0.1123,8.8647,0.1546,0.045644,1,6.7235,14.403,11.25,6.845
-1.5831,8.7308,0.16498,0.10653,8.863,0.15397,0.038017,1,6.8238,14.504,11.25,6.845
-1.5232,8.7239,0.16487,0.10055,8.861,0.15346,0.030029,1,6.9241,14.604,11.25,6.845
-1.4485,8.7175,0.1647,0.097203,8.8611,0.15268,0.025599,1,7.0245,14.705,11.25,6.845
-1.3935,8.7116,0.16465,0.092909,8.8597,0.15225,0.019715,1,7.1248,14.805,11.25,6.845
-1.3163,8.7047,0.16454,0.088896,8.8596,0.15147,0.014225,1,7.2252,14.905,11.25,6.845
-1.243,8.6975,0.16449,0.08441,8.8592,0.15076,0.0078134,1,7.3256,15.006,11.25,6.845
-1.1845,8.691,0.16445,0.080384,8.8597,0.14994,0.0019951,1,7.4259,15.106,11.25,6.845
-1.1332,8.6853,0.1644,0.076851,8.8614,0.14899,-0.0030801,1,7.5263,15.206,11.25,6.845
-1.089,8.68,0.1644,0.073332,8.863,0.14813,-0.0081962,1,7.6266,15.307,11.25,6.845
-1.0502,8.6749,0.16442,0.069835,8.8643,0.14738,-0.013304,1,7.727,15.407,11.25,6.845
-1.0096,8.6701,0.16441,0.066958,8.8675,0.14636,-0.01742,1,7.8273,15.507,11.25,6.845
-0.97188,8.6655,0.16442,0.064109,8.8705,0.1454,-0.021514,1,7.9276,15.608,11.25,6.845
-0.93806,8.661,0.16446,0.061163,8.8727,0.14463,-0.025765,1,8.028,15.708,11.25,6.845
-0.90329,8.6569,0.16447,0.058752,8.8769,0.14358,-0.029176,1,8.1283,15.808,11.25,6.845
-0.87129,8.6529,0.1645,0.056327,8.8808,0.14261,-0.032613,1,8.2287,15.909,11.25,6.845
-0.84212,8.6491,0.16453,0.053868,8.884,0.14179,-0.036085,1,8.3291,16.009,11.25,6.845
-0.81252,8.6455,0.16455,0.05184,8.8893,0.14068,-0.0389,1,8.4294,16.109,11.25,6.845
-0.78598,8.6421,0.16459,0.049669,8.8933,0.13979,-0.041913,1,8.5297,16.21,11.25,6.845
-0.76027,8.6389,0.16461,0.04768,8.898,0.13882,-0.04464,1,8.6301,16.31,11.25,6.845
-0.73509,8.6358,0.16463,0.045885,8.9038,0.13772,-0.047076,1,8.7304,16.41,11.25,6.845
-0.71272,8.6328,0.16467,0.043905,8.9076,0.13694,-0.049753,1,8.8308,16.511,11.25,6.845
-0.68977,8.6301,0.16468,0.042331,8.9143,0.13577,-0.051841,1,8.9312,16.611,11.25,6.845
-0.66906,8.6274,0.16471,0.040591,8.9191,0.13488,-0.054143,1,9.0315,16.712,11.25,6.845
-0.64872,8.625,0.16472,0.039048,8.9252,0.13384,-0.056155,1,9.1318,16.812,11.25,6.845
-0.62938,8.6226,0.16474,0.037541,8.9313,0.13281,-0.058105,1,9.2322,16.912,11.25,6.845
-0.61126,8.6203,0.16476,0.036033,8.9368,0.13188,-0.060033,1,9.3326,17.013,11.25,6.845
-0.59331,8.6182,0.16478,0.034712,8.9441,0.13074,-0.061702,1,9.4329,17.113,11.25,6.845
-0.57704,8.6161,0.1648,0.033253,8.9491,0.1299,-0.063529,1,9.5332,17.213,11.25,6.845
-0.56049,8.6143,0.16482,0.032075,8.9572,0.12868,-0.064981,1,9.6336,17.314,11.25,6.845
-0.54575,8.6124,0.16484,0.030676,8.962,0.12791,-0.06669,1,9.7339,17.414,11.25,6.845
-0.53068,8.6108,0.16486,0.029587,8.9704,0.12667,-0.067996,1,9.8343,17.514,11.25,6.845
-0.5171,8.6091,0.16489,0.028288,8.9756,0.12587,-0.06954,1,9.9347,17.615,11.25,6.845
-0.50337,8.6077,0.16491,0.027261,8.9842,0.12464,-0.070737,1,10.035,17.715,11.25,6.845
