"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.0183,3.674,0.31341,0.17445,1,7.8273,15.507,11.25,6.845
-6.9197,3.6621,0.31515,0.16664,1,7.9276,15.608,11.25,6.845
-6.8235,3.6506,0.31688,0.15901,1,8.028,15.708,11.25,6.845
-6.7313,3.6401,0.31867,0.15211,1,8.1283,15.808,11.25,6.845
-6.6427,3.6303,0.32043,0.14544,1,8.2287,15.909,11.25,6.845
-6.5561,3.6209,0.32223,0.13916,1,8.3291,16.009,11.25,6.845
-6.4738,3.6125,0.32404,0.13343,1,8.4294,16.109,11.25,6.845
-6.393,3.6046,0.32584,0.1278,1,8.5297,16.21,11.25,6.845
-6.3156,3.5971,0.32773,0.12288,1,8.6301,16.31,11.25,6.845
-6.2402,3.5904,0.32955,0.118,1,8.7304,16.41,11.25,6.845
-6.1668,3.5837,0.33147,0.11367,1,8.8308,16.511,11.25,6.845
-6.096,3.5781,0.3333,0.10951,1,8.9312,16.611,11.25,6.845
-6.0264,3.5722,0.3352,0.10573,1,9.0315,16.712,11.25,6.845
-5.9597,3.5674,0.33707,0.10239,1,9.1318,16.812,11.25,6.845
-5.8936,3.563,0.33894,0.099142,1,9.2322,16.912,11.25,6.845
-5.8301,3.5581,0.34087,0.096831,1,9.3326,17.013,11.25,6.845
-5.7674,3.5545,0.34278,0.094546,1,9.4329,17.113,11.25,6.845
-5.7064,3.5499,0.34465,0.093127,1,9.5332,17.213,11.25,6.845
-5.6462,3.5467,0.34655,0.091964,1,9.6336,17.314,11.25,6.845
-5.5871,3.5422,0.34828,0.091582,1,9.7339,17.414,11.25,6.845
-5.5287,3.5393,0.35005,0.091621,1,9.8343,17.514,11.25,6.845
-5.4708,3.5346,0.35155,0.092373,1,9.9347,17.615,11.25,6.845
-5.4136,3.5321,0.35306,0.093565,1,10.035,17.715,11.25,6.845
