U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
23.393,23.395,23.396,23.39466667,0.982102627,,,,9.48,11.25,5
23.393,23.395,23.396,23.39466667,0.982102627,,,,9.48,11.25,5.0338
23.393,23.395,23.395,23.39433333,0.982088633,,,,9.48,11.25,5.0675
23.393,23.395,23.395,23.39433333,0.982088633,,,,9.48,11.25,5.1013
23.394,23.396,23.396,23.39533333,0.982130613,,,,9.48,11.25,5.135
23.394,23.396,23.397,23.39566667,0.982144606,,,,9.48,11.25,5.1687
23.395,23.397,23.397,23.39633333,0.982172593,,,,9.48,11.25,5.2025
23.395,23.398,23.398,23.397,0.982200579,,,,9.48,11.25,5.2362
23.396,23.398,23.398,23.39733333,0.982214573,,,,9.48,11.25,5.27
23.397,23.399,23.399,23.39833333,0.982256552,,,,9.48,11.25,5.3038
23.397,23.4,23.4,23.399,0.982284539,,,,9.48,11.25,5.3375
23.399,23.401,23.401,23.40033333,0.982340512,,,,9.48,11.25,5.3713
23.4,23.403,23.403,23.402,0.982410478,,,,9.48,11.25,5.405
23.402,23.404,23.404,23.40333333,0.982466451,,,,9.48,11.25,5.4387
23.403,23.406,23.405,23.40466667,0.982522424,,,,9.48,11.25,5.4725
23.404,23.407,23.407,23.406,0.982578397,,,,9.48,11.25,5.5062
23.406,23.409,23.408,23.40766667,0.982648363,,,,9.48,11.25,5.54
23.407,23.41,23.41,23.409,0.982704337,,,,9.48,11.25,5.5738
23.409,23.412,23.412,23.411,0.982788296,,,,9.48,11.25,5.6075
23.412,23.415,23.414,23.41366667,0.982900242,,,,9.48,11.25,5.6413
23.414,23.417,23.416,23.41566667,0.982984202,,,,9.48,11.25,5.675
23.416,23.419,23.419,23.418,0.983082154,,,,9.48,11.25,5.7087
23.419,23.422,23.421,23.42066667,0.9831941,,,,9.48,11.25,5.7425
23.421,23.424,23.423,23.42266667,0.98327806,,,,9.48,11.25,5.7762
23.423,23.426,23.425,23.42466667,0.98336202,,,,9.48,11.25,5.81
23.426,23.429,23.428,23.42766667,0.983487959,,,,9.48,11.25,5.8438
23.429,23.432,23.431,23.43066667,0.983613898,,,,9.48,11.25,5.8775
23.432,23.435,23.434,23.43366667,0.983739837,,,,9.48,11.25,5.9113
23.435,23.438,23.437,23.43666667,0.983865777,,,,9.48,11.25,5.945
23.438,23.442,23.44,23.44,0.984005709,,,,9.48,11.25,5.9788
23.441,23.445,23.443,23.443,0.984131649,,,,9.48,11.25,6.0125
23.445,23.448,23.446,23.44633333,0.984271581,,,,9.48,11.25,6.0462
23.448,23.451,23.45,23.44966667,0.984411514,,,,9.48,11.25,6.08
23.452,23.455,23.454,23.45366667,0.984579433,,,,9.48,11.25,6.1137
23.456,23.459,23.458,23.45766667,0.984747352,,,,9.48,11.25,6.1475
23.46,23.463,23.461,23.46133333,0.984901278,,,,9.48,11.25,6.1813
23.464,23.467,23.465,23.46533333,0.985069197,,,,9.48,11.25,6.215
23.468,23.471,23.469,23.46933333,0.985237116,,,,9.48,11.25,6.2488
23.472,23.475,23.473,23.47333333,0.985405035,,,,9.48,11.25,6.2825
23.475,23.479,23.477,23.477,0.985558961,,,,9.48,11.25,6.3162
23.48,23.484,23.482,23.482,0.985768859,,,,9.48,11.25,6.35
23.485,23.489,23.487,23.487,0.985978758,,,,9.48,11.25,6.3837
23.49,23.493,23.491,23.49133333,0.986160671,,,,9.48,11.25,6.4175
23.494,23.498,23.496,23.496,0.986356576,,,,9.48,11.25,6.4513
23.499,23.503,23.501,23.501,0.986566475,,,,9.48,11.25,6.485
