"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.126,3.1231,0.30022,0.062097,1,8.028,15.708,12.25,6.845
-6.0277,3.0935,0.29596,0.055612,1,8.1283,15.808,12.25,6.845
-5.9327,3.0642,0.29166,0.049302,1,8.2287,15.909,12.25,6.845
-5.84,3.0352,0.28745,0.043201,1,8.3291,16.009,12.25,6.845
-5.7518,3.0077,0.28335,0.037099,1,8.4294,16.109,12.25,6.845
-5.6651,2.9808,0.27961,0.031059,1,8.5297,16.21,12.25,6.845
-5.5825,2.9562,0.27661,0.025042,1,8.6301,16.31,12.25,6.845
-5.503,2.9328,0.27482,0.019111,1,8.7304,16.41,12.25,6.845
-5.4271,2.9119,0.27401,0.013346,1,8.8308,16.511,12.25,6.845
-5.3556,2.8934,0.27477,0.0073214,1,8.9312,16.611,12.25,6.845
-5.2862,2.877,0.27591,0.0013962,1,9.0315,16.712,12.25,6.845
-5.2198,2.8642,0.278,-0.0057838,1,9.1318,16.812,12.25,6.845
-5.1539,2.852,0.28027,-0.013157,1,9.2322,16.912,12.25,6.845
-5.0893,2.8459,0.28195,-0.021865,1,9.3326,17.013,12.25,6.845
-5.0245,2.8397,0.28401,-0.030887,1,9.4329,17.113,12.25,6.845
-4.9596,2.839,0.28516,-0.040566,1,9.5332,17.213,12.25,6.845
-4.8941,2.8387,0.28665,-0.050246,1,9.6336,17.314,12.25,6.845
-4.8274,2.8425,0.28737,-0.05976,1,9.7339,17.414,12.25,6.845
-4.76,2.8466,0.28839,-0.06881,1,9.8343,17.514,12.25,6.845
-4.6913,2.8534,0.28888,-0.077157,1,9.9347,17.615,12.25,6.845
-4.6224,2.8604,0.28957,-0.08466,1,10.035,17.715,12.25,6.845
