"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1925,3.4826,0.24123,0.1923,1,7.9276,15.608,11.25,6.845
-6.096,3.4681,0.23412,0.18455,1,8.028,15.708,11.25,6.845
-6.0017,3.4556,0.22669,0.17715,1,8.1283,15.808,11.25,6.845
-5.9113,3.4426,0.21982,0.17019,1,8.2287,15.909,11.25,6.845
-5.8225,3.4309,0.21315,0.16357,1,8.3291,16.009,11.25,6.845
-5.7387,3.4206,0.20823,0.15805,1,8.4294,16.109,11.25,6.845
-5.6567,3.4101,0.20431,0.15269,1,8.5297,16.21,11.25,6.845
-5.5781,3.4027,0.20267,0.14881,1,8.6301,16.31,11.25,6.845
-5.502,3.395,0.20344,0.14503,1,8.7304,16.41,11.25,6.845
-5.4277,3.3898,0.20616,0.1425,1,8.8308,16.511,11.25,6.845
-5.3563,3.385,0.21266,0.14,1,8.9312,16.611,11.25,6.845
-5.2855,3.382,0.22031,0.13833,1,9.0315,16.712,11.25,6.845
-5.2167,3.3802,0.2321,0.13662,1,9.1318,16.812,11.25,6.845
-5.148,3.3789,0.24467,0.13477,1,9.2322,16.912,11.25,6.845
-5.0794,3.3797,0.25982,0.13378,1,9.3326,17.013,11.25,6.845
-5.0106,3.3803,0.27557,0.13204,1,9.4329,17.113,11.25,6.845
-4.9417,3.3817,0.29234,0.13102,1,9.5332,17.213,11.25,6.845
-4.8725,3.3831,0.30897,0.12944,1,9.6336,17.314,11.25,6.845
-4.8029,3.384,0.32544,0.12824,1,9.7339,17.414,11.25,6.845
-4.733,3.385,0.34063,0.12665,1,9.8343,17.514,11.25,6.845
-4.6625,3.3846,0.35504,0.12491,1,9.9347,17.615,11.25,6.845
-4.5921,3.3843,0.36707,0.12297,1,10.035,17.715,11.25,6.845
