"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.46578e-01,2.69853e+00,-1.35293e+01,1.02982e+01,2.69629e+00,5.86372e-02,5.10936e-01,1,3.41190e+00,1.10919e+01,1.12500e+01,6.84500e+00
2.53266e-01,2.75040e+00,-1.36178e+01,1.02238e+01,2.72692e+00,6.60267e-02,4.76290e-01,1,3.51225e+00,1.11923e+01,1.12500e+01,6.84500e+00
2.59953e-01,2.80227e+00,-1.37064e+01,1.01493e+01,2.75755e+00,7.34160e-02,4.41644e-01,1,3.61260e+00,1.12926e+01,1.12500e+01,6.84500e+00
2.66940e-01,2.85653e+00,-1.36379e+01,1.00827e+01,2.77320e+00,7.89219e-02,4.12626e-01,1,3.71295e+00,1.13930e+01,1.12500e+01,6.84500e+00
2.74557e-01,2.91586e+00,-1.32379e+01,1.00326e+01,2.75723e+00,8.04522e-02,3.95488e-01,1,3.81330e+00,1.14933e+01,1.12500e+01,6.84500e+00
2.82174e-01,2.97519e+00,-1.28379e+01,9.98256e+00,2.74126e+00,8.19825e-02,3.78350e-01,1,3.91365e+00,1.15936e+01,1.12500e+01,6.84500e+00
2.89791e-01,3.03451e+00,-1.24378e+01,9.93250e+00,2.72530e+00,8.35128e-02,3.61212e-01,1,4.01400e+00,1.16940e+01,1.12500e+01,6.84500e+00
2.97408e-01,3.09384e+00,-1.20378e+01,9.88245e+00,2.70933e+00,8.50431e-02,3.44074e-01,1,4.11435e+00,1.17943e+01,1.12500e+01,6.84500e+00
3.05025e-01,3.15317e+00,-1.16378e+01,9.83239e+00,2.69336e+00,8.65735e-02,3.26935e-01,1,4.21470e+00,1.18947e+01,1.12500e+01,6.84500e+00
3.11982e-01,3.20169e+00,-1.13957e+01,9.78213e+00,2.69972e+00,8.69553e-02,3.09793e-01,1,4.31505e+00,1.19951e+01,1.12500e+01,6.84500e+00
3.18785e-01,3.24770e+00,-1.11902e+01,9.73181e+00,2.71126e+00,8.70705e-02,2.92649e-01,1,4.41540e+00,1.20954e+01,1.12500e+01,6.84500e+00
3.25589e-01,3.29371e+00,-1.09847e+01,9.68150e+00,2.72280e+00,8.71856e-02,2.75505e-01,1,4.51575e+00,1.21958e+01,1.12500e+01,6.84500e+00
3.32392e-01,3.33972e+00,-1.07792e+01,9.63118e+00,2.73435e+00,8.73007e-02,2.58362e-01,1,4.61610e+00,1.22961e+01,1.12500e+01,6.84500e+00
3.39195e-01,3.38573e+00,-1.05737e+01,9.58087e+00,2.74589e+00,8.74158e-02,2.41218e-01,1,4.71645e+00,1.23965e+01,1.12500e+01,6.84500e+00
3.45407e-01,3.42501e+00,-1.03866e+01,9.53508e+00,2.75798e+00,8.62102e-02,2.25980e-01,1,4.81680e+00,1.24968e+01,1.12500e+01,6.84500e+00
3.51478e-01,3.46269e+00,-1.02039e+01,9.49037e+00,2.77020e+00,8.46910e-02,2.11196e-01,1,4.91715e+00,1.25971e+01,1.12500e+01,6.84500e+00
3.57549e-01,3.50037e+00,-1.00212e+01,9.44566e+00,2.78242e+00,8.31719e-02,1.96411e-01,1,5.01750e+00,1.26975e+01,1.12500e+01,6.84500e+00
3.63620e-01,3.53806e+00,-9.83843e+00,9.40095e+00,2.79463e+00,8.16527e-02,1.81626e-01,1,5.11785e+00,1.27978e+01,1.12500e+01,6.84500e+00
3.69538e-01,3.57412e+00,-9.66095e+00,9.35721e+00,2.80781e+00,7.99334e-02,1.67176e-01,1,5.21820e+00,1.28982e+01,1.12500e+01,6.84500e+00
3.75030e-01,3.60569e+00,-9.49805e+00,9.31616e+00,2.82365e+00,7.76582e-02,1.53657e-01,1,5.31855e+00,1.29986e+01,1.12500e+01,6.84500e+00
