U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0,0,0,0,1,0,12.48,11.25,0
13.434,0.894467008,-0.0077948,0.0043433,1,0.1175,12.48,11.25,0.1175
14.007,0.932618683,0.001263,-0.0023834,1,0.235,12.48,11.25,0.235
14.005,0.932485518,0.002535,-0.013088,1,0.3525,12.48,11.25,0.3525
14.026,0.933883747,-0.00036895,-0.022575,1,0.47,12.48,11.25,0.47
14.025,0.933817165,-0.0063165,-0.031841,1,0.5875,12.48,11.25,0.5875
14.005,0.932485518,0.0026841,-0.040458,1,0.705,12.48,11.25,0.705
13.992,0.931619948,0.0024247,-0.050018,1,0.8225,12.48,11.25,0.8225
14.007,0.932618683,-0.0068809,-0.059039,1,0.94,12.48,11.25,0.94
14.038,0.934682735,0.0022941,-0.064993,1,1.0575,12.48,11.25,1.0575
13.984,0.931087289,-0.0025579,-0.075388,1,1.175,12.48,11.25,1.175
13.969,0.930088554,-0.0046309,-0.081183,1,1.2925,12.48,11.25,1.2925
13.957,0.929289567,-0.0060109,-0.087962,1,1.41,12.48,11.25,1.41
13.951,0.928890073,-0.0059123,-0.096841,1,1.5275,12.48,11.25,1.5275
13.942,0.928290832,-0.0059587,-0.10485,1,1.645,12.48,11.25,1.645
13.925,0.927158932,-0.0065413,-0.10967,1,1.7625,12.48,11.25,1.7625
13.909,0.926093615,-0.0071022,-0.11459,1,1.88,12.48,11.25,1.88
13.896,0.925228044,-0.0074804,-0.12039,1,1.9975,12.48,11.25,1.9975
13.883,0.924362474,-0.0078586,-0.12619,1,2.115,12.48,11.25,2.115
13.861,0.922897663,-0.0083584,-0.12845,1,2.2325,12.48,11.25,2.2325
13.839,0.921432852,-0.0088583,-0.13071,1,2.35,12.48,11.25,2.35
13.83,0.920833611,-0.0092048,-0.13226,1,2.4675,12.48,11.25,2.4675
13.823,0.920367534,-0.0095331,-0.13373,1,2.585,12.48,11.25,2.585
13.802,0.918969306,-0.010329,-0.13265,1,2.7025,12.48,11.25,2.7025
13.776,0.917238165,-0.011251,-0.13088,1,2.82,12.48,11.25,2.82
13.765,0.916505759,-0.011744,-0.12764,1,2.9375,12.48,11.25,2.9375
13.759,0.916106265,-0.012036,-0.12371,1,3.055,12.48,11.25,3.055
13.742,0.914974366,-0.012175,-0.11813,1,3.1725,12.48,11.25,3.1725
13.716,0.913243225,-0.012202,-0.11133,1,3.29,12.48,11.25,3.29
13.697,0.911978161,-0.012293,-0.10325,1,3.4075,12.48,11.25,3.4075
13.688,0.91137892,-0.012457,-0.093718,1,3.525,12.48,11.25,3.525
13.675,0.91051335,-0.012532,-0.083237,1,3.6425,12.48,11.25,3.6425
13.656,0.909248286,-0.012448,-0.07108,1,3.76,12.48,11.25,3.76
13.642,0.908316133,-0.012234,-0.058359,1,3.8775,12.48,11.25,3.8775
13.64,0.908182968,-0.011644,-0.043997,1,3.995,12.48,11.25,3.995
13.636,0.907916639,-0.011024,-0.029212,1,4.1125,12.48,11.25,4.1125
13.615,0.90651841,-0.010237,-0.012003,1,4.23,12.48,11.25,4.23
13.594,0.905120181,-0.0094137,0.0052805,1,4.3475,12.48,11.25,4.3475
13.593,0.905053599,-0.0077847,0.024264,1,4.465,12.48,11.25,4.465
13.591,0.904920434,-0.0061556,0.043247,1,4.5825,12.48,11.25,4.5825
13.584,0.904454358,-0.0048673,0.063026,1,4.7,12.48,11.25,4.7
13.577,0.903988282,-0.0036022,0.08286,1,4.8175,12.48,11.25,4.8175
13.746,0.915240695,-0.0019207,0.10691,1,4.935,12.48,11.25,4.935
13.952,0.928956655,-0.0001537,0.13183,1,5.0525,12.48,11.25,5.0525
14.191,0.944869832,0.0020629,0.14711,1,5.17,12.48,11.25,5.17
14.443,0.961648578,0.0044514,0.1587,1,5.2875,12.48,11.25,5.2875
14.545,0.968439976,0.0061001,0.16858,1,5.405,12.48,11.25,5.405
14.554,0.969039217,0.0072896,0.1774,1,5.5225,12.48,11.25,5.5225
14.561,0.969505293,0.008298,0.18782,1,5.64,12.48,11.25,5.64
14.564,0.96970504,0.0091331,0.19975,1,5.7575,12.48,11.25,5.7575
14.57,0.970104534,0.0098767,0.21043,1,5.875,12.48,11.25,5.875
14.578,0.970637193,0.010486,0.21924,1,5.9925,12.48,11.25,5.9925
14.587,0.971236434,0.010997,0.2284,1,6.11,12.48,11.25,6.11
14.598,0.971968839,0.011279,0.23837,1,6.2275,12.48,11.25,6.2275
14.61,0.972767827,0.011505,0.24792,1,6.345,12.48,11.25,6.345
14.623,0.973633398,0.011496,0.25568,1,6.4625,12.48,11.25,6.4625
14.636,0.974498968,0.011467,0.26332,1,6.58,12.48,11.25,6.58
14.651,0.975497703,0.01122,0.26971,1,6.6975,12.48,11.25,6.6975
14.666,0.976496438,0.010972,0.2761,1,6.815,12.48,11.25,6.815
14.681,0.977495173,0.010561,0.28043,1,6.9325,12.48,11.25,6.9325
14.697,0.97856049,0.010146,0.28471,1,7.05,12.48,11.25,7.05
14.713,0.979625807,0.0096459,0.28722,1,7.1675,12.48,11.25,7.1675
14.729,0.980691125,0.0091336,0.28948,1,7.285,12.48,11.25,7.285
14.745,0.981756442,0.0085938,0.29021,1,7.4025,12.48,11.25,7.4025
14.761,0.982821759,0.0080455,0.29046,1,7.52,12.48,11.25,7.52
14.777,0.983887076,0.0075035,0.28956,1,7.6375,12.48,11.25,7.6375
14.792,0.984885811,0.0069646,0.28805,1,7.755,12.48,11.25,7.755
14.807,0.985884546,0.0064473,0.28573,1,7.8725,12.48,11.25,7.8725
14.821,0.986816699,0.0059473,0.28276,1,7.99,12.48,11.25,7.99
14.835,0.987748851,0.0054718,0.27929,1,8.1075,12.48,11.25,8.1075
14.848,0.988614422,0.0050266,0.27519,1,8.225,12.48,11.25,8.225
14.86,0.98941341,0.0046019,0.27082,1,8.3425,12.48,11.25,8.3425
14.872,0.990212398,0.004217,0.26593,1,8.46,12.48,11.25,8.46
