U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
15.054,1.016269493,0.10353,0.029141,1,18.225,12.48,18.225,3.155
15.056,1.01640451,0.098323,0.029687,1,18.45,12.48,18.45,3.155
15.059,1.016607034,0.093103,0.030005,1,18.675,12.48,18.675,3.155
15.061,1.016742051,0.087926,0.030364,1,18.9,12.48,18.9,3.155
15.063,1.016877067,0.082988,0.030519,1,19.125,12.48,19.125,3.155
15.065,1.017012084,0.078079,0.030707,1,19.35,12.48,19.35,3.155
15.066,1.017079592,0.073605,0.030752,1,19.575,12.48,19.575,3.155
15.068,1.017214609,0.069151,0.030824,1,19.8,12.48,19.8,3.155
15.069,1.017282117,0.064742,0.030789,1,20.025,12.48,20.025,3.155
15.071,1.017417134,0.060346,0.030777,1,20.25,12.48,20.25,3.155
15.072,1.017484642,0.056454,0.030703,1,20.475,12.48,20.475,3.155
15.073,1.01755215,0.05257,0.030647,1,20.7,12.48,20.7,3.155
15.074,1.017619658,0.04849,0.030538,1,20.925,12.48,20.925,3.155
15.075,1.017687167,0.044414,0.030445,1,21.15,12.48,21.15,3.155
15.076,1.017754675,0.040972,0.030339,1,21.375,12.48,21.375,3.155
15.077,1.017822183,0.037532,0.030245,1,21.6,12.48,21.6,3.155
15.078,1.017889691,0.033626,0.030126,1,21.825,12.48,21.825,3.155
15.078,1.017889691,0.029719,0.030018,1,22.05,12.48,22.05,3.155
15.079,1.0179572,0.026607,0.029929,1,22.275,12.48,22.275,3.155
15.08,1.018024708,0.023493,0.029846,1,22.5,12.48,22.5,3.155
