"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.57899e-01,2.85775e+00,-1.32276e+01,1.04483e+01,2.67745e+00,9.22968e-02,4.80199e-01,1,3.41190e+00,1.10919e+01,1.14450e+01,6.84500e+00
2.64518e-01,2.90815e+00,-1.33616e+01,1.03716e+01,2.70935e+00,9.75078e-02,4.44759e-01,1,3.51225e+00,1.11923e+01,1.14450e+01,6.84500e+00
2.71137e-01,2.95856e+00,-1.34955e+01,1.02949e+01,2.74125e+00,1.02719e-01,4.09320e-01,1,3.61260e+00,1.12926e+01,1.14450e+01,6.84500e+00
2.78009e-01,3.01109e+00,-1.34639e+01,1.02265e+01,2.75829e+00,1.06408e-01,3.79874e-01,1,3.71295e+00,1.13930e+01,1.14450e+01,6.84500e+00
2.85416e-01,3.06808e+00,-1.30829e+01,1.01754e+01,2.74399e+00,1.06884e-01,3.63078e-01,1,3.81330e+00,1.14933e+01,1.14450e+01,6.84500e+00
2.92822e-01,3.12507e+00,-1.27019e+01,1.01243e+01,2.72969e+00,1.07361e-01,3.46282e-01,1,3.91365e+00,1.15936e+01,1.14450e+01,6.84500e+00
3.00229e-01,3.18207e+00,-1.23209e+01,1.00733e+01,2.71539e+00,1.07838e-01,3.29486e-01,1,4.01400e+00,1.16940e+01,1.14450e+01,6.84500e+00
3.07636e-01,3.23906e+00,-1.19399e+01,1.00222e+01,2.70109e+00,1.08315e-01,3.12690e-01,1,4.11435e+00,1.17943e+01,1.14450e+01,6.84500e+00
3.15042e-01,3.29605e+00,-1.15589e+01,9.97113e+00,2.68679e+00,1.08791e-01,2.95894e-01,1,4.21470e+00,1.18947e+01,1.14450e+01,6.84500e+00
3.21759e-01,3.34183e+00,-1.13281e+01,9.91954e+00,2.69550e+00,1.08148e-01,2.79041e-01,1,4.31505e+00,1.19951e+01,1.14450e+01,6.84500e+00
3.28314e-01,3.38500e+00,-1.11322e+01,9.86782e+00,2.70956e+00,1.07244e-01,2.62175e-01,1,4.41540e+00,1.20954e+01,1.14450e+01,6.84500e+00
3.34870e-01,3.42817e+00,-1.09363e+01,9.81611e+00,2.72362e+00,1.06341e-01,2.45309e-01,1,4.51575e+00,1.21958e+01,1.14450e+01,6.84500e+00
3.41425e-01,3.47134e+00,-1.07404e+01,9.76440e+00,2.73768e+00,1.05437e-01,2.28443e-01,1,4.61610e+00,1.22961e+01,1.14450e+01,6.84500e+00
3.47981e-01,3.51451e+00,-1.05445e+01,9.71268e+00,2.75174e+00,1.04534e-01,2.11577e-01,1,4.71645e+00,1.23965e+01,1.14450e+01,6.84500e+00
3.53969e-01,3.55118e+00,-1.03615e+01,9.66521e+00,2.76605e+00,1.02466e-01,1.96801e-01,1,4.81680e+00,1.24968e+01,1.14450e+01,6.84500e+00
3.59822e-01,3.58630e+00,-1.01815e+01,9.61873e+00,2.78042e+00,1.00122e-01,1.82522e-01,1,4.91715e+00,1.25971e+01,1.14450e+01,6.84500e+00
3.65675e-01,3.62143e+00,-1.00015e+01,9.57226e+00,2.79480e+00,9.77775e-02,1.68242e-01,1,5.01750e+00,1.26975e+01,1.14450e+01,6.84500e+00
3.71528e-01,3.65655e+00,-9.82158e+00,9.52579e+00,2.80917e+00,9.54334e-02,1.53963e-01,1,5.11785e+00,1.27978e+01,1.14450e+01,6.84500e+00
3.77235e-01,3.69010e+00,-9.64641e+00,9.48019e+00,2.82447e+00,9.28820e-02,1.40024e-01,1,5.21820e+00,1.28982e+01,1.14450e+01,6.84500e+00
3.82534e-01,3.71926e+00,-9.48459e+00,9.43701e+00,2.84236e+00,8.97555e-02,1.27031e-01,1,5.31855e+00,1.29986e+01,1.14450e+01,6.84500e+00
3.87834e-01,3.74842e+00,-9.32277e+00,9.39383e+00,2.86024e+00,8.66290e-02,1.14039e-01,1,5.41890e+00,1.30989e+01,1.14450e+01,6.84500e+00
3.93133e-01,3.77758e+00,-9.16095e+00,9.35066e+00,2.87813e+00,8.35025e-02,1.01046e-01,1,5.51925e+00,1.31993e+01,1.14450e+01,6.84500e+00
3.98377e-01,3.80612e+00,-9.00125e+00,9.30775e+00,2.89649e+00,8.03050e-02,8.81151e-02,1,5.61960e+00,1.32996e+01,1.14450e+01,6.84500e+00
4.03278e-01,3.83087e+00,-8.85463e+00,9.26650e+00,2.91778e+00,7.66683e-02,7.55629e-02,1,5.71995e+00,1.34000e+01,1.14450e+01,6.84500e+00
4.08179e-01,3.85562e+00,-8.70801e+00,9.22525e+00,2.93908e+00,7.30316e-02,6.30107e-02,1,5.82030e+00,1.35003e+01,1.14450e+01,6.84500e+00
4.13080e-01,3.88037e+00,-8.56139e+00,9.18400e+00,2.96037e+00,6.93948e-02,5.04587e-02,1,5.92065e+00,1.36006e+01,1.14450e+01,6.84500e+00
4.17872e-01,3.90383e+00,-8.41835e+00,9.14316e+00,2.98261e+00,6.56588e-02,3.79445e-02,1,6.02100e+00,1.37010e+01,1.14450e+01,6.84500e+00
4.22494e-01,3.92529e+00,-8.28086e+00,9.10294e+00,3.00632e+00,6.17695e-02,2.54891e-02,1,6.12135e+00,1.38013e+01,1.14450e+01,6.84500e+00
4.27115e-01,3.94675e+00,-8.14337e+00,9.06273e+00,3.03003e+00,5.78802e-02,1.30336e-02,1,6.22170e+00,1.39017e+01,1.14450e+01,6.84500e+00
4.31737e-01,3.96820e+00,-8.00588e+00,9.02251e+00,3.05374e+00,5.39908e-02,5.78161e-04,1,6.32205e+00,1.40021e+01,1.14450e+01,6.84500e+00
4.36172e-01,3.98726e+00,-7.87395e+00,8.98283e+00,3.07901e+00,5.00812e-02,-1.18838e-02,1,6.42240e+00,1.41024e+01,1.14450e+01,6.84500e+00
4.40605e-01,4.00628e+00,-7.74208e+00,8.94315e+00,3.10429e+00,4.61714e-02,-2.43460e-02,1,6.52275e+00,1.42028e+01,1.14450e+01,6.84500e+00
4.45038e-01,4.02531e+00,-7.61020e+00,8.90347e+00,3.12957e+00,4.22616e-02,-3.68080e-02,1,6.62310e+00,1.43031e+01,1.14450e+01,6.84500e+00
4.49351e-01,4.04263e+00,-7.48205e+00,8.86397e+00,3.15603e+00,3.84799e-02,-4.92044e-02,1,6.72345e+00,1.44035e+01,1.14450e+01,6.84500e+00
4.53652e-01,4.05976e+00,-7.35431e+00,8.82450e+00,3.18261e+00,3.47122e-02,-6.15937e-02,1,6.82380e+00,1.45038e+01,1.14450e+01,6.84500e+00
4.57905e-01,4.07658e+00,-7.22846e+00,8.78532e+00,3.20895e+00,3.10045e-02,-7.38323e-02,1,6.92415e+00,1.46041e+01,1.14450e+01,6.84500e+00
4.61717e-01,4.09052e+00,-7.12024e+00,8.74900e+00,3.23306e+00,2.78540e-02,-8.46721e-02,1,7.02450e+00,1.47045e+01,1.14450e+01,6.84500e+00
4.65530e-01,4.10445e+00,-7.01201e+00,8.71267e+00,3.25717e+00,2.47035e-02,-9.55117e-02,1,7.12485e+00,1.48048e+01,1.14450e+01,6.84500e+00
4.69946e-01,4.11970e+00,-6.89147e+00,8.66947e+00,3.28576e+00,2.10146e-02,-1.08613e-01,1,7.22520e+00,1.49052e+01,1.14450e+01,6.84500e+00
4.74666e-01,4.13522e+00,-6.76420e+00,8.62237e+00,3.31711e+00,1.69728e-02,-1.23337e-01,1,7.32555e+00,1.50056e+01,1.14450e+01,6.84500e+00
