"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.648,0.074436,0.25388,9.6636,0.071912,0.2402,1,0,10.68,12.055,6.845
9.6334,0.078187,0.26281,9.6495,0.07559,0.24879,1,0.10035,10.78,12.055,6.845
9.6181,0.081842,0.27213,9.6348,0.079175,0.25776,1,0.2007,10.881,12.055,6.845
9.6023,0.085683,0.28185,9.6195,0.082947,0.26712,1,0.30105,10.981,12.055,6.845
9.5853,0.090115,0.2923,9.6031,0.087308,0.27719,1,0.4014,11.081,12.055,6.845
9.5683,0.094269,0.30272,9.5867,0.091402,0.28724,1,0.50175,11.182,12.055,6.845
9.5503,0.098714,0.31375,9.5693,0.09579,0.29788,1,0.6021,11.282,12.055,6.845
9.5302,0.10392,0.32647,9.5498,0.10094,0.31017,1,0.70245,11.382,12.055,6.845
9.5097,0.10949,0.34004,9.53,0.10645,0.32329,1,0.8028,11.483,12.055,6.845
9.4886,0.1154,0.35443,9.5094,0.11231,0.3372,1,0.90315,11.583,12.055,6.845
9.4663,0.12167,0.3697,9.4878,0.11854,0.35197,1,1.0035,11.684,12.055,6.845
9.4428,0.12834,0.38592,9.465,0.12518,0.36767,1,1.1038,11.784,12.055,6.845
9.418,0.13542,0.40316,9.4408,0.13225,0.38437,1,1.2042,11.884,12.055,6.845
9.3919,0.14299,0.42153,9.4153,0.13984,0.40216,1,1.3046,11.985,12.055,6.845
9.3643,0.15125,0.44121,9.3883,0.14814,0.42123,1,1.4049,12.085,12.055,6.845
9.3351,0.16007,0.46222,9.3598,0.15705,0.4416,1,1.5052,12.185,12.055,6.845
9.3043,0.16928,0.48472,9.3295,0.16638,0.46341,1,1.6056,12.286,12.055,6.845
9.2717,0.17909,0.50878,9.2974,0.17637,0.48675,1,1.7059,12.386,12.055,6.845
9.2372,0.18954,0.53452,9.2634,0.18707,0.51173,1,1.8063,12.486,12.055,6.845
9.2007,0.20066,0.56209,9.2273,0.19853,0.53848,1,1.9066,12.587,12.055,6.845
9.1622,0.21249,0.59159,9.1891,0.21078,0.56713,1,2.007,12.687,12.055,6.845
9.1211,0.22574,0.62368,9.1481,0.22464,0.59827,1,2.1073,12.787,12.055,6.845
9.0773,0.23974,0.65835,9.1043,0.23942,0.63194,1,2.2077,12.888,12.055,6.845
9.0306,0.2544,0.69569,9.0573,0.25503,0.66823,1,2.3081,12.988,12.055,6.845
8.9811,0.26999,0.73586,9.0071,0.27183,0.70729,1,2.4084,13.088,12.055,6.845
8.9285,0.28655,0.77904,8.9534,0.28985,0.74931,1,2.5087,13.189,12.055,6.845
8.8719,0.30544,0.82676,8.8952,0.31082,0.79573,1,2.6091,13.289,12.055,6.845
8.8109,0.325,0.87871,8.8317,0.33291,0.84637,1,2.7094,13.389,12.055,6.845
8.7457,0.34557,0.93485,8.763,0.35656,0.90124,1,2.8098,13.49,12.055,6.845
8.6762,0.36739,0.99539,8.6888,0.38207,0.96055,1,2.9101,13.59,12.055,6.845
8.6008,0.39225,1.0631,8.607,0.41212,1.027,1,3.0105,13.691,12.055,6.845
8.5185,0.41815,1.1376,8.5155,0.44435,1.1005,1,3.1108,13.791,12.055,6.845
8.4301,0.44531,1.2182,8.4147,0.47898,1.1806,1,3.2112,13.891,12.055,6.845
8.3353,0.47426,1.3053,8.304,0.51669,1.2679,1,3.3116,13.992,12.055,6.845
8.23,0.50796,1.4068,8.1751,0.56376,1.3704,1,3.4119,14.092,12.055,6.845
8.1154,0.54253,1.5152,8.0275,0.61249,1.4827,1,3.5122,14.192,12.055,6.845
7.9921,0.57991,1.6313,7.8625,0.66542,1.6054,1,3.6126,14.293,12.055,6.845
7.8575,0.62425,1.7668,7.6686,0.73301,1.7523,1,3.7129,14.393,12.055,6.845
7.7086,0.67615,1.9074,7.4521,0.80457,1.9155,1,3.8133,14.493,12.055,6.845
7.5467,0.73924,2.0506,7.2135,0.88325,2.0887,1,3.9136,14.594,12.055,6.845
7.3746,0.83104,2.2003,6.9213,0.98909,2.2792,1,4.014,14.694,12.055,6.845
7.104,0.95553,2.2956,6.4207,1.09,2.3948,1,4.1143,14.794,12.055,6.845
6.7625,1.0847,2.3512,5.8178,1.1846,2.4441,1,4.2147,14.895,12.055,6.845
6.2967,1.2082,2.2706,5.215,1.2133,2.2932,1,4.3151,14.995,12.055,6.845
5.8168,1.2413,2.1061,4.8401,1.1822,2.0474,1,4.4154,15.095,12.055,6.845
5.3535,1.2345,1.8818,4.6279,1.113,1.7449,1,4.5157,15.196,12.055,6.845
4.9194,1.1452,1.6133,4.4234,1.0076,1.4762,1,4.6161,15.296,12.055,6.845
4.5261,1.0641,1.3797,4.1882,0.92866,1.2579,1,4.7164,15.396,12.055,6.845
4.1524,0.97613,1.1735,3.9042,0.85902,1.0866,1,4.8168,15.497,12.055,6.845
3.8725,0.9056,1.0184,3.7018,0.80606,0.95511,1,4.9171,15.597,12.055,6.845
3.6302,0.8454,0.88165,3.5321,0.76015,0.83837,1,5.0175,15.698,12.055,6.845
3.4518,0.78814,0.7788,3.4081,0.72048,0.74384,1,5.1178,15.798,12.055,6.845
3.2986,0.74547,0.68948,3.2992,0.6887,0.66148,1,5.2182,15.898,12.055,6.845
3.1629,0.70477,0.61353,3.1985,0.65943,0.5887,1,5.3186,15.999,12.055,6.845
3.0472,0.67326,0.55293,3.108,0.63558,0.52814,1,5.4189,16.099,12.055,6.845
2.9387,0.64534,0.49669,3.0224,0.61401,0.47157,1,5.5192,16.199,12.055,6.845
2.8444,0.62113,0.45165,2.9447,0.59488,0.42473,1,5.6196,16.3,12.055,6.845
2.757,0.60113,0.40842,2.8742,0.57847,0.38074,1,5.7199,16.4,12.055,6.845
2.6758,0.5828,0.37004,2.8081,0.56288,0.34199,1,5.8203,16.5,12.055,6.845
2.6041,0.56817,0.33573,2.7503,0.55018,0.30672,1,5.9207,16.601,12.055,6.845
2.5359,0.55438,0.3048,2.6949,0.53783,0.27417,1,6.021,16.701,12.055,6.845
2.4752,0.54298,0.27854,2.646,0.5275,0.24522,1,6.1213,16.801,12.055,6.845
2.417,0.53246,0.25375,2.5993,0.51782,0.21749,1,6.2217,16.902,12.055,6.845
2.3631,0.52375,0.23217,2.5573,0.50929,0.19332,1,6.3221,17.002,12.055,6.845
2.3117,0.51608,0.21065,2.5177,0.50166,0.16955,1,6.4224,17.102,12.055,6.845
2.2638,0.50942,0.19208,2.4817,0.49467,0.1489,1,6.5227,17.203,12.055,6.845
2.2184,0.50367,0.17367,2.448,0.48863,0.12852,1,6.6231,17.303,12.055,6.845
