"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.4385,4.1176,0.24048,0.5951,4.2696,0.2724,0.54293,1,5.6196,13.3,11.25,6.845
-7.5538,4.0736,0.24496,0.55921,4.2257,0.27429,0.50357,1,5.72,13.4,11.25,6.845
-7.6264,4.0329,0.24921,0.52599,4.186,0.27611,0.46704,1,5.8203,13.5,11.25,6.845
-7.6627,3.9946,0.25324,0.49519,4.1501,0.27784,0.43306,1,5.9207,13.601,11.25,6.845
-7.6622,3.9597,0.25698,0.46693,4.1194,0.2795,0.40223,1,6.021,13.701,11.25,6.845
-7.6321,3.9239,0.26085,0.44083,4.0918,0.28104,0.37348,1,6.1213,13.801,11.25,6.845
-7.5858,3.8885,0.26463,0.41634,4.0669,0.28249,0.34647,1,6.2217,13.902,11.25,6.845
-7.5254,3.8536,0.26828,0.39342,4.0445,0.28386,0.3211,1,6.3221,14.002,11.25,6.845
-7.4474,3.8213,0.27183,0.37271,4.0264,0.28514,0.29826,1,6.4224,14.102,11.25,6.845
-7.3633,3.7883,0.27507,0.35357,4.0099,0.2863,0.27656,1,6.5228,14.203,11.25,6.845
-7.2736,3.7566,0.27808,0.33565,3.9953,0.28739,0.25606,1,6.6231,14.303,11.25,6.845
-7.1767,3.7279,0.2808,0.31955,3.9836,0.2884,0.23734,1,6.7235,14.403,11.25,6.845
-7.0788,3.6997,0.28292,0.3049,3.9737,0.2893,0.21972,1,6.8238,14.504,11.25,6.845
-6.9795,3.6729,0.28479,0.29113,3.9652,0.29015,0.20297,1,6.9241,14.604,11.25,6.845
-6.8772,3.6489,0.28649,0.27856,3.9589,0.29093,0.18758,1,7.0245,14.705,11.25,6.845
-6.7767,3.6255,0.28794,0.26671,3.9541,0.29161,0.17309,1,7.1248,14.805,11.25,6.845
-6.6765,3.6032,0.28934,0.25541,3.9505,0.29226,0.15924,1,7.2252,14.905,11.25,6.845
-6.5763,3.5834,0.29072,0.245,3.9487,0.29284,0.14654,1,7.3256,15.006,11.25,6.845
-6.4792,3.5639,0.29203,0.23513,3.9482,0.29335,0.13444,1,7.4259,15.106,11.25,6.845
