"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.848,9.7327,0.00032074,0.20502,9.7466,0.00013044,0.1921,1,0,7.68,11.25,6.845
4.9537,9.7212,0.00035344,0.2124,9.7356,0.00013521,0.19913,1,0.10035,7.7804,11.25,6.845
5.0798,9.7072,0.00040227,0.2209,9.7223,0.00014053,0.20727,1,0.2007,7.8807,11.25,6.845
5.2059,9.6933,0.00045111,0.22941,9.7091,0.00014586,0.21542,1,0.30105,7.9811,11.25,6.845
5.3307,9.6795,0.00050016,0.23797,9.6959,0.00015112,0.22362,1,0.4014,8.0814,11.25,6.845
5.4683,9.664,0.00057229,0.24785,9.6812,0.00015632,0.23311,1,0.50175,8.1818,11.25,6.845
5.6141,9.6476,0.00065198,0.25803,9.6656,0.00016169,0.24289,1,0.6021,8.2821,11.25,6.845
5.7599,9.6313,0.00073166,0.26821,9.6499,0.00016705,0.25268,1,0.70245,8.3825,11.25,6.845
5.9133,9.6137,0.0008427,0.27981,9.6332,0.00017177,0.26386,1,0.8028,8.4828,11.25,6.845
6.0802,9.5945,0.00097247,0.29196,9.6149,0.0001765,0.27559,1,0.90315,8.5831,11.25,6.845
6.2471,9.5753,0.0011022,0.3041,9.5966,0.00018124,0.28732,1,1.0035,8.6835,11.25,6.845
6.4224,9.5546,0.0012829,0.31804,9.5768,0.0001845,0.30081,1,1.1038,8.7838,11.25,6.845
6.6112,9.5322,0.0014885,0.33249,9.5554,0.00018751,0.31482,1,1.2042,8.8842,11.25,6.845
6.7948,9.5103,0.0016938,0.34715,9.5346,0.00019027,0.32903,1,1.3046,8.9846,11.25,6.845
7.0013,9.4848,0.0020068,0.36411,9.5102,0.00019014,0.34552,1,1.4049,9.0849,11.25,6.845
7.2119,9.4588,0.002331,0.38122,9.4854,0.00018981,0.36217,1,1.5053,9.1853,11.25,6.845
7.4206,9.4322,0.0027099,0.39966,9.4601,0.00018727,0.38012,1,1.6056,9.2856,11.25,6.845
7.6519,9.4019,0.0032156,0.41985,9.4312,0.00018119,0.39981,1,1.706,9.386,11.25,6.845
7.8775,9.3722,0.0037164,0.44028,9.4029,0.00017492,0.41974,1,1.8063,9.4863,11.25,6.845
8.1204,9.338,0.0044584,0.46374,9.3704,0.00016078,0.44269,1,1.9067,9.5866,11.25,6.845
8.3694,9.3029,0.0052348,0.48743,9.3369,0.00014576,0.46587,1,2.007,9.687,11.25,6.845
8.6149,9.2655,0.006236,0.51403,9.3014,0.00012268,0.49191,1,2.1073,9.7873,11.25,6.845
8.8764,9.2247,0.0074128,0.54168,9.2626,9.4672e-05,0.51904,1,2.2077,9.8877,11.25,6.845
9.1279,9.1822,0.0088214,0.57205,9.2224,5.83e-05,0.54881,1,2.3081,9.9881,11.25,6.845
9.394,9.1348,0.01057,0.60418,9.1774,1.2251e-05,0.58038,1,2.4084,10.088,11.25,6.845
9.6441,9.0855,0.012619,0.63939,9.1308,-4.4276e-05,0.61492,1,2.5088,10.189,11.25,6.845
9.9035,9.0303,0.015161,0.67655,9.0786,-0.00011411,0.65145,1,2.6091,10.289,11.25,6.845
10.137,8.9718,0.018225,0.71787,9.0234,-0.00019979,0.69201,1,2.7095,10.389,11.25,6.845
10.375,8.9075,0.021858,0.7606,8.9627,-0.00029881,0.73402,1,2.8098,10.49,11.25,6.845
10.568,8.8366,0.026494,0.8095,8.896,-0.00042344,0.78197,1,2.9102,10.59,11.25,6.845
10.746,8.762,0.031597,0.86092,8.8258,-0.00055964,0.83238,1,3.0105,10.691,11.25,6.845
10.883,8.6736,0.03854,0.91638,8.7426,-0.00072896,0.88677,1,3.1108,10.791,11.25,6.845
10.961,8.5791,0.046499,0.97806,8.6536,-0.00091831,0.94708,1,3.2112,10.891,11.25,6.845
10.994,8.4761,0.055645,1.0442,8.5565,-0.0011282,1.0117,1,3.3116,10.992,11.25,6.845
10.933,8.3515,0.067808,1.1136,8.4388,-0.0013685,1.0795,1,3.4119,11.092,11.25,6.845
10.802,8.2219,0.081273,1.1872,8.3157,-0.0016292,1.1514,1,3.5123,11.192,11.25,6.845
10.592,8.0721,0.097808,1.2678,8.1727,-0.0019674,1.2299,1,3.6126,11.293,11.25,6.845
10.236,7.8898,0.11863,1.3596,7.9977,-0.0024726,1.3192,1,3.713,11.393,11.25,6.845
9.6891,7.6843,0.14217,1.4565,7.7988,-0.0031061,1.4135,1,3.8133,11.493,11.25,6.845
8.9308,7.4357,0.16962,1.556,7.5586,-0.0036373,1.5104,1,3.9137,11.594,11.25,6.845
7.9658,7.1621,0.20518,1.6559,7.3191,-0.0026285,1.6075,1,4.014,11.694,11.25,6.845
6.9413,6.9173,0.24959,1.7512,7.1148,0.011918,1.6988,1,4.1143,11.794,11.25,6.845
6.1272,6.5514,0.2668,1.8182,6.6731,0.065882,1.7567,1,4.2147,11.895,11.25,6.845
5.0001,5.8276,0.16939,1.787,5.8371,0.15864,1.719,1,4.3151,11.995,11.25,6.845
2.6528,5.4363,-0.010751,1.6356,5.6069,0.22114,1.5828,1,4.4154,12.095,11.25,6.845
0.36644,5.375,-0.043561,1.4734,5.6379,0.23644,1.4405,1,4.5158,12.196,11.25,6.845
-1.0076,5.0816,0.030373,1.3021,5.2971,0.24563,1.2899,1,4.6161,12.296,11.25,6.845
-2.0919,4.831,0.097238,1.1736,5.0261,0.2506,1.1675,1,4.7165,12.396,11.25,6.845
-3.2239,4.6668,0.13892,1.0711,4.8623,0.25372,1.0625,1,4.8168,12.497,11.25,6.845
