"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.3332,9.7326,0.00012887,0.20497,9.7451,0.00012455,0.19357,1,0,7.68,11.25,6.845
5.4475,9.721,0.00013261,0.21234,9.734,0.00012868,0.20064,1,0.10035,7.7804,11.25,6.845
5.5845,9.7071,0.0001357,0.22084,9.7207,0.00013306,0.20883,1,0.2007,7.8807,11.25,6.845
5.7215,9.6931,0.00013878,0.22933,9.7073,0.00013744,0.21701,1,0.30105,7.9811,11.25,6.845
5.8571,9.6793,0.00014187,0.23788,9.6941,0.00014174,0.22525,1,0.4014,8.0814,11.25,6.845
6.0078,9.6638,0.00014432,0.24775,9.6793,0.00014554,0.23479,1,0.50175,8.1818,11.25,6.845
6.1676,9.6474,0.00014654,0.2579,9.6636,0.00014939,0.24462,1,0.6021,8.2821,11.25,6.845
6.3275,9.6309,0.00014876,0.26806,9.6479,0.00015323,0.25445,1,0.70245,8.3825,11.25,6.845
6.4975,9.6133,0.00015089,0.27964,9.631,0.00015583,0.26568,1,0.8028,8.4828,11.25,6.845
6.6831,9.594,0.00015314,0.29176,9.6126,0.00015817,0.27746,1,0.90315,8.5831,11.25,6.845
6.8686,9.5748,0.00015539,0.30387,9.5942,0.00016051,0.28924,1,1.0035,8.6835,11.25,6.845
7.0669,9.554,0.00015587,0.31778,9.5744,0.00016039,0.30279,1,1.1038,8.7838,11.25,6.845
7.2811,9.5314,0.0001562,0.33219,9.5529,0.00015964,0.31685,1,1.2042,8.8842,11.25,6.845
7.4902,9.5094,0.00015671,0.34681,9.5319,0.00015859,0.33111,1,1.3046,8.9846,11.25,6.845
7.7312,9.4837,0.00015504,0.36371,9.5075,0.00015284,0.34766,1,1.4049,9.0849,11.25,6.845
7.9773,9.4574,0.00015308,0.38076,9.4825,0.00014672,0.36436,1,1.5053,9.1853,11.25,6.845
8.2263,9.4306,0.00015302,0.39914,9.4571,0.00013739,0.38237,1,1.6056,9.2856,11.25,6.845
8.508,9.3999,0.0001534,0.41924,9.4281,0.00012256,0.40213,1,1.706,9.386,11.25,6.845
8.784,9.3698,0.00015482,0.43959,9.3997,0.0001075,0.42211,1,1.8063,9.4863,11.25,6.845
9.0966,9.335,0.00016636,0.46295,9.367,8.0817e-05,0.44513,1,1.9067,9.5866,11.25,6.845
9.4177,9.2992,0.00017849,0.48651,9.3334,5.279e-05,0.46837,1,2.007,9.687,11.25,6.845
9.754,9.261,0.00021447,0.51301,9.2977,1.3031e-05,0.49448,1,2.1073,9.7873,11.25,6.845
10.119,9.2191,0.00026096,0.54053,9.2588,-3.4052e-05,0.52167,1,2.2077,9.8877,11.25,6.845
10.492,9.1753,0.00035266,0.57079,9.2184,-9.3261e-05,0.5515,1,2.3081,9.9881,11.25,6.845
10.904,9.1263,0.00049013,0.60278,9.1733,-0.00016677,0.58314,1,2.4084,10.088,11.25,6.845
11.324,9.0749,0.00071482,0.63791,9.1264,-0.00025569,0.61776,1,2.5088,10.189,11.25,6.845
11.785,9.0172,0.0010396,0.67493,9.0741,-0.00036456,0.65435,1,2.6091,10.289,11.25,6.845
12.257,8.9553,0.001561,0.71627,9.0187,-0.00049748,0.69498,1,2.7095,10.389,11.25,6.845
12.768,8.887,0.0022356,0.75896,8.9578,-0.00065113,0.73705,1,2.8098,10.49,11.25,6.845
13.292,8.8105,0.0034119,0.80814,8.8908,-0.00084562,0.78507,1,2.9102,10.59,11.25,6.845
13.826,8.7296,0.0048494,0.86002,8.8203,-0.0010588,0.83553,1,3.0105,10.691,11.25,6.845
