"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10.294,4.0942,0.26981,0.59208,4.193,0.2691,0.56236,1,5.6196,13.3,11.25,6.845
-10.062,4.0433,0.27407,0.55571,4.146,0.27103,0.52413,1,5.72,13.4,11.25,6.845
-9.8238,3.9955,0.27731,0.52245,4.1029,0.27289,0.48886,1,5.8203,13.5,11.25,6.845
-9.5834,3.9511,0.27963,0.49194,4.0634,0.27468,0.45623,1,5.9207,13.601,11.25,6.845
-9.3405,3.9127,0.28097,0.46466,4.0291,0.27642,0.42676,1,6.021,13.701,11.25,6.845
-9.1122,3.8764,0.28144,0.43968,3.9971,0.27805,0.39952,1,6.1213,13.801,11.25,6.845
-8.8904,3.8423,0.2817,0.41633,3.9677,0.27962,0.37405,1,6.2217,13.902,11.25,6.845
-8.6756,3.8102,0.2819,0.39451,3.9405,0.28113,0.35021,1,6.3221,14.002,11.25,6.845
-8.4686,3.782,0.28223,0.37475,3.9175,0.28258,0.32882,1,6.4224,14.102,11.25,6.845
-8.2741,3.7531,0.28299,0.35625,3.8956,0.28393,0.30861,1,6.5228,14.203,11.25,6.845
-8.0862,3.7252,0.28402,0.33882,3.8753,0.28523,0.28956,1,6.6231,14.303,11.25,6.845
-7.9045,3.7,0.28538,0.32287,3.858,0.28648,0.27218,1,6.7235,14.403,11.25,6.845
-7.7344,3.6745,0.28698,0.30806,3.8418,0.28763,0.25591,1,6.8238,14.504,11.25,6.845
-7.5694,3.6501,0.28856,0.29398,3.827,0.28874,0.24047,1,6.9241,14.604,11.25,6.845
-7.4098,3.6283,0.29016,0.28108,3.8144,0.28981,0.22629,1,7.0245,14.705,11.25,6.845
-7.2599,3.6069,0.29145,0.26917,3.8028,0.2908,0.21299,1,7.1248,14.805,11.25,6.845
-7.1145,3.5865,0.29253,0.25798,3.7923,0.29174,0.2003,1,7.2252,14.905,11.25,6.845
-6.9744,3.5686,0.29336,0.2479,3.7837,0.29266,0.18866,1,7.3256,15.006,11.25,6.845
-6.8416,3.5509,0.29363,0.23841,3.7758,0.29351,0.17761,1,7.4259,15.106,11.25,6.845
-6.7123,3.534,0.29364,0.22933,3.7688,0.29433,0.16701,1,7.5263,15.206,11.25,6.845
-6.5884,3.5192,0.29324,0.22095,3.7635,0.29512,0.15739,1,7.6266,15.307,11.25,6.845
-6.4695,3.5042,0.29247,0.21282,3.7587,0.29586,0.14806,1,7.727,15.407,11.25,6.845
-6.3531,3.4903,0.29153,0.20499,3.7548,0.29659,0.13921,1,7.8273,15.507,11.25,6.845
-6.2427,3.4774,0.29009,0.19775,3.7522,0.29728,0.13105,1,7.9276,15.608,11.25,6.845
-6.1349,3.4646,0.28843,0.19069,3.75,0.29794,0.12305,1,8.028,15.708,11.25,6.845
-6.0309,3.4532,0.28632,0.1841,3.7489,0.2986,0.11572,1,8.1283,15.808,11.25,6.845
-5.9315,3.4418,0.28376,0.17766,3.7484,0.29922,0.10858,1,8.2287,15.909,11.25,6.845
-5.834,3.4311,0.28093,0.17139,3.7485,0.29983,0.10179,1,8.3291,16.009,11.25,6.845
-5.7415,3.4211,0.27746,0.16531,3.7496,0.30042,0.095464,1,8.4294,16.109,11.25,6.845
-5.6506,3.4112,0.27376,0.15929,3.751,0.30099,0.089214,1,8.5297,16.21,11.25,6.845
-5.5631,3.4028,0.26957,0.1536,3.7532,0.30157,0.083532,1,8.6301,16.31,11.25,6.845
-5.478,3.3943,0.26514,0.14801,3.756,0.30211,0.077882,1,8.7304,16.41,11.25,6.845
-5.3952,3.3871,0.26052,0.14287,3.7592,0.30267,0.072647,1,8.8308,16.511,11.25,6.845
-5.3161,3.3803,0.25599,0.13801,3.7632,0.30319,0.067516,1,8.9312,16.611,11.25,6.845
-5.2385,3.3745,0.25152,0.13356,3.7674,0.30372,0.062652,1,9.0315,16.712,11.25,6.845
-5.1652,3.3696,0.24788,0.12961,3.7724,0.30421,0.057997,1,9.1318,16.812,11.25,6.845
-5.0928,3.3648,0.2446,0.12568,3.7777,0.30469,0.053374,1,9.2322,16.912,11.25,6.845
-5.0237,3.3625,0.24271,0.12274,3.7833,0.30516,0.049223,1,9.3326,17.013,11.25,6.845
-4.9554,3.3596,0.24167,0.1195,3.7896,0.30558,0.044966,1,9.4329,17.113,11.25,6.845
-4.8897,3.3593,0.24216,0.11743,3.7958,0.30599,0.041105,1,9.5332,17.213,11.25,6.845
-4.8249,3.3586,0.24403,0.11507,3.8029,0.30634,0.037166,1,9.6336,17.314,11.25,6.845
-4.7624,3.3602,0.24729,0.11392,3.8098,0.30666,0.033563,1,9.7339,17.414,11.25,6.845
-4.7008,3.3617,0.25223,0.11246,3.8176,0.3069,0.029898,1,9.8343,17.514,11.25,6.845
-4.6407,3.3648,0.2583,0.11194,3.8251,0.30712,0.026525,1,9.9347,17.615,11.25,6.845
-4.5812,3.3679,0.266,0.11096,3.8336,0.30724,0.023098,1,10.035,17.715,11.25,6.845
