"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.30347,3.7522,0.021045,-0.60085,3.7593,0.019799,-0.60481,-7.6328,1,0,19.68,12.445,5
-0.30422,3.7546,0.022907,-0.60119,3.7617,0.021674,-0.60517,-7.6326,1,0.0033751,19.68,12.445,5.0034
-0.30497,3.7571,0.024769,-0.60154,3.7642,0.023548,-0.60553,-7.6324,1,0.0067501,19.68,12.445,5.0068
-0.30572,3.7596,0.026631,-0.60188,3.7667,0.025423,-0.6059,-7.6322,1,0.010125,19.68,12.445,5.0101
-0.30647,3.7621,0.028493,-0.60222,3.7692,0.027297,-0.60626,-7.6321,1,0.0135,19.68,12.445,5.0135
-0.30722,3.7646,0.030354,-0.60257,3.7717,0.029171,-0.60662,-7.6319,1,0.016875,19.68,12.445,5.0169
-0.30798,3.7671,0.032216,-0.60291,3.7741,0.031046,-0.60699,-7.6317,1,0.02025,19.68,12.445,5.0202
-0.30873,3.7696,0.034078,-0.60325,3.7766,0.03292,-0.60735,-7.6315,1,0.023625,19.68,12.445,5.0236
-0.30948,3.7721,0.03594,-0.6036,3.7791,0.034795,-0.60771,-7.6313,1,0.027,19.68,12.445,5.027
-0.31023,3.7745,0.037802,-0.60394,3.7816,0.036669,-0.60808,-7.6312,1,0.030375,19.68,12.445,5.0304
-0.31098,3.777,0.039664,-0.60428,3.7841,0.038544,-0.60844,-7.631,1,0.03375,19.68,12.445,5.0338
-0.31174,3.7795,0.041526,-0.60462,3.7866,0.040418,-0.6088,-7.6308,1,0.037125,19.68,12.445,5.0371
-0.31249,3.782,0.043387,-0.60497,3.789,0.042293,-0.60917,-7.6306,1,0.0405,19.68,12.445,5.0405
-0.31324,3.7845,0.045249,-0.60531,3.7915,0.044167,-0.60953,-7.6305,1,0.043875,19.68,12.445,5.0439
-0.31399,3.787,0.047111,-0.60565,3.794,0.046042,-0.60989,-7.6303,1,0.04725,19.68,12.445,5.0472
-0.31474,3.7895,0.048973,-0.606,3.7965,0.047916,-0.61025,-7.6301,1,0.050625,19.68,12.445,5.0506
-0.3155,3.792,0.050835,-0.60634,3.799,0.049791,-0.61062,-7.6299,1,0.054,19.68,12.445,5.054
-0.31625,3.7944,0.052697,-0.60668,3.8014,0.051665,-0.61098,-7.6297,1,0.057375,19.68,12.445,5.0574
-0.317,3.7969,0.054558,-0.60703,3.8039,0.05354,-0.61134,-7.6296,1,0.06075,19.68,12.445,5.0608
-0.31775,3.7994,0.05642,-0.60737,3.8064,0.055414,-0.61171,-7.6294,1,0.064125,19.68,12.445,5.0641
-0.3185,3.8019,0.058282,-0.60771,3.8089,0.057289,-0.61207,-7.6292,1,0.0675,19.68,12.445,5.0675
-0.31926,3.8044,0.060144,-0.60806,3.8114,0.059163,-0.61243,-7.629,1,0.070875,19.68,12.445,5.0709
-0.32001,3.8069,0.062006,-0.6084,3.8139,0.061038,-0.6128,-7.6289,1,0.07425,19.68,12.445,5.0743
-0.32076,3.8094,0.063868,-0.60874,3.8163,0.062912,-0.61316,-7.6287,1,0.077625,19.68,12.445,5.0776
-0.32151,3.8119,0.065729,-0.60909,3.8188,0.064787,-0.61352,-7.6285,1,0.081,19.68,12.445,5.081
-0.32226,3.8144,0.067591,-0.60943,3.8213,0.066661,-0.61389,-7.6283,1,0.084375,19.68,12.445,5.0844
-0.32267,3.8152,0.069319,-0.6092,3.8222,0.068401,-0.61367,-7.6279,1,0.08775,19.68,12.445,5.0877
-0.32299,3.8157,0.071016,-0.60883,3.8227,0.070111,-0.61332,-7.6274,1,0.091125,19.68,12.445,5.0911
-0.32332,3.8163,0.072713,-0.60846,3.8232,0.07182,-0.61297,-7.6269,1,0.0945,19.68,12.445,5.0945
-0.32364,3.8168,0.07441,-0.60809,3.8237,0.07353,-0.61261,-7.6265,1,0.097875,19.68,12.445,5.0979
-0.32397,3.8173,0.076107,-0.60773,3.8242,0.075239,-0.61226,-7.626,1,0.10125,19.68,12.445,5.1013
-0.32429,3.8178,0.077804,-0.60736,3.8247,0.076949,-0.61191,-7.6255,1,0.10463,19.68,12.445,5.1046
-0.32468,3.8183,0.079895,-0.60696,3.8251,0.079052,-0.61152,-7.625,1,0.108,19.68,12.445,5.108
-0.32509,3.8187,0.082062,-0.60655,3.8255,0.08123,-0.61112,-7.6244,1,0.11137,19.68,12.445,5.1114
-0.32549,3.8191,0.084229,-0.60614,3.8259,0.083409,-0.61071,-7.6239,1,0.11475,19.68,12.445,5.1147
-0.3259,3.8195,0.086395,-0.60573,3.8263,0.085588,-0.61031,-7.6233,1,0.11812,19.68,12.445,5.1181
-0.3263,3.82,0.088562,-0.60532,3.8267,0.087766,-0.60991,-7.6228,1,0.1215,19.68,12.445,5.1215
