"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.10088,9.3381,0.1862,0.08785,9.339,0.18707,0.089932,7.6524,1,0,12.48,12.25,5
-0.1009,9.338,0.18619,0.08841,9.339,0.18706,0.090487,7.6535,1,0.0033751,12.48,12.25,5.0034
-0.10092,9.338,0.18618,0.088971,9.3389,0.18706,0.091043,7.6546,1,0.0067501,12.48,12.25,5.0068
-0.10094,9.3379,0.18616,0.089532,9.3389,0.18705,0.091598,7.6557,1,0.010125,12.48,12.25,5.0101
-0.10096,9.3378,0.18615,0.090092,9.3388,0.18705,0.092154,7.6568,1,0.0135,12.48,12.25,5.0135
-0.10098,9.3378,0.18614,0.090653,9.3388,0.18705,0.092709,7.6579,1,0.016875,12.48,12.25,5.0169
-0.101,9.3377,0.18612,0.091214,9.3387,0.18704,0.093265,7.659,1,0.02025,12.48,12.25,5.0202
-0.10102,9.3376,0.18611,0.091774,9.3387,0.18704,0.09382,7.6601,1,0.023625,12.48,12.25,5.0236
-0.10104,9.3376,0.1861,0.092335,9.3386,0.18704,0.094376,7.6612,1,0.027,12.48,12.25,5.027
-0.10106,9.3375,0.18609,0.092896,9.3385,0.18703,0.094932,7.6623,1,0.030375,12.48,12.25,5.0304
-0.10109,9.3374,0.18607,0.093457,9.3385,0.18703,0.095487,7.6634,1,0.03375,12.48,12.25,5.0338
-0.10111,9.3373,0.18606,0.094017,9.3384,0.18702,0.096043,7.6645,1,0.037125,12.48,12.25,5.0371
-0.10113,9.3373,0.18605,0.094578,9.3384,0.18702,0.096598,7.6656,1,0.0405,12.48,12.25,5.0405
-0.10115,9.3372,0.18603,0.095139,9.3383,0.18702,0.097154,7.6667,1,0.043875,12.48,12.25,5.0439
-0.10117,9.3371,0.18602,0.095699,9.3383,0.18701,0.097709,7.6678,1,0.04725,12.48,12.25,5.0472
-0.10119,9.3371,0.18601,0.09626,9.3382,0.18701,0.098265,7.6688,1,0.050625,12.48,12.25,5.0506
-0.10121,9.337,0.186,0.096821,9.3382,0.18701,0.09882,7.6699,1,0.054,12.48,12.25,5.054
-0.10123,9.3369,0.18598,0.097381,9.3381,0.187,0.099376,7.671,1,0.057375,12.48,12.25,5.0574
-0.10125,9.3369,0.18597,0.097942,9.3381,0.187,0.099932,7.6721,1,0.06075,12.48,12.25,5.0608
-0.10127,9.3368,0.18596,0.098503,9.338,0.18699,0.10049,7.6732,1,0.064125,12.48,12.25,5.0641
-0.10129,9.3367,0.18594,0.099065,9.338,0.18699,0.10104,7.6743,1,0.0675,12.48,12.25,5.0675
-0.10131,9.3367,0.18593,0.09963,9.3379,0.18699,0.10161,7.6752,1,0.070875,12.48,12.25,5.0709
-0.10132,9.3366,0.18592,0.10019,9.3379,0.18698,0.10217,7.6762,1,0.07425,12.48,12.25,5.0743
-0.10133,9.3365,0.1859,0.10076,9.3378,0.18698,0.10273,7.6772,1,0.077625,12.48,12.25,5.0776
-0.10135,9.3365,0.18589,0.10133,9.3378,0.18698,0.10329,7.6781,1,0.081,12.48,12.25,5.081
-0.10136,9.3364,0.18588,0.10189,9.3378,0.18697,0.10385,7.6791,1,0.084375,12.48,12.25,5.0844
-0.10138,9.3365,0.18586,0.10247,9.3378,0.18696,0.10442,7.6795,1,0.08775,12.48,12.25,5.0877
-0.10139,9.3366,0.18584,0.10305,9.3379,0.18694,0.10499,7.6798,1,0.091125,12.48,12.25,5.0911
-0.10141,9.3367,0.18581,0.10363,9.338,0.18693,0.10555,7.6801,1,0.0945,12.48,12.25,5.0945
-0.10143,9.3368,0.18579,0.10421,9.3381,0.18691,0.10612,7.6804,1,0.097875,12.48,12.25,5.0979
-0.10145,9.3369,0.18577,0.10479,9.3383,0.1869,0.10669,7.6807,1,0.10125,12.48,12.25,5.1013
-0.10146,9.337,0.18575,0.10538,9.3384,0.18688,0.10725,7.681,1,0.10463,12.48,12.25,5.1046
-0.10148,9.3371,0.18573,0.10596,9.3385,0.18686,0.10782,7.6813,1,0.108,12.48,12.25,5.108
-0.1015,9.3372,0.1857,0.10654,9.3386,0.18685,0.10838,7.6816,1,0.11137,12.48,12.25,5.1114
-0.10152,9.3373,0.18568,0.10712,9.3387,0.18683,0.10895,7.6819,1,0.11475,12.48,12.25,5.1147
-0.10153,9.3374,0.18566,0.1077,9.3388,0.18682,0.10952,7.6822,1,0.11812,12.48,12.25,5.1181
-0.10155,9.3375,0.18564,0.10828,9.3389,0.1868,0.11008,7.6825,1,0.1215,12.48,12.25,5.1215
