"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.10042,9.3221,0.15079,0.088698,9.3226,0.15142,0.090271,7.8735,1,0,12.48,12.055,5
-0.10043,9.322,0.15078,0.089263,9.3226,0.15142,0.090833,7.8745,1,0.0033751,12.48,12.055,5.0034
-0.10044,9.322,0.15077,0.089828,9.3225,0.15141,0.091395,7.8754,1,0.0067501,12.48,12.055,5.0068
-0.10046,9.3219,0.15075,0.090394,9.3225,0.15141,0.091957,7.8764,1,0.010125,12.48,12.055,5.0101
-0.10047,9.3218,0.15074,0.090959,9.3224,0.15141,0.092519,7.8774,1,0.0135,12.48,12.055,5.0135
-0.10049,9.3218,0.15072,0.091524,9.3224,0.1514,0.093081,7.8783,1,0.016875,12.48,12.055,5.0169
-0.1005,9.3217,0.15071,0.092089,9.3223,0.1514,0.093643,7.8793,1,0.02025,12.48,12.055,5.0202
-0.10051,9.3216,0.1507,0.092654,9.3223,0.1514,0.094205,7.8802,1,0.023625,12.48,12.055,5.0236
-0.10053,9.3216,0.15068,0.093219,9.3222,0.15139,0.094767,7.8812,1,0.027,12.48,12.055,5.027
-0.10054,9.3215,0.15067,0.093785,9.3222,0.15139,0.095329,7.8821,1,0.030375,12.48,12.055,5.0304
-0.10055,9.3215,0.15066,0.09435,9.3221,0.15138,0.095891,7.8831,1,0.03375,12.48,12.055,5.0338
-0.10057,9.3214,0.15064,0.094915,9.3221,0.15138,0.096453,7.8841,1,0.037125,12.48,12.055,5.0371
-0.10058,9.3213,0.15063,0.09548,9.322,0.15138,0.097015,7.885,1,0.0405,12.48,12.055,5.0405
-0.1006,9.3213,0.15062,0.096045,9.322,0.15137,0.097577,7.886,1,0.043875,12.48,12.055,5.0439
-0.10061,9.3212,0.1506,0.09661,9.3219,0.15137,0.098139,7.8869,1,0.04725,12.48,12.055,5.0472
-0.10062,9.3212,0.15059,0.097176,9.3219,0.15137,0.098701,7.8879,1,0.050625,12.48,12.055,5.0506
-0.10064,9.3211,0.15058,0.097741,9.3218,0.15136,0.099263,7.8889,1,0.054,12.48,12.055,5.054
-0.10065,9.321,0.15056,0.098306,9.3218,0.15136,0.099825,7.8898,1,0.057375,12.48,12.055,5.0574
-0.10066,9.321,0.15055,0.098871,9.3218,0.15136,0.10039,7.8908,1,0.06075,12.48,12.055,5.0608
-0.10068,9.3209,0.15054,0.099436,9.3217,0.15135,0.10095,7.8917,1,0.064125,12.48,12.055,5.0641
-0.10069,9.3209,0.15052,0.1,9.3217,0.15135,0.10151,7.8927,1,0.0675,12.48,12.055,5.0675
-0.1007,9.3208,0.15051,0.10057,9.3216,0.15134,0.10207,7.8937,1,0.070875,12.48,12.055,5.0709
-0.10072,9.3207,0.1505,0.10113,9.3216,0.15134,0.10263,7.8946,1,0.07425,12.48,12.055,5.0743
-0.10073,9.3207,0.15048,0.1017,9.3215,0.15134,0.1032,7.8956,1,0.077625,12.48,12.055,5.0776
-0.10075,9.3206,0.15047,0.10226,9.3215,0.15133,0.10376,7.8965,1,0.081,12.48,12.055,5.081
-0.10076,9.3206,0.15046,0.10283,9.3214,0.15133,0.10432,7.8975,1,0.084375,12.48,12.055,5.0844
