U:0,U:0,U:0,,,Points:2
14.427,13.109,13.235,13.59033333,0.920442488,5
14.543,13.17,13.339,13.684,0.926786319,5.0338
14.66,13.197,13.443,13.76666667,0.932385145,5.0675
14.574,13.1,13.458,13.71066667,0.928592392,5.1013
14.272,12.893,13.328,13.49766667,0.914166384,5.135
13.969,12.686,13.103,13.25266667,0.89757309,5.1687
13.666,12.478,12.877,13.007,0.880934643,5.2025
13.363,12.271,12.652,12.762,0.864341348,5.2362
13.06,12.064,12.427,12.517,0.847748053,5.27
12.757,11.894,12.201,12.284,0.831967491,5.3038
12.466,11.808,11.994,12.08933333,0.818783158,5.3375
12.248,11.662,11.892,11.934,0.808262784,5.3713
12.029,11.517,11.703,11.74966667,0.795778305,5.405
11.81,11.371,11.513,11.56466667,0.783248674,5.4387
11.591,11.225,11.323,11.37966667,0.770719043,5.4725
11.372,11.079,11.134,11.195,0.758211988,5.5062
11.153,10.934,10.944,11.01033333,0.745704933,5.54
10.934,10.87,10.754,10.85266667,0.735026527,5.5738
10.839,10.804,10.686,10.77633333,0.729856643,5.6075
10.771,10.737,10.637,10.715,0.725702675,5.6413
10.703,10.67,10.585,10.65266667,0.72148098,5.675
10.635,10.603,10.533,10.59033333,0.717259284,5.7087
10.567,10.535,10.481,10.52766667,0.713015013,5.7425
10.499,10.468,10.428,10.465,0.708770742,5.7762
10.432,10.413,10.376,10.407,0.704842533,5.81
10.372,10.364,10.328,10.35466667,0.701298115,5.8438
10.321,10.313,10.282,10.30533333,0.69795688,5.8775
10.271,10.262,10.234,10.25566667,0.694593069,5.9113
10.22,10.211,10.186,10.20566667,0.691206682,5.945
10.17,10.161,10.138,10.15633333,0.687865448,5.9788
10.119,10.11,10.091,10.10666667,0.684501637,6.0125
10.068,10.06,10.043,10.057,0.681137826,6.0462
10.019,10.013,9.9958,10.00926667,0.677904955,6.08
9.975,9.9697,9.9545,9.9664,0.675001693,6.1137
9.9312,9.926,9.9113,9.922833333,0.672051022,6.1475
9.8873,9.8822,9.8681,9.8792,0.669095835,6.1813
9.8434,9.8385,9.8249,9.8356,0.666142906,6.215
9.7996,9.7948,9.7817,9.792033333,0.663192234,6.2488
9.7557,9.7511,9.7385,9.748433333,0.660239305,6.2825
9.7118,9.7086,9.6953,9.705233333,0.657313467,6.3162
9.6831,9.6785,9.6711,9.677566667,0.655439666,6.35
9.6578,9.6513,9.6495,9.652866667,0.653766791,6.3837
9.6326,9.624,9.627,9.627866667,0.652073597,6.4175
9.6073,9.5968,9.6046,9.6029,0.650382662,6.4513
9.582,9.5695,9.5821,9.577866667,0.648687211,6.485
9.5567,9.5423,9.5597,9.5529,0.646996275,6.5188
9.5314,9.516,9.5373,9.528233333,0.645325658,6.5525
9.5129,9.4969,9.5213,9.510366667,0.644115589,6.5862
9.5017,9.4851,9.512,9.4996,0.643386387,6.62
9.4905,9.4734,9.5019,9.4886,0.642641382,6.6537
9.4793,9.4616,9.4918,9.477566667,0.641894119,6.6875
9.4681,9.4498,9.4817,9.466533333,0.641146856,6.7213
9.4568,9.438,9.4716,9.455466667,0.640397336,6.755
9.4456,9.4263,9.4615,9.444466667,0.639652331,6.7888
9.4469,9.4288,9.4672,9.447633333,0.639866802,6.8225
9.5196,9.5129,9.5636,9.532033333,0.645583023,6.8562
9.5924,9.5969,9.6396,9.609633333,0.650838695,6.89
9.6651,9.681,9.7155,9.6872,0.65609211,6.9237
9.7379,9.7651,9.7914,9.7648,0.661347782,6.9575
9.8107,9.8492,9.8673,9.8424,0.666603454,6.9913
9.8834,9.9332,9.9432,9.919933333,0.671854611,7.025
9.9562,10.038,10.019,10.0044,0.677575347,7.0588
10.198,10.289,10.276,10.25433333,0.694502766,7.0925
10.478,10.575,10.565,10.53933333,0.71380517,7.1262
10.759,10.86,10.85,10.823,0.733017271,7.16
11.039,11.145,11.135,11.10633333,0.752206795,7.1937
11.319,11.43,11.42,11.38966667,0.77139632,7.2275
11.6,11.715,11.705,11.67333333,0.790608421,7.2613
11.88,12.009,11.99,11.95966667,0.810001129,7.295
12.173,12.308,12.276,12.25233333,0.829822779,7.3288
12.481,12.608,12.57,12.553,0.850186251,7.3625
12.788,12.908,12.874,12.85666667,0.870752907,7.3962
13.095,13.207,13.178,13.16,0.891296986,7.43
13.403,13.507,13.482,13.464,0.911886217,7.4637
13.71,13.807,13.786,13.76766667,0.932452873,7.4975
14.017,14.102,14.09,14.06966667,0.952906649,7.5312
14.3,14.363,14.367,14.34333333,0.971441472,7.565
14.437,14.496,14.487,14.47333333,0.980246077,7.5988
14.574,14.628,14.62,14.60733333,0.989321594,7.6325
14.711,14.761,14.753,14.74166667,0.998419686,7.6663
14.848,14.894,14.886,14.876,1.007517779,7.7
14.985,15.027,15.019,15.01033333,1.016615871,7.7337
15.122,15.16,15.151,15.14433333,1.025691387,7.7675
15.26,15.281,15.284,15.275,1.034541145,7.8012
15.313,15.33,15.331,15.32466667,1.037904955,7.835
15.347,15.363,15.362,15.35733333,1.040117395,7.8688
15.381,15.395,15.395,15.39033333,1.04235241,7.9025
15.415,15.428,15.427,15.42333333,1.044587425,7.9363
15.45,15.461,15.459,15.45666667,1.046845016,7.97
15.484,15.493,15.492,15.48966667,1.049080032,8.0037
15.518,15.523,15.524,15.52166667,1.051247319,8.0375
15.536,15.537,15.54,15.53766667,1.052330963,8.0712
