"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.1259,0.34846,0.32582,4.5304,0.33031,0.15046,1,6.4224,14.102,11.445,6.845
4.0976,0.36046,0.29737,4.5346,0.3269,0.12221,1,6.5228,14.203,11.445,6.845
4.0676,0.37114,0.26991,4.5415,0.32334,0.095364,1,6.6231,14.303,11.445,6.845
4.0376,0.37906,0.24426,4.552,0.32015,0.07033,1,6.7235,14.403,11.445,6.845
4.0044,0.38472,0.22089,4.566,0.31629,0.047083,1,6.8238,14.504,11.445,6.845
3.9707,0.38821,0.19941,4.5822,0.31239,0.024952,1,6.9241,14.604,11.445,6.845
3.9383,0.38942,0.18037,4.601,0.30891,0.0042318,1,7.0245,14.705,11.445,6.845
3.9048,0.38791,0.1646,4.6231,0.30494,-0.014977,1,7.1248,14.805,11.445,6.845
3.8723,0.38502,0.15064,4.6469,0.30099,-0.033364,1,7.2252,14.905,11.445,6.845
3.8418,0.3813,0.13929,4.673,0.29747,-0.050579,1,7.3256,15.006,11.445,6.845
3.8125,0.37591,0.13048,4.7017,0.29359,-0.066721,1,7.4259,15.106,11.445,6.845
3.7845,0.37051,0.1229,4.7315,0.28993,-0.082299,1,7.5263,15.206,11.445,6.845
3.7589,0.3648,0.11771,4.7639,0.28633,-0.096779,1,7.6266,15.307,11.445,6.845
3.7348,0.35887,0.11347,4.798,0.2826,-0.11065,1,7.727,15.407,11.445,6.845
3.7119,0.3538,0.11021,4.833,0.27921,-0.12405,1,7.8273,15.507,11.445,6.845
3.6915,0.34879,0.10791,4.8706,0.27557,-0.13652,1,7.9276,15.608,11.445,6.845
3.6719,0.34424,0.1058,4.9091,0.27196,-0.14868,1,8.028,15.708,11.445,6.845
3.6537,0.34094,0.10429,4.9489,0.26864,-0.16025,1,8.1283,15.808,11.445,6.845
3.637,0.33795,0.1026,4.9905,0.26506,-0.17132,1,8.2287,15.909,11.445,6.845
3.6208,0.33581,0.10115,5.0325,0.26173,-0.18213,1,8.3291,16.009,11.445,6.845
3.6064,0.33441,0.099257,5.0768,0.25815,-0.19228,1,8.4294,16.109,11.445,6.845
3.5924,0.33346,0.097364,5.1215,0.25465,-0.20226,1,8.5297,16.21,11.445,6.845
3.5798,0.33339,0.095171,5.1677,0.25115,-0.21174,1,8.6301,16.31,11.445,6.845
3.5678,0.33362,0.092731,5.2149,0.2475,-0.22096,1,8.7304,16.41,11.445,6.845
3.5567,0.33445,0.090193,5.2628,0.24401,-0.22991,1,8.8308,16.511,11.445,6.845
3.5465,0.33561,0.087387,5.3122,0.24026,-0.23847,1,8.9312,16.611,11.445,6.845
3.5369,0.33707,0.084581,5.3618,0.23668,-0.24691,1,9.0315,16.712,11.445,6.845
3.5285,0.33887,0.081739,5.4133,0.23281,-0.25493,1,9.1318,16.812,11.445,6.845
3.5203,0.3408,0.078936,5.4646,0.22911,-0.26292,1,9.2322,16.912,11.445,6.845
3.5134,0.343,0.076568,5.5179,0.2251,-0.27048,1,9.3326,17.013,11.445,6.845
3.5066,0.34525,0.074342,5.5713,0.22117,-0.27802,1,9.4329,17.113,11.445,6.845
3.5007,0.34762,0.072784,5.6259,0.21713,-0.28529,1,9.5332,17.213,11.445,6.845
3.495,0.34997,0.071601,5.6812,0.21298,-0.29248,1,9.6336,17.314,11.445,6.845
3.4898,0.3523,0.071042,5.7372,0.20887,-0.29952,1,9.7339,17.414,11.445,6.845
3.4848,0.35451,0.071007,5.7941,0.20456,-0.30648,1,9.8343,17.514,11.445,6.845
3.4802,0.35657,0.071509,5.8515,0.20034,-0.31335,1,9.9347,17.615,11.445,6.845
3.4758,0.35847,0.072506,5.91,0.1959,-0.32015,1,10.035,17.715,11.445,6.845
