"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.24139,3.2535,-0.0077092,-0.65589,3.2616,-0.0058121,-0.66095,-8.8512,1,0,19.68,12.445,5
-0.24195,3.2565,-0.0057465,-0.65631,3.2645,-0.003847,-0.66136,-8.8512,1,0.0033751,19.68,12.445,5.0034
-0.2425,3.2595,-0.0037838,-0.65673,3.2675,-0.0018818,-0.66177,-8.8511,1,0.0067501,19.68,12.445,5.0068
-0.24306,3.2625,-0.0018211,-0.65714,3.2704,8.3293e-05,-0.66218,-8.851,1,0.010125,19.68,12.445,5.0101
-0.24361,3.2655,0.00014166,-0.65756,3.2733,0.0020484,-0.66259,-8.851,1,0.0135,19.68,12.445,5.0135
-0.24417,3.2685,0.0021041,-0.65798,3.2762,0.0040133,-0.663,-8.8509,1,0.016875,19.68,12.445,5.0169
-0.24472,3.2714,0.0040668,-0.6584,3.2791,0.0059784,-0.66341,-8.8508,1,0.02025,19.68,12.445,5.0202
-0.24527,3.2744,0.0060295,-0.65882,3.282,0.0079435,-0.66382,-8.8508,1,0.023625,19.68,12.445,5.0236
-0.24583,3.2774,0.0079922,-0.65924,3.285,0.0099087,-0.66424,-8.8507,1,0.027,19.68,12.445,5.027
-0.24638,3.2804,0.0099549,-0.65966,3.2879,0.011874,-0.66465,-8.8506,1,0.030375,19.68,12.445,5.0304
-0.24694,3.2834,0.011918,-0.66007,3.2908,0.013839,-0.66506,-8.8505,1,0.03375,19.68,12.445,5.0338
-0.24749,3.2864,0.01388,-0.66049,3.2937,0.015804,-0.66547,-8.8505,1,0.037125,19.68,12.445,5.0371
-0.24805,3.2894,0.015843,-0.66091,3.2966,0.017769,-0.66588,-8.8504,1,0.0405,19.68,12.445,5.0405
-0.2486,3.2924,0.017806,-0.66133,3.2995,0.019734,-0.66629,-8.8503,1,0.043875,19.68,12.445,5.0439
-0.24916,3.2954,0.019768,-0.66175,3.3024,0.021699,-0.6667,-8.8503,1,0.04725,19.68,12.445,5.0472
-0.24971,3.2984,0.021731,-0.66217,3.3054,0.023664,-0.66711,-8.8502,1,0.050625,19.68,12.445,5.0506
-0.25027,3.3014,0.023694,-0.66259,3.3083,0.025629,-0.66752,-8.8501,1,0.054,19.68,12.445,5.054
-0.25082,3.3044,0.025656,-0.663,3.3112,0.027595,-0.66793,-8.8501,1,0.057375,19.68,12.445,5.0574
-0.25137,3.3074,0.027619,-0.66342,3.3141,0.02956,-0.66834,-8.85,1,0.06075,19.68,12.445,5.0608
-0.25193,3.3104,0.029582,-0.66384,3.317,0.031525,-0.66875,-8.8499,1,0.064125,19.68,12.445,5.0641
-0.25248,3.3134,0.031544,-0.66426,3.3199,0.03349,-0.66916,-8.8499,1,0.0675,19.68,12.445,5.0675
-0.25304,3.3163,0.033507,-0.66468,3.3229,0.035455,-0.66958,-8.8498,1,0.070875,19.68,12.445,5.0709
-0.25359,3.3193,0.03547,-0.6651,3.3258,0.03742,-0.66999,-8.8497,1,0.07425,19.68,12.445,5.0743
-0.25415,3.3223,0.037432,-0.66552,3.3287,0.039385,-0.6704,-8.8497,1,0.077625,19.68,12.445,5.0776
-0.2547,3.3253,0.039395,-0.66594,3.3316,0.04135,-0.67081,-8.8496,1,0.081,19.68,12.445,5.081
-0.25526,3.3283,0.041358,-0.66635,3.3345,0.043315,-0.67122,-8.8495,1,0.084375,19.68,12.445,5.0844
-0.25576,3.3296,0.043261,-0.66622,3.3357,0.045212,-0.67106,-8.8491,1,0.08775,19.68,12.445,5.0877
-0.25626,3.3304,0.045151,-0.66597,3.3365,0.047092,-0.67078,-8.8487,1,0.091125,19.68,12.445,5.0911
-0.25675,3.3313,0.047042,-0.66571,3.3373,0.048973,-0.6705,-8.8482,1,0.0945,19.68,12.445,5.0945
-0.25724,3.3322,0.048932,-0.66546,3.3381,0.050853,-0.67022,-8.8478,1,0.097875,19.68,12.445,5.0979
