"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.78566,8.2873,0.56906,0.14051,8.2981,0.57526,0.15798,16.698,1,0,13.38,12.445,5
-0.78604,8.2871,0.569,0.14205,8.298,0.57524,0.15946,16.703,1,0.0033751,13.38,12.445,5.0034
-0.78643,8.2869,0.56893,0.14359,8.298,0.57522,0.16094,16.708,1,0.0067501,13.38,12.445,5.0068
-0.78681,8.2867,0.56887,0.14513,8.2979,0.5752,0.16243,16.713,1,0.010125,13.38,12.445,5.0101
-0.7872,8.2865,0.56881,0.14667,8.2979,0.57518,0.16391,16.718,1,0.0135,13.38,12.445,5.0135
-0.78758,8.2863,0.56874,0.14822,8.2978,0.57516,0.16539,16.723,1,0.016875,13.38,12.445,5.0169
-0.78796,8.2861,0.56868,0.14976,8.2978,0.57515,0.16687,16.729,1,0.02025,13.38,12.445,5.0202
-0.78835,8.2859,0.56862,0.1513,8.2977,0.57513,0.16836,16.734,1,0.023625,13.38,12.445,5.0236
-0.78873,8.2857,0.56855,0.15284,8.2977,0.57511,0.16984,16.739,1,0.027,13.38,12.445,5.027
-0.78912,8.2855,0.56849,0.15438,8.2976,0.57509,0.17132,16.744,1,0.030375,13.38,12.445,5.0304
-0.7895,8.2853,0.56842,0.15592,8.2976,0.57507,0.17281,16.749,1,0.03375,13.38,12.445,5.0338
-0.78988,8.2851,0.56836,0.15746,8.2975,0.57505,0.17429,16.754,1,0.037125,13.38,12.445,5.0371
-0.79027,8.2849,0.5683,0.159,8.2975,0.57504,0.17577,16.759,1,0.0405,13.38,12.445,5.0405
-0.79065,8.2848,0.56823,0.16054,8.2974,0.57502,0.17725,16.764,1,0.043875,13.38,12.445,5.0439
-0.79104,8.2846,0.56817,0.16209,8.2974,0.575,0.17874,16.769,1,0.04725,13.38,12.445,5.0472
-0.79142,8.2844,0.56811,0.16363,8.2973,0.57498,0.18022,16.775,1,0.050625,13.38,12.445,5.0506
-0.7918,8.2842,0.56804,0.16517,8.2973,0.57496,0.1817,16.78,1,0.054,13.38,12.445,5.054
-0.79219,8.284,0.56798,0.16671,8.2972,0.57494,0.18319,16.785,1,0.057375,13.38,12.445,5.0574
-0.79257,8.2838,0.56791,0.16825,8.2972,0.57493,0.18467,16.79,1,0.06075,13.38,12.445,5.0608
-0.79296,8.2836,0.56785,0.16979,8.2971,0.57491,0.18615,16.795,1,0.064125,13.38,12.445,5.0641
-0.79334,8.2834,0.56779,0.17133,8.2971,0.57489,0.18763,16.8,1,0.0675,13.38,12.445,5.0675
