"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.4234,4.3975,-0.030085,-0.67948,4.3986,-0.026619,-0.68492,-7.6008,1,0,19.68,12.25,5
-0.4242,4.4,-0.027751,-0.68004,4.4011,-0.024281,-0.68547,-7.6009,1,0.0033751,19.68,12.25,5.0034
-0.425,4.4025,-0.025417,-0.6806,4.4035,-0.021944,-0.68602,-7.6009,1,0.0067501,19.68,12.25,5.0068
-0.42579,4.405,-0.023083,-0.68115,4.406,-0.019606,-0.68656,-7.6009,1,0.010125,19.68,12.25,5.0101
-0.42659,4.4075,-0.02075,-0.68171,4.4085,-0.017268,-0.68711,-7.601,1,0.0135,19.68,12.25,5.0135
-0.42739,4.41,-0.018416,-0.68227,4.411,-0.014931,-0.68766,-7.601,1,0.016875,19.68,12.25,5.0169
-0.42819,4.4125,-0.016082,-0.68282,4.4134,-0.012593,-0.68821,-7.601,1,0.02025,19.68,12.25,5.0202
-0.42899,4.415,-0.013749,-0.68338,4.4159,-0.010256,-0.68875,-7.601,1,0.023625,19.68,12.25,5.0236
-0.42978,4.4176,-0.011415,-0.68394,4.4184,-0.0079178,-0.6893,-7.6011,1,0.027,19.68,12.25,5.027
-0.43058,4.4201,-0.009081,-0.6845,4.4208,-0.0055801,-0.68985,-7.6011,1,0.030375,19.68,12.25,5.0304
-0.43138,4.4226,-0.0067472,-0.68505,4.4233,-0.0032424,-0.6904,-7.6011,1,0.03375,19.68,12.25,5.0338
-0.43218,4.4251,-0.0044134,-0.68561,4.4258,-0.00090472,-0.69094,-7.6012,1,0.037125,19.68,12.25,5.0371
-0.43297,4.4276,-0.0020795,-0.68617,4.4282,0.001433,-0.69149,-7.6012,1,0.0405,19.68,12.25,5.0405
-0.43377,4.4301,0.00025426,-0.68672,4.4307,0.0037707,-0.69204,-7.6012,1,0.043875,19.68,12.25,5.0439
-0.43457,4.4326,0.0025877,-0.68728,4.4332,0.006108,-0.69258,-7.6012,1,0.04725,19.68,12.25,5.0472
-0.43537,4.4351,0.0049216,-0.68784,4.4357,0.0084457,-0.69313,-7.6013,1,0.050625,19.68,12.25,5.0506
-0.43616,4.4376,0.0072554,-0.68839,4.4381,0.010783,-0.69368,-7.6013,1,0.054,19.68,12.25,5.054
-0.43696,4.4401,0.0095892,-0.68895,4.4406,0.013121,-0.69423,-7.6013,1,0.057375,19.68,12.25,5.0574
-0.43776,4.4426,0.011923,-0.68951,4.4431,0.015459,-0.69477,-7.6014,1,0.06075,19.68,12.25,5.0608
-0.43856,4.4451,0.014257,-0.69007,4.4455,0.017797,-0.69532,-7.6014,1,0.064125,19.68,12.25,5.0641
-0.43919,4.4476,0.016747,-0.69066,4.448,0.020291,-0.69591,-7.6015,1,0.0675,19.68,12.25,5.0675
-0.43934,4.45,0.019713,-0.69138,4.4504,0.023262,-0.69662,-7.6017,1,0.070875,19.68,12.25,5.0709
-0.43949,4.4524,0.02268,-0.6921,4.4527,0.026233,-0.69733,-7.602,1,0.07425,19.68,12.25,5.0743
-0.43963,4.4548,0.025646,-0.69282,4.4551,0.029204,-0.69804,-7.6023,1,0.077625,19.68,12.25,5.0776
-0.43978,4.4572,0.028612,-0.69353,4.4575,0.032175,-0.69874,-7.6026,1,0.081,19.68,12.25,5.081
-0.43993,4.4596,0.031579,-0.69425,4.4599,0.035147,-0.69945,-7.6028,1,0.084375,19.68,12.25,5.0844
-0.44017,4.4602,0.034412,-0.69397,4.4604,0.037976,-0.69916,-7.6024,1,0.08775,19.68,12.25,5.0877
-0.44043,4.4604,0.037214,-0.69347,4.4606,0.040774,-0.69864,-7.6018,1,0.091125,19.68,12.25,5.0911
-0.44069,4.4606,0.040016,-0.69297,4.4607,0.043571,-0.69813,-7.6012,1,0.0945,19.68,12.25,5.0945
-0.44095,4.4609,0.042818,-0.69246,4.4609,0.046369,-0.69761,-7.6006,1,0.097875,19.68,12.25,5.0979
-0.44121,4.4611,0.04562,-0.69196,4.4611,0.049166,-0.69709,-7.6,1,0.10125,19.68,12.25,5.1013
-0.44147,4.4613,0.048423,-0.69146,4.4612,0.051964,-0.69657,-7.5994,1,0.10463,19.68,12.25,5.1046
-0.44173,4.4615,0.051224,-0.69095,4.4614,0.054761,-0.69605,-7.5988,1,0.108,19.68,12.25,5.108
-0.44199,4.4617,0.054027,-0.69045,4.4615,0.057558,-0.69553,-7.5982,1,0.11137,19.68,12.25,5.1114
-0.44225,4.4619,0.056829,-0.68995,4.4617,0.060356,-0.69502,-7.5976,1,0.11475,19.68,12.25,5.1147
-0.44251,4.4621,0.059631,-0.68944,4.4619,0.063153,-0.6945,-7.597,1,0.11812,19.68,12.25,5.1181
-0.44277,4.4623,0.062433,-0.68894,4.462,0.065951,-0.69398,-7.5964,1,0.1215,19.68,12.25,5.1215
-0.44303,4.4625,0.065235,-0.68843,4.4622,0.068748,-0.69346,-7.5958,1,0.12488,19.68,12.25,5.1249
-0.44329,4.4627,0.068037,-0.68793,4.4623,0.071546,-0.69294,-7.5953,1,0.12825,19.68,12.25,5.1283
-0.44355,4.4629,0.07084,-0.68743,4.4625,0.074343,-0.69243,-7.5947,1,0.13163,19.68,12.25,5.1316
-0.44381,4.4631,0.073642,-0.68692,4.4627,0.07714,-0.69191,-7.5941,1,0.135,19.68,12.25,5.135
-0.44407,4.4633,0.076444,-0.68642,4.4628,0.079938,-0.69139,-7.5935,1,0.13837,19.68,12.25,5.1384
-0.44433,4.4636,0.079246,-0.68592,4.463,0.082735,-0.69087,-7.5929,1,0.14175,19.68,12.25,5.1417
-0.44459,4.4638,0.082048,-0.68541,4.4631,0.085532,-0.69035,-7.5923,1,0.14512,19.68,12.25,5.1451
-0.44486,4.464,0.08485,-0.68491,4.4633,0.08833,-0.68983,-7.5917,1,0.1485,19.68,12.25,5.1485
-0.44512,4.4642,0.087652,-0.68441,4.4635,0.091127,-0.68932,-7.5911,1,0.15188,19.68,12.25,5.1519
-0.44538,4.4644,0.090455,-0.6839,4.4636,0.093925,-0.6888,-7.5905,1,0.15525,19.68,12.25,5.1553
