"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.1907,8.5411,0.3726,-1.3016,8.5069,0.39559,-1.2877,-19.428,1,0,16.53,12.445,5
-2.193,8.5416,0.37632,-1.3009,8.5073,0.39934,-1.2872,-19.41,1,0.0033751,16.53,12.445,5.0034
-2.1952,8.5421,0.38004,-1.3001,8.5076,0.4031,-1.2867,-19.393,1,0.0067501,16.53,12.445,5.0068
-2.1974,8.5426,0.38376,-1.2994,8.508,0.40686,-1.2862,-19.375,1,0.010125,16.53,12.445,5.0101
-2.1996,8.5431,0.38748,-1.2986,8.5084,0.41062,-1.2857,-19.357,1,0.0135,16.53,12.445,5.0135
-2.2019,8.5436,0.3912,-1.2979,8.5087,0.41437,-1.2853,-19.339,1,0.016875,16.53,12.445,5.0169
-2.2041,8.5441,0.39492,-1.2971,8.5091,0.41813,-1.2848,-19.321,1,0.02025,16.53,12.445,5.0202
-2.2063,8.5445,0.39864,-1.2964,8.5095,0.42189,-1.2843,-19.304,1,0.023625,16.53,12.445,5.0236
-2.2086,8.545,0.40236,-1.2956,8.5099,0.42565,-1.2838,-19.286,1,0.027,16.53,12.445,5.027
-2.2108,8.5455,0.40608,-1.2949,8.5102,0.4294,-1.2834,-19.268,1,0.030375,16.53,12.445,5.0304
-2.213,8.546,0.4098,-1.2941,8.5106,0.43316,-1.2829,-19.25,1,0.03375,16.53,12.445,5.0338
-2.2153,8.5465,0.41352,-1.2934,8.511,0.43692,-1.2824,-19.232,1,0.037125,16.53,12.445,5.0371
-2.2175,8.547,0.41724,-1.2926,8.5113,0.44068,-1.2819,-19.215,1,0.0405,16.53,12.445,5.0405
-2.2197,8.5475,0.42096,-1.2919,8.5117,0.44443,-1.2814,-19.197,1,0.043875,16.53,12.445,5.0439
-2.2219,8.548,0.42468,-1.2911,8.5121,0.44819,-1.281,-19.179,1,0.04725,16.53,12.445,5.0472
-2.2242,8.5485,0.4284,-1.2904,8.5125,0.45195,-1.2805,-19.161,1,0.050625,16.53,12.445,5.0506
-2.2264,8.549,0.43212,-1.2896,8.5128,0.45571,-1.28,-19.143,1,0.054,16.53,12.445,5.054
-2.2286,8.5495,0.43584,-1.2889,8.5132,0.45946,-1.2795,-19.126,1,0.057375,16.53,12.445,5.0574
-2.2309,8.55,0.43956,-1.2881,8.5136,0.46322,-1.2791,-19.108,1,0.06075,16.53,12.445,5.0608
-2.2331,8.5505,0.44328,-1.2874,8.5139,0.46698,-1.2786,-19.09,1,0.064125,16.53,12.445,5.0641
-2.2353,8.551,0.447,-1.2866,8.5143,0.47074,-1.2781,-19.072,1,0.0675,16.53,12.445,5.0675
-2.2375,8.5515,0.45072,-1.2859,8.5147,0.47449,-1.2776,-19.055,1,0.070875,16.53,12.445,5.0709
-2.2398,8.552,0.45445,-1.2851,8.5151,0.47825,-1.2771,-19.037,1,0.07425,16.53,12.445,5.0743
-2.242,8.5525,0.45817,-1.2844,8.5154,0.48201,-1.2767,-19.019,1,0.077625,16.53,12.445,5.0776
-2.2442,8.553,0.46189,-1.2836,8.5158,0.48577,-1.2762,-19.001,1,0.081,16.53,12.445,5.081
-2.2465,8.5535,0.46561,-1.2829,8.5162,0.48952,-1.2757,-18.983,1,0.084375,16.53,12.445,5.0844
-2.2465,8.5533,0.4688,-1.281,8.516,0.49273,-1.2741,-18.962,1,0.08775,16.53,12.445,5.0877
-2.246,8.553,0.47187,-1.2789,8.5158,0.49582,-1.2723,-18.94,1,0.091125,16.53,12.445,5.0911
-2.2454,8.5527,0.47495,-1.2768,8.5155,0.4989,-1.2704,-18.917,1,0.0945,16.53,12.445,5.0945
-2.2449,8.5524,0.47802,-1.2747,8.5153,0.50199,-1.2686,-18.895,1,0.097875,16.53,12.445,5.0979
-2.2444,8.5521,0.48109,-1.2726,8.515,0.50507,-1.2667,-18.872,1,0.10125,16.53,12.445,5.1013
-2.2439,8.5518,0.48417,-1.2705,8.5147,0.50816,-1.2649,-18.85,1,0.10463,16.53,12.445,5.1046
-2.2438,8.5514,0.48804,-1.2682,8.5143,0.51205,-1.2628,-18.829,1,0.108,16.53,12.445,5.108
-2.2438,8.5509,0.49206,-1.2658,8.5139,0.51609,-1.2608,-18.807,1,0.11137,16.53,12.445,5.1114
-2.2437,8.5505,0.49608,-1.2635,8.5135,0.52014,-1.2587,-18.786,1,0.11475,16.53,12.445,5.1147
-2.2437,8.55,0.5001,-1.2612,8.513,0.52418,-1.2566,-18.764,1,0.11812,16.53,12.445,5.1181
-2.2436,8.5495,0.50412,-1.2588,8.5126,0.52823,-1.2545,-18.743,1,0.1215,16.53,12.445,5.1215
-2.2436,8.5491,0.50814,-1.2565,8.5122,0.53227,-1.2525,-18.722,1,0.12488,16.53,12.445,5.1249
-2.2436,8.5486,0.51216,-1.2542,8.5118,0.53632,-1.2504,-18.7,1,0.12825,16.53,12.445,5.1283
-2.2435,8.5482,0.51619,-1.2518,8.5113,0.54036,-1.2483,-18.679,1,0.13163,16.53,12.445,5.1316
-2.2435,8.5477,0.52021,-1.2495,8.5109,0.54441,-1.2462,-18.657,1,0.135,16.53,12.445,5.135
-2.2434,8.5473,0.52423,-1.2471,8.5105,0.54845,-1.2442,-18.636,1,0.13837,16.53,12.445,5.1384
-2.2434,8.5468,0.52825,-1.2448,8.51,0.5525,-1.2421,-18.615,1,0.14175,16.53,12.445,5.1417
-2.2433,8.5463,0.53227,-1.2425,8.5096,0.55654,-1.24,-18.593,1,0.14512,16.53,12.445,5.1451
-2.2433,8.5459,0.53629,-1.2401,8.5092,0.56059,-1.2379,-18.572,1,0.1485,16.53,12.445,5.1485
-2.2433,8.5454,0.54031,-1.2378,8.5087,0.56463,-1.2359,-18.551,1,0.15188,16.53,12.445,5.1519
-2.2432,8.545,0.54433,-1.2355,8.5083,0.56868,-1.2338,-18.529,1,0.15525,16.53,12.445,5.1553
-2.2432,8.5445,0.54835,-1.2331,8.5079,0.57272,-1.2317,-18.508,1,0.15863,16.53,12.445,5.1586
-2.2431,8.5441,0.55238,-1.2308,8.5075,0.57677,-1.2296,-18.486,1,0.162,16.53,12.445,5.162
