"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.7091,0.1965,0.55702,5.2164,0.22684,0.34198,1,2.1262,13.53,11.25,7.1262
4.9287,0.18698,0.57029,5.466,0.21586,0.34571,1,2.16,13.53,11.25,7.16
5.1482,0.17746,0.58356,5.7156,0.20488,0.34943,1,2.1937,13.53,11.25,7.1937
5.3677,0.16794,0.59683,5.9652,0.1939,0.35316,1,2.2275,13.53,11.25,7.2275
5.5872,0.15842,0.61009,6.2148,0.18291,0.35689,1,2.2613,13.53,11.25,7.2613
5.8068,0.1489,0.62336,6.4644,0.17193,0.36061,1,2.295,13.53,11.25,7.295
6.0776,0.13934,0.6438,6.7487,0.16062,0.3723,1,2.3288,13.53,11.25,7.3288
6.4037,0.12974,0.67197,7.0705,0.14896,0.39255,1,2.3625,13.53,11.25,7.3625
6.7298,0.12014,0.70014,7.3922,0.1373,0.41281,1,2.3962,13.53,11.25,7.3962
7.0559,0.11053,0.7283,7.714,0.12563,0.43306,1,2.43,13.53,11.25,7.43
7.382,0.10093,0.75647,8.0357,0.11397,0.45332,1,2.4637,13.53,11.25,7.4637
7.7081,0.091329,0.78463,8.3574,0.10231,0.47357,1,2.4975,13.53,11.25,7.4975
8.0342,0.081727,0.8128,8.6792,0.090642,0.49383,1,2.5312,13.53,11.25,7.5312
8.3426,0.072602,0.83895,8.9789,0.079671,0.51254,1,2.565,13.53,11.25,7.565
8.5489,0.066219,0.85354,9.1517,0.072675,0.52233,1,2.5988,13.53,11.25,7.5988
8.7551,0.059837,0.86813,9.3245,0.065679,0.53212,1,2.6325,13.53,11.25,7.6325
8.9614,0.053454,0.88272,9.4974,0.058683,0.54191,1,2.6663,13.53,11.25,7.6663
9.1677,0.047072,0.89731,9.6702,0.051687,0.55171,1,2.7,13.53,11.25,7.7
9.374,0.040689,0.9119,9.843,0.044691,0.5615,1,2.7337,13.53,11.25,7.7337
9.5803,0.034307,0.92649,10.016,0.037695,0.57129,1,2.7675,13.53,11.25,7.7675
9.7866,0.027924,0.94108,10.189,0.030698,0.58109,1,2.8012,13.53,11.25,7.8012
9.8936,0.024455,0.94363,10.268,0.027215,0.58332,1,2.835,13.53,11.25,7.835
9.978,0.021647,0.94344,10.325,0.024529,0.58384,1,2.8688,13.53,11.25,7.8688
10.062,0.01884,0.94325,10.383,0.021844,0.58436,1,2.9025,13.53,11.25,7.9025
10.147,0.016032,0.94306,10.44,0.019158,0.58488,1,2.9363,13.53,11.25,7.9363
10.231,0.013225,0.94287,10.498,0.016473,0.5854,1,2.97,13.53,11.25,7.97
10.316,0.010417,0.94268,10.555,0.013787,0.58592,1,3.0037,13.53,11.25,8.0037
10.4,0.0076095,0.94249,10.613,0.011102,0.58644,1,3.0375,13.53,11.25,8.0375
10.454,0.0057209,0.93829,10.646,0.0092829,0.58408,1,3.0712,13.53,11.25,8.0712
10.474,0.0048219,0.92978,10.653,0.0083969,0.5786,1,3.105,13.53,11.25,8.105
10.495,0.0039229,0.92128,10.66,0.007511,0.57312,1,3.1388,13.53,11.25,8.1388
10.516,0.0030239,0.91277,10.667,0.006625,0.56765,1,3.1725,13.53,11.25,8.1725
10.536,0.0021249,0.90426,10.674,0.0057391,0.56217,1,3.2063,13.53,11.25,8.2063
10.557,0.0012259,0.89576,10.681,0.0048531,0.55669,1,3.24,13.53,11.25,8.24
10.577,0.00032692,0.88725,10.688,0.0039671,0.55121,1,3.2738,13.53,11.25,8.2738
10.595,-0.00045885,0.87839,10.693,0.003181,0.54554,1,3.3075,13.53,11.25,8.3075
10.592,-0.00059363,0.8675,10.685,0.0029688,0.5387,1,3.3413,13.53,11.25,8.3413
10.59,-0.0007284,0.85661,10.677,0.0027566,0.53187,1,3.375,13.53,11.25,8.375
