U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0,0,0,0,1,0,12.48,11.25,0
21.77,0.906214877,-0.0095173,0.016297,1,0.1175,12.48,11.25,0.1175
22.482,0.935853141,0.0048354,0.01234,1,0.235,12.48,11.25,0.235
22.481,0.935811514,0.0069553,0.0025224,1,0.3525,12.48,11.25,0.3525
22.517,0.937310078,0.002722,-0.0048873,1,0.47,12.48,11.25,0.47
22.52,0.937434958,-0.0068157,-0.012068,1,0.5875,12.48,11.25,0.5875
22.492,0.936269408,0.0077319,-0.019383,1,0.705,12.48,11.25,0.705
22.473,0.9354785,0.0077364,-0.026518,1,0.8225,12.48,11.25,0.8225
22.506,0.936852183,-0.006873,-0.033827,1,0.94,12.48,11.25,0.94
22.562,0.939183283,0.0080924,-0.036676,1,1.0575,12.48,11.25,1.0575
22.484,0.935936394,0.0010719,-0.044627,1,1.175,12.48,11.25,1.175
22.464,0.935103859,-0.0018495,-0.04782,1,1.2925,12.48,11.25,1.2925
22.451,0.934562711,-0.0035875,-0.052779,1,1.41,12.48,11.25,1.41
22.449,0.934479457,-0.0028011,-0.061505,1,1.5275,12.48,11.25,1.5275
22.443,0.934229697,-0.0022099,-0.068906,1,1.645,12.48,11.25,1.645
22.426,0.933522041,-0.0023412,-0.0714,1,1.7625,12.48,11.25,1.7625
22.41,0.932856013,-0.0024241,-0.074248,1,1.88,12.48,11.25,1.88
22.399,0.932398118,-0.0021003,-0.08007,1,1.9975,12.48,11.25,1.9975
22.389,0.931981851,-0.0017764,-0.085891,1,2.115,12.48,11.25,2.115
22.366,0.931024435,-0.0014839,-0.087125,1,2.2325,12.48,11.25,2.2325
22.342,0.930025392,-0.0011913,-0.088359,1,2.35,12.48,11.25,2.35
22.341,0.929983766,-0.00058276,-0.090462,1,2.4675,12.48,11.25,2.4675
22.342,0.930025392,6.34E-05,-0.092669,1,2.585,12.48,11.25,2.585
22.32,0.929109603,4.25E-07,-0.092162,1,2.7025,12.48,11.25,2.7025
22.291,0.927902427,-0.00025428,-0.090921,1,2.82,12.48,11.25,2.82
22.285,0.927652666,9.52E-05,-0.088846,1,2.9375,12.48,11.25,2.9375
22.288,0.927777547,0.00072801,-0.086379,1,3.055,12.48,11.25,3.055
22.272,0.927111518,0.0014686,-0.082377,1,3.1725,12.48,11.25,3.1725
22.241,0.925821088,0.002289,-0.077237,1,3.29,12.48,11.25,3.29
22.222,0.925030179,0.0027915,-0.070769,1,3.4075,12.48,11.25,3.4075
22.217,0.924822046,0.0029326,-0.062789,1,3.525,12.48,11.25,3.525
22.206,0.924364151,0.0029975,-0.053824,1,3.6425,12.48,11.25,3.6425
22.184,0.923448362,0.0029278,-0.043118,1,3.76,12.48,11.25,3.76
22.168,0.922782334,0.002868,-0.031779,1,3.8775,12.48,11.25,3.8775
22.173,0.922990467,0.0028371,-0.018595,1,3.995,12.48,11.25,3.995
22.173,0.922990467,0.0027335,-0.0048081,1,4.1125,12.48,11.25,4.1125
22.143,0.921741664,0.0022139,0.012418,1,4.23,12.48,11.25,4.23
22.115,0.920576115,0.0017187,0.029741,1,4.3475,12.48,11.25,4.3475
22.116,0.920617741,0.001772,0.049263,1,4.465,12.48,11.25,4.465
22.118,0.920700995,0.0018252,0.068784,1,4.5825,12.48,11.25,4.5825
22.109,0.920326354,0.00080919,0.089173,1,4.7,12.48,11.25,4.7
22.099,0.919910086,-0.00027974,0.10962,1,4.8175,12.48,11.25,4.8175
