U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
24.082,1.010405303,-0.018736,0.036553,1,0,12.48,0,3.155
24.082,1.010405303,-0.021291,0.036628,1,0.225,12.48,0.225,3.155
24.081,1.010363346,-0.023848,0.036699,1,0.45,12.48,0.45,3.155
24.081,1.010363346,-0.027067,0.036798,1,0.675,12.48,0.675,3.155
24.08,1.01032139,-0.030288,0.036889,1,0.9,12.48,0.9,3.155
24.079,1.010279433,-0.033124,0.036976,1,1.125,12.48,1.125,3.155
24.079,1.010279433,-0.035959,0.037054,1,1.35,12.48,1.35,3.155
24.078,1.010237476,-0.039326,0.037145,1,1.575,12.48,1.575,3.155
24.077,1.010195519,-0.04269,0.037223,1,1.8,12.48,1.8,3.155
24.076,1.010153562,-0.045908,0.037285,1,2.025,12.48,2.025,3.155
24.075,1.010111605,-0.04912,0.037331,1,2.25,12.48,2.25,3.155
24.074,1.010069648,-0.052768,0.037361,1,2.475,12.48,2.475,3.155
24.073,1.010027692,-0.056405,0.037372,1,2.7,12.48,2.7,3.155
24.072,1.009985735,-0.060122,0.037335,1,2.925,12.48,2.925,3.155
24.071,1.009943778,-0.063821,0.037276,1,3.15,12.48,3.15,3.155
24.069,1.009859864,-0.067927,0.037147,1,3.375,12.48,3.375,3.155
24.068,1.009817907,-0.072008,0.036991,1,3.6,12.48,3.6,3.155
24.066,1.009733993,-0.07637,0.036725,1,3.825,12.48,3.825,3.155
24.064,1.00965008,-0.080696,0.036426,1,4.05,12.48,4.05,3.155
24.062,1.009566166,-0.085108,0.036007,1,4.275,12.48,4.275,3.155
24.06,1.009482252,-0.089473,0.035551,1,4.5,12.48,4.5,3.155
24.057,1.009356382,-0.095235,0.034779,1,4.725,12.48,4.725,3.155
24.054,1.009230511,-0.10049,0.033923,1,4.95,12.48,4.95,3.155
24.051,1.00910464,-0.10596,0.032889,1,5.175,12.48,5.175,3.155
