"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00075043,0.0083376,7.3297,11.521,9.5288,0.032958,0.39932,9.5405,0.032423,0.3922,1,0,4.68,11.445,6.845
0.00074237,0.0082107,7.5505,11.423,9.508,0.034824,0.42023,9.5208,0.03433,0.41305,1,0.10035,4.7804,11.445,6.845
0.00073431,0.0080839,7.7714,11.325,9.4872,0.036689,0.44114,9.5011,0.036237,0.43391,1,0.2007,4.8807,11.445,6.845
0.00072625,0.007957,7.9923,11.227,9.4664,0.038555,0.46205,9.4815,0.038144,0.45476,1,0.30105,4.9811,11.445,6.845
0.00071819,0.0078302,8.2131,11.129,9.4456,0.040421,0.48296,9.4618,0.040051,0.47561,1,0.4014,5.0814,11.445,6.845
0.00071013,0.0077033,8.434,11.031,9.4248,0.042286,0.50387,9.4421,0.041958,0.49646,1,0.50175,5.1817,11.445,6.845
0.00070207,0.0075765,8.6549,10.933,9.404,0.044152,0.52478,9.4224,0.043865,0.51731,1,0.6021,5.2821,11.445,6.845
0.00069402,0.0074496,8.8758,10.835,9.3832,0.046017,0.54569,9.4027,0.045772,0.53816,1,0.70245,5.3825,11.445,6.845
0.00068596,0.0073228,9.0966,10.737,9.3624,0.047883,0.5666,9.3831,0.047679,0.55902,1,0.8028,5.4828,11.445,6.845
0.00074219,0.0076852,9.2888,10.64,9.3281,0.049961,0.58865,9.3503,0.049696,0.58095,1,0.90315,5.5831,11.445,6.845
0.0010318,0.0098234,9.3768,10.544,9.2446,0.05281,0.61481,9.2698,0.052111,0.60679,1,1.0035,5.6835,11.445,6.845
0.0013214,0.011962,9.4649,10.448,9.1611,0.055659,0.64098,9.1893,0.054527,0.63264,1,1.1039,5.7839,11.445,6.845
0.0016111,0.0141,9.5529,10.352,9.0776,0.058508,0.66714,9.1088,0.056943,0.65848,1,1.2042,5.8842,11.445,6.845
0.0019007,0.016238,9.6409,10.256,8.9941,0.061356,0.69331,9.0283,0.059359,0.68433,1,1.3046,5.9845,11.445,6.845
0.0021903,0.018376,9.729,10.16,8.9106,0.064205,0.71947,8.9478,0.061774,0.71017,1,1.4049,6.0849,11.445,6.845
0.0024799,0.020515,9.817,10.063,8.8271,0.067054,0.74564,8.8673,0.06419,0.73602,1,1.5052,6.1852,11.445,6.845
0.0027695,0.022653,9.905,9.9674,8.7436,0.069903,0.7718,8.7868,0.066606,0.76186,1,1.6056,6.2856,11.445,6.845
0.0030591,0.024791,9.993,9.8714,8.6601,0.072752,0.79797,8.7063,0.069021,0.78771,1,1.706,6.386,11.445,6.845
0.0033488,0.026929,10.081,9.7753,8.5766,0.075601,0.82413,8.6258,0.071437,0.81355,1,1.8063,6.4863,11.445,6.845
0.0036384,0.029067,10.169,9.6793,8.4931,0.07845,0.8503,8.5453,0.073853,0.8394,1,1.9067,6.5866,11.445,6.845
0.0074724,0.069412,10.701,9.6025,8.4285,0.082357,0.90404,8.4833,0.077776,0.89212,1,2.007,6.687,11.445,6.845
0.016794,0.1689,11.921,9.5556,8.3933,0.087902,1.0005,8.45,0.084034,0.98644,1,2.1074,6.7874,11.445,6.845
0.026115,0.2684,13.141,9.5086,8.3581,0.093447,1.0969,8.4167,0.090293,1.0808,1,2.2077,6.8877,11.445,6.845
0.035436,0.36789,14.361,9.4617,8.323,0.098992,1.1933,8.3834,0.096551,1.1751,1,2.3081,6.988,11.445,6.845
0.044757,0.46738,15.581,9.4148,8.2878,0.10454,1.2898,8.3501,0.10281,1.2694,1,2.4084,7.0884,11.445,6.845
0.054078,0.56687,16.801,9.3679,8.2526,0.11008,1.3862,8.3168,0.10907,1.3637,1,2.5087,7.1887,11.445,6.845
0.063399,0.66636,18.021,9.3209,8.2174,0.11563,1.4827,8.2835,0.11533,1.4581,1,2.6091,7.2891,11.445,6.845
0.07272,0.76586,19.241,9.274,8.1822,0.12117,1.5791,8.2502,0.12158,1.5524,1,2.7095,7.3895,11.445,6.845
0.082041,0.86535,20.461,9.2271,8.147,0.12672,1.6755,8.2169,0.12784,1.6467,1,2.8098,7.4898,11.445,6.845
0.091363,0.96484,21.681,9.1802,8.1118,0.13226,1.772,8.1836,0.1341,1.741,1,2.9102,7.5901,11.445,6.845
0.10213,1.0976,21.796,9.2953,7.8814,0.13,1.8549,7.9818,0.13283,1.8232,1,3.0105,7.6905,11.445,6.845
0.11401,1.256,21.059,9.5356,7.5,0.12171,1.9274,7.6498,0.12575,1.8961,1,3.1109,7.7909,11.445,6.845
0.1259,1.4144,20.321,9.7759,7.1186,0.11341,1.9999,7.3178,0.11867,1.969,1,3.2112,7.8912,11.445,6.845
0.13778,1.5728,19.583,10.016,6.7372,0.10512,2.0724,6.9858,0.11159,2.0419,1,3.3116,7.9915,11.445,6.845
0.14966,1.7312,18.845,10.257,6.3558,0.096828,2.1449,6.6539,0.1045,2.1148,1,3.4119,8.0919,11.445,6.845
0.16155,1.8896,18.108,10.497,5.9744,0.088535,2.2175,6.3219,0.097423,2.1876,1,3.5123,8.1923,11.445,6.845
0.17343,2.048,17.37,10.737,5.593,0.080242,2.29,5.9899,0.090341,2.2605,1,3.6126,8.2926,11.445,6.845
0.18531,2.2064,16.632,10.977,5.2116,0.071948,2.3625,5.6579,0.083259,2.3334,1,3.713,8.393,11.445,6.845
0.1972,2.3648,15.894,11.218,4.8302,0.063655,2.435,5.3259,0.076177,2.4063,1,3.8133,8.4933,11.445,6.845
0.20153,2.424,13.029,11.335,4.5438,0.054862,2.3849,5.0549,0.065918,2.3584,1,3.9137,8.5936,11.445,6.845
0.20159,2.4272,8.9638,11.383,4.311,0.045788,2.2657,4.8182,0.053866,2.2425,1,4.014,8.694,11.445,6.845
0.20166,2.4304,4.8987,11.431,4.0782,0.036713,2.1464,4.5815,0.041815,2.1265,1,4.1143,8.7943,11.445,6.845
