"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.1374,8.9158,0.14527,0.22813,8.9306,0.16234,0.22136,1,5.5193,13.199,11.25,6.845
-2.1651,8.8927,0.14815,0.20588,8.9067,0.16255,0.19886,1,5.6196,13.3,11.25,6.845
-2.0099,8.8648,0.15089,0.19663,8.8801,0.16231,0.18916,1,5.72,13.4,11.25,6.845
-1.89,8.8406,0.15319,0.18594,8.8569,0.16225,0.17768,1,5.8203,13.5,11.25,6.845
-1.8092,8.8203,0.15501,0.17368,8.8376,0.16238,0.16422,1,5.9207,13.601,11.25,6.845
-1.7319,8.8028,0.15655,0.16358,8.8211,0.16238,0.15328,1,6.021,13.701,11.25,6.845
-1.6599,8.7898,0.15766,0.15684,8.8086,0.16218,0.14621,1,6.1213,13.801,11.25,6.845
-1.6169,8.7784,0.15864,0.1483,8.7977,0.16222,0.13697,1,6.2217,13.902,11.25,6.845
-1.5778,8.7671,0.15959,0.13951,8.787,0.1623,0.12744,1,6.3221,14.002,11.25,6.845
-1.542,8.7587,0.16023,0.1339,8.7796,0.16212,0.12152,1,6.4224,14.102,11.25,6.845
-1.518,8.7506,0.16087,0.12721,8.7725,0.16208,0.11438,1,6.5228,14.203,11.25,6.845
-1.5011,8.7426,0.1615,0.11984,8.7654,0.16213,0.10645,1,6.6231,14.303,11.25,6.845
-1.4579,8.7346,0.16189,0.11489,8.7587,0.16196,0.10119,1,6.7235,14.403,11.25,6.845
-1.4254,8.727,0.16229,0.10924,8.7521,0.1619,0.095128,1,6.8238,14.504,11.25,6.845
-1.3973,8.7196,0.16268,0.10337,8.7458,0.16189,0.088802,1,6.9241,14.604,11.25,6.845
-1.3435,8.713,0.16287,0.10012,8.7404,0.16174,0.08533,1,7.0245,14.705,11.25,6.845
-1.3078,8.7068,0.16312,0.095923,8.7351,0.16172,0.080778,1,7.1248,14.805,11.25,6.845
-1.2491,8.6996,0.16332,0.092015,8.7293,0.16159,0.076555,1,7.2252,14.905,11.25,6.845
-1.1917,8.6921,0.16355,0.087641,8.7231,0.16152,0.071771,1,7.3256,15.006,11.25,6.845
-1.1444,8.6854,0.16371,0.083717,8.7178,0.16141,0.067474,1,7.4259,15.106,11.25,6.845
-1.1018,8.6795,0.16381,0.080279,8.7133,0.16125,0.063716,1,7.5263,15.206,11.25,6.845
-1.0652,8.674,0.16393,0.07686,8.7092,0.16113,0.059963,1,7.6266,15.307,11.25,6.845
-1.0329,8.6687,0.16405,0.073471,8.7052,0.16104,0.05623,1,7.727,15.407,11.25,6.845
-0.99656,8.6638,0.16412,0.070692,8.7018,0.16087,0.053189,1,7.8273,15.507,11.25,6.845
-0.96248,8.659,0.16419,0.067948,8.6985,0.16072,0.050177,1,7.9276,15.608,11.25,6.845
-0.93198,8.6542,0.16429,0.065123,8.6951,0.16062,0.047063,1,8.028,15.708,11.25,6.845
-0.8989,8.6499,0.16434,0.06282,8.6925,0.16044,0.044539,1,8.1283,15.808,11.25,6.845
-0.86835,8.6457,0.16441,0.060512,8.6899,0.16029,0.042002,1,8.2287,15.909,11.25,6.845
-0.84043,8.6416,0.16449,0.058185,8.6872,0.16018,0.039441,1,8.3291,16.009,11.25,6.845
-0.811,8.6379,0.16454,0.056274,8.6852,0.15999,0.037346,1,8.4294,16.109,11.25,6.845
-0.78477,8.6341,0.16461,0.05424,8.683,0.15986,0.03511,1,8.5297,16.21,11.25,6.845
-0.75889,8.6306,0.16467,0.052387,8.6811,0.15971,0.033076,1,8.6301,16.31,11.25,6.845
-0.7331,8.6273,0.16472,0.050723,8.6796,0.15953,0.031251,1,8.7304,16.41,11.25,6.845
-0.71039,8.6239,0.1648,0.048899,8.6776,0.15942,0.029249,1,8.8308,16.511,11.25,6.845
-0.68632,8.621,0.16485,0.047459,8.6766,0.15922,0.027673,1,8.9312,16.611,11.25,6.845
-0.66477,8.618,0.16491,0.045875,8.6751,0.15909,0.025938,1,9.0315,16.712,11.25,6.845
-0.64323,8.6152,0.16497,0.04448,8.6741,0.15892,0.024413,1,9.1318,16.812,11.25,6.845
-0.62262,8.6125,0.16502,0.043125,8.6731,0.15876,0.022933,1,9.2322,16.912,11.25,6.845
-0.60324,8.6098,0.16508,0.04178,8.6721,0.15862,0.021464,1,9.3326,17.013,11.25,6.845
-0.58374,8.6074,0.16512,0.04061,8.6716,0.15842,0.020187,1,9.4329,17.113,11.25,6.845
-0.56614,8.6049,0.16518,0.039327,8.6705,0.1583,0.018787,1,9.5332,17.213,11.25,6.845
-0.54786,8.6027,0.16521,0.038299,8.6704,0.15809,0.017668,1,9.6336,17.314,11.25,6.845
-0.53174,8.6003,0.16527,0.037091,8.6694,0.15798,0.01635,1,9.7339,17.414,11.25,6.845
-0.51486,8.5984,0.1653,0.036159,8.6695,0.15777,0.015335,1,9.8343,17.514,11.25,6.845
-0.49979,8.5961,0.16535,0.035058,8.6688,0.15766,0.014135,1,9.9347,17.615,11.25,6.845
-0.48423,8.5943,0.16538,0.034197,8.669,0.15744,0.013198,1,10.035,17.715,11.25,6.845
